Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 54 | Professional Liability (jpg:54,idx:48)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.6666667,1.0,(18|10)
0.4238411,1.0,(18|6)
0.2272727,1.0,(19|6)
0.1348837,1.0,(19|5)
0.1333333,1.0,(18|5)
0.08823530,1.0,(18|7)
0.08000000,1.0,(19|7)
0.07500000,1.0,(17|6)
0.06896552,1.0,(17|10)
0.06451613,1.0,(15|10)
0.06060606,1.0,(17|5)
0.05932203,1.0,(17|7)
0.05263158,1.0,(20|5)
0.04347826,1.0,(18|8)
0.03846154,1.0,(13|10)
0.03061225,1.0,(17|9)
0.02941176,1.0,(19|10)
0.02941176,1.0,(20|10)
0.02631579,1.0,(48|27)
0.02262443,1.0,(0|4)
0.02222222,1.0,(13|36)
0.01851852,1.0,(16|10)
0.01666667,1.0,(3|34)
0.01204819,1.0,(18|0)
0.01183432,1.0,(4|19)
0.009803922,1.0,(21|49)
0.009708738,1.0,(19|4)
0.008403362,1.0,(21|48)
0.007812500,1.0,(1|6)
0.007042253,1.0,(19|48)
0.006849315,1.0,(14|10)
0.006535948,1.0,(13|35)
0.006396588,1.0,(22|13)
0.005952381,1.0,(0|27)
0.005524862,1.0,(49|27)
0.004975124,1.0,(0|5)
0.003891051,1.0,(0|42)
0.002652520,1.0,(22|3)
0.002298851,1.0,(25|37)
0.002092050,1.0,(15|46)
0.001785714,1.0,(0|26)
