Product ID : 968 # of JPs covered : 1 : 104 : Insurance, 
us_000480792,0.699338, 0.099396
us_000522564,0.699338, 0.116936
us_000543851,0.699338, 0.143956
us_000549243,0.699338, 0.226650
us_000563118,0.699338, 0.287916
us_000555873,0.699338, 0.333005
us_000425859,0.699338, 0.588824
us_000496383,0.699338, 0.683060
pr_000265264,0.406317, 0.000000
pr_000635699,0.406317, 0.000000
pr_000081620,0.406317, 0.000000
pr_000398520,0.406317, 0.000000
pr_000379477,0.406317, 0.000000
pr_000290643,0.406317, 0.000000
pr_000378647,0.406317, 0.000000
pr_000293036,0.406317, 0.000000
pr_000186191,0.406317, 0.000000
pr_001675138,0.406317, 0.000000
pr_000014465,0.406317, 0.000002
us_000587758,0.406317, 0.000011
us_000608319,0.406317, 0.000011
us_000600012,0.406317, 0.000011
us_000615873,0.406317, 0.000011
us_000590254,0.406317, 0.000011
us_000597471,0.406317, 0.000011
us_000584052,0.406317, 0.000011
us_000493655,0.406317, 0.000011
us_000615859,0.406317, 0.000011
us_000571562,0.406317, 0.000011
us_000592399,0.406317, 0.000011
us_000587445,0.406317, 0.000011
us_000582566,0.406317, 0.000011
us_000585560,0.406317, 0.000019
us_000584036,0.406317, 0.000019
us_000596887,0.406317, 0.000019
us_000548381,0.406317, 0.000019
us_000612349,0.406317, 0.000019
us_000579735,0.406317, 0.000019
us_000587796,0.406317, 0.000019
us_000569798,0.406317, 0.000019
us_000582798,0.406317, 0.000019
us_000614818,0.406317, 0.000019
us_000586018,0.406317, 0.000019
us_000579235,0.406317, 0.000039
us_000613604,0.406317, 0.000039
us_000614758,0.406317, 0.000039
us_000593243,0.406317, 0.000039
us_000615857,0.406317, 0.000039
us_000588842,0.406317, 0.000039
us_000572623,0.406317, 0.000129
us_000446563,0.406317, 0.524086
us_000589634,0.406317, 0.525537
us_000469601,0.406317, 0.545955
us_000469830,0.406317, 0.653083
us_000462091,0.406317, 0.720676
us_000045569,0.406317, 0.720676
us_000311996,0.406317, 0.728544
us_000532825,0.406317, 0.744635
us_000509285,0.406317, 0.787964
us_000583713,0.406317, 0.799013
us_000474442,0.406317, 0.804259
us_000330249,0.406317, 0.806356
us_000538064,0.406317, 0.810651
us_000476499,0.406317, 0.816214
us_000463491,0.406317, 0.818033
us_000545070,0.406317, 0.829111
us_000476443,0.406317, 0.831504
us_000328105,0.406317, 0.843725
us_000583309,0.406317, 0.852468
us_000520597,0.406317, 0.860881
us_000465759,0.406317, 0.870299
us_000329175,0.406317, 0.872058
us_000360210,0.406317, 0.873319
us_000563574,0.406317, 0.873418
us_000544717,0.406317, 0.873418
us_000569575,0.406317, 0.880902
us_000511978,0.406317, 0.884701
us_000582912,0.406317, 0.887817
us_000475954,0.406317, 0.888970
us_000495438,0.406317, 0.896011
us_000490128,0.406317, 0.898184
us_000535590,0.406317, 0.907821
us_000536324,0.406317, 0.908272
us_000465717,0.406317, 0.921048
us_000567585,0.406317, 0.922157
us_000130263,0.406317, 0.925922
us_000481237,0.406317, 0.927698
us_000477247,0.406317, 0.928749
us_000550628,0.406317, 0.928749
us_000508875,0.406317, 0.933821
us_000223337,0.406317, 0.934426
us_000090070,0.406317, 0.935829
us_000490882,0.406317, 0.936491
us_000487073,0.406317, 0.936491
us_000535892,0.406317, 0.936491
us_000550371,0.406317, 0.936491
us_000535347,0.406317, 0.936491
us_000480108,0.406317, 0.936491
us_000582256,0.406317, 0.937870
us_000534502,0.406317, 0.941285
us_000480510,0.406317, 0.941285
us_000537885,0.406317, 0.941434
us_000030833,0.406317, 0.944243
us_000464532,0.406317, 0.946225
us_000534994,0.406317, 0.953315
us_000535305,0.406317, 0.961452
us_000566941,0.406317, 0.966952
us_000519904,0.406317, 0.969012
us_000035647,0.406317, 0.975802
us_000546100,0.406317, 0.999126
us_000567450,0.406317, 0.999126
us_000482056,0.406317, 1.006588
us_000522073,0.406317, 1.122329
us_000461979,0.312986, 0.000000
us_000532888,0.312986, 0.000000
us_000531600,0.312986, 0.000000
us_000462241,0.312986, 0.000000
us_000479829,0.312986, 0.000000
us_000462245,0.312986, 0.000000
us_000481088,0.312986, 0.000000
us_000489410,0.312986, 0.000000
us_000535508,0.312986, 0.000000
us_000570612,0.312986, 0.000000
us_000495472,0.312986, 0.000000
us_000481075,0.312986, 0.000000
us_000462137,0.312986, 0.000000
us_000461426,0.312986, 0.000000
us_000465534,0.312986, 0.000000
us_000481190,0.312986, 0.000000
us_000531550,0.312986, 0.000000
us_000536509,0.312986, 0.000000
us_000525980,0.312986, 0.000001
us_000525800,0.312986, 0.000001
us_000514187,0.312986, 0.000001
us_000534632,0.312986, 0.000001
us_000479536,0.312986, 0.000001
us_000422016,0.312986, 0.000001
us_000523525,0.312986, 0.000001
us_000541856,0.312986, 0.000001
us_000523913,0.312986, 0.000001
us_000511198,0.312986, 0.000001
us_000527348,0.312986, 0.000001
us_000546738,0.312986, 0.000001
us_000519295,0.312986, 0.000001
us_000509503,0.312986, 0.000001
us_000557321,0.312986, 0.000001
us_000552339,0.312986, 0.000003
us_000528217,0.312986, 0.000003
us_000559657,0.312986, 0.000003
us_000560511,0.312986, 0.000003
us_000545310,0.312986, 0.000004
us_000592418,0.312986, 0.000004
us_000592246,0.312986, 0.000004
us_000560459,0.312986, 0.000004
us_000592212,0.312986, 0.000004
us_000561887,0.312986, 0.000004
us_000524305,0.312986, 0.000004
us_000504925,0.312986, 0.000004
us_000539358,0.312986, 0.000004
us_000508616,0.312986, 0.000004
us_000551321,0.312986, 0.000004
us_000511248,0.312986, 0.000004
us_000500642,0.312986, 0.000006
us_000559436,0.312986, 0.000013
us_000591489,0.312986, 0.000015
us_000561032,0.312986, 0.000015
us_000592412,0.312986, 0.000015
us_000501547,0.312986, 0.000015
pr_000918140,0.312986, 0.000045
us_000534119,0.312986, 0.000050
pr_001660143,0.312986, 0.000058
us_000288838,0.312986, 0.000106
us_000463179,0.312986, 0.000121
us_000486701,0.312986, 0.000250
us_000530361,0.312986, 0.000266
us_000530217,0.312986, 0.000266
us_000569603,0.312986, 0.000373
us_000583826,0.312986, 0.000473
us_000556643,0.312986, 0.000516
us_000586924,0.312986, 0.000525
us_000493838,0.312986, 0.000539
us_000532538,0.312986, 0.000612
us_000515622,0.312986, 0.000627
us_000593770,0.312986, 0.000734
us_000519044,0.312986, 0.000767
pr_001040064,0.312986, 0.000809
us_000538953,0.312986, 0.000863
us_000487177,0.312986, 0.000986
us_000513375,0.312986, 0.001033
us_000522607,0.312986, 0.001035
us_000534961,0.312986, 0.001088
us_000562783,0.312986, 0.001139
us_000564019,0.312986, 0.001211
us_000544618,0.312986, 0.001235
us_000514401,0.312986, 0.001235
us_000517293,0.312986, 0.001235
us_000545558,0.312986, 0.001235
us_000559383,0.312986, 0.001239
us_000532187,0.312986, 0.001249
us_000519110,0.312986, 0.001394
us_000591855,0.312986, 0.001471
us_000522365,0.312986, 0.001590
us_000534759,0.312986, 0.001724
us_000504955,0.312986, 0.001731
us_000487704,0.312986, 0.001740
us_000583914,0.312986, 0.001839
us_000573550,0.312986, 0.001984
us_000464607,0.312986, 0.002587
us_000577681,0.312986, 0.003413
us_000493303,0.312986, 0.003835
us_000587107,0.312986, 0.004304
us_000529649,0.312986, 0.004823
us_000580794,0.312986, 0.005775
us_000593192,0.312986, 0.005793
us_000510430,0.312986, 0.006283
us_000498724,0.312986, 0.007825
us_000503551,0.312986, 0.007856
us_000480679,0.312986, 0.007871
us_000513598,0.312986, 0.008495
us_000148148,0.312986, 0.011641
us_000481133,0.312986, 0.011964
us_000481236,0.312986, 0.014456
us_000547452,0.312986, 0.016023
us_000550695,0.312986, 0.017611
us_000523723,0.312986, 0.017822
us_000538103,0.312986, 0.017986
us_000523565,0.312986, 0.018230
us_000608033,0.312986, 0.018284
us_000600572,0.312986, 0.019531
us_000611342,0.312986, 0.021463
us_000579339,0.312986, 0.022160
us_000579160,0.312986, 0.023122
us_000431116,0.312986, 0.023269
us_000513760,0.312986, 0.024508
us_000571944,0.312986, 0.026295
us_000596144,0.312986, 0.029004
us_000586453,0.312986, 0.036268
us_000550150,0.312986, 0.045015
us_000472455,0.312986, 0.050919
us_000485280,0.312986, 0.051443
us_000594684,0.312986, 0.054916
us_000495479,0.312986, 0.058360
us_000583838,0.312986, 0.077368
us_000591785,0.312986, 0.086663
us_000494786,0.312986, 0.087406
us_000572942,0.312986, 0.226541
us_000468511,0.312986, 0.383742
us_000494246,0.312986, 0.554778
us_000537448,0.312986, 0.791288
us_000590988,0.312986, 1.357762
us_000494442,0.312986, 4.482062
us_000578981,0.312986, 4.484226
us_000494291,0.312986, 4.742535
us_000592722,0.312986, 7.913875
pr_000958889,0.303603, 0.000003
pr_001035515,0.303603, 0.000003
pr_001686709,0.303603, 0.000003
pr_000024017,0.303603, 0.000008
pr_000291148,0.303603, 0.000008
pr_000995755,0.303603, 0.000008
pr_000023298,0.303603, 0.000016
pr_000171403,0.303603, 0.000016
pr_000196215,0.303603, 0.000018
pr_001103173,0.303603, 0.000018
pr_001079006,0.303603, 0.000018
pr_000726408,0.303603, 0.000032
us_000617563,0.303603, 0.000055
pr_001038365,0.303603, 0.000071
us_000491511,0.303603, 0.000072
pr_000298917,0.303603, 0.000076
pr_000668554,0.303603, 0.000103
pr_000738240,0.303603, 0.000118
pr_001123811,0.303603, 0.000155
pr_000970608,0.303603, 0.000251
pr_001822853,0.303603, 0.000266
pr_000297898,0.303603, 0.000277
pr_001097083,0.303603, 0.000324
pr_000995643,0.303603, 0.000351
pr_000668079,0.303603, 0.000660
us_000517244,0.303603, 0.006342
us_000549824,0.303603, 0.011786
us_000508099,0.303603, 0.013245
us_000295687,0.303603, 1.173502
us_000552756,0.303603, 1.732125
us_000589681,0.303603, 1.779945
us_000470901,0.303603, 1.794877
us_000471066,0.303603, 1.809032
us_000506104,0.303603, 1.811193
us_000475971,0.303603, 1.821364
us_000515309,0.303603, 1.874800
us_000531815,0.303603, 1.880227
us_000475968,0.303603, 1.893210
us_000589747,0.303603, 1.907985
us_000497644,0.303603, 1.909154
us_000497696,0.303603, 1.911186
us_000589611,0.303603, 1.915953
us_000501541,0.303603, 1.928533
us_000477598,0.303603, 1.934075
us_000507305,0.303603, 1.949976
us_000483419,0.303603, 1.966738
us_000473416,0.303603, 1.990748
us_000498089,0.303603, 1.997996
pr_001689737,0.303603, 2.005251
us_000552826,0.303603, 2.023503
us_000308549,0.303603, 2.036574
us_000505438,0.303603, 2.052345
us_000482792,0.303603, 2.087776
us_000483435,0.303603, 2.099639
us_000509154,0.303603, 2.101173
us_000583811,0.303603, 2.104044
us_000545137,0.303603, 2.122702
us_000563790,0.303603, 2.133176
us_000548180,0.303603, 2.136117
us_000483504,0.303603, 2.140753
us_000494121,0.303603, 2.159096
us_000471078,0.303603, 2.163791
us_000584061,0.303603, 2.168272
us_000563487,0.303603, 2.169974
us_000499864,0.303603, 2.173078
us_000535018,0.303603, 2.174973
us_000475977,0.303603, 2.177267
us_000547620,0.303603, 2.182340
us_000574769,0.303603, 2.196127
us_000527515,0.303603, 2.196704
us_000541240,0.303603, 2.203936
us_000146970,0.303603, 2.205087
us_000553861,0.303603, 2.216521
us_000583995,0.303603, 2.217119
us_000492086,0.303603, 2.217767
us_000483768,0.303603, 2.219643
us_000574881,0.303603, 2.222182
us_000573754,0.303603, 2.223708
us_000507599,0.303603, 2.227668
us_000589586,0.303603, 2.238493
us_000542087,0.303603, 2.239826
us_000528153,0.303603, 2.240604
us_000495544,0.303603, 2.243301
us_000509157,0.303603, 2.251136
us_000616303,0.303603, 2.253133
us_000558037,0.303603, 2.255408
us_000573500,0.303603, 2.255992
us_000501134,0.303603, 2.256446
us_000501949,0.303603, 2.259714
us_000485974,0.303603, 2.260090
us_000470639,0.303603, 2.260976
us_000477187,0.303603, 2.263571
us_000594438,0.303603, 2.274555
us_000564184,0.303603, 2.276534
us_000502914,0.303603, 2.277324
us_000140923,0.303603, 2.290706
us_000541322,0.303603, 2.291496
us_000529098,0.303603, 2.292861
us_000549443,0.303603, 2.295771
us_000477233,0.303603, 2.297896
us_000563957,0.303603, 2.298571
us_000563247,0.303603, 2.298881
us_000502922,0.303603, 2.300257
us_000501956,0.303603, 2.300699
us_000485079,0.303603, 2.304866
us_000488850,0.303603, 2.305714
us_000507523,0.303603, 2.310531
us_000543653,0.303603, 2.321668
us_000524699,0.303603, 2.322635
us_000483540,0.303603, 2.330161
us_000492736,0.303603, 2.331096
us_000507495,0.303603, 2.333881
us_000553371,0.303603, 2.335697
us_000541228,0.303603, 2.339416
us_000493754,0.303603, 2.340185
us_000497739,0.303603, 2.343525
us_000524722,0.303603, 2.344760
us_000559152,0.303603, 2.349926
us_000495128,0.303603, 2.351299
us_000311952,0.303603, 2.356294
us_000505698,0.303603, 2.359789
us_000505089,0.303603, 2.362245
us_000551015,0.303603, 2.363314
us_000569774,0.303603, 2.364483
us_000521474,0.303603, 2.366931
us_000500238,0.303603, 2.368434
us_000497930,0.303603, 2.376218
us_000526634,0.303603, 2.382807
us_000507678,0.303603, 2.394095
us_000556800,0.303603, 2.396365
us_000578865,0.303603, 2.399130
us_000541488,0.303603, 2.401396
us_000557548,0.303603, 2.405914
us_000470733,0.303603, 2.409280
us_000483411,0.303603, 2.410012
us_000502847,0.303603, 2.415285
us_000536145,0.303603, 2.435809
us_000483446,0.303603, 2.436407
us_000501586,0.303603, 2.445358
us_000554913,0.303603, 2.466933
us_000493086,0.303603, 2.493109
us_000500051,0.303603, 2.523524
us_000491105,0.303603, 5.105178
us_000475730,0.197102, 0.410222
us_000551352,0.197102, 0.421327
us_000520750,0.197102, 0.421327
us_000551374,0.197102, 0.421327
us_000475893,0.197102, 0.438392
us_000486963,0.197102, 0.440682
us_000549625,0.197102, 0.447919
us_000480985,0.197102, 0.447919
us_000227340,0.197102, 0.447919
us_000477290,0.197102, 0.447919
us_000489726,0.197102, 0.447919
us_000479930,0.197102, 0.447919
us_000385840,0.197102, 0.457438
us_000179559,0.197102, 0.458187
us_000597605,0.197102, 0.460271
us_000597781,0.197102, 0.461416
us_000564403,0.197102, 0.462437
us_000008592,0.197102, 0.462572
us_000472976,0.197102, 0.463080
us_000592812,0.197102, 0.466881
us_000485570,0.197102, 0.468731
us_000271198,0.197102, 0.472386
us_000584478,0.197102, 0.472555
us_000476637,0.197102, 0.475570
us_000580619,0.197102, 0.478624
us_000598650,0.197102, 0.479948
us_000566699,0.197102, 0.484470
us_000480716,0.197102, 0.487080
us_000010644,0.197102, 0.488178
us_000418420,0.197102, 0.489164
us_000086777,0.197102, 0.489901
us_000545787,0.197102, 0.490187
us_000543809,0.197102, 0.491313
us_000551113,0.197102, 0.492585
us_000566150,0.197102, 0.492585
us_000472401,0.197102, 0.492585
us_000480728,0.197102, 0.492585
us_000607649,0.197102, 0.492585
us_000462360,0.197102, 0.492585
us_000563459,0.197102, 0.493643
us_000581400,0.197102, 0.494629
us_000564696,0.197102, 0.494629
us_000564660,0.197102, 0.494629
us_000537927,0.197102, 0.494629
us_000476653,0.197102, 0.494933
us_000490441,0.197102, 0.495485
us_000535925,0.197102, 0.498198
us_000481188,0.197102, 0.499148
us_000293463,0.197102, 0.499667
us_000474880,0.197102, 0.499667
us_000537971,0.197102, 0.500134
us_000459983,0.197102, 0.500134
us_000580280,0.197102, 0.504824
us_000550504,0.197102, 0.516185
us_000483015,0.197102, 0.531480
us_000549776,0.197102, 0.537598
pr_000611954,0.192983, 0.000000
pr_000785386,0.192983, 0.000000
pr_000712139,0.192983, 0.000002
pr_000695874,0.192983, 0.000002
us_000486226,0.192983, 0.000002
us_000484125,0.192983, 0.000002
us_000473772,0.192983, 0.000002
us_000461521,0.192983, 0.000002
pr_001099355,0.192983, 0.000002
pr_001118583,0.192983, 0.000002
pr_000717781,0.192983, 0.000002
pr_001155014,0.192983, 0.000002
pr_001022302,0.192983, 0.000002
pr_001007977,0.192983, 0.000002
pr_000727540,0.192983, 0.000002
pr_001049939,0.192983, 0.000002
pr_000826564,0.192983, 0.000002
pr_000779660,0.192983, 0.000002
pr_000637046,0.192983, 0.000002
pr_001007840,0.192983, 0.000006
pr_001819424,0.192983, 0.000006
pr_001608498,0.192983, 0.000006
pr_000971655,0.192983, 0.000008
pr_000902448,0.192983, 0.000012
pr_000740398,0.192983, 0.000015
pr_000208917,0.192983, 0.000027
pr_000424327,0.192983, 0.000095
pr_001592009,0.192983, 0.000106
pr_000819355,0.192983, 0.000289
us_000295676,0.192983, 0.001008
us_000495364,0.192983, 0.004767
us_000480992,0.192983, 0.006368
us_000491159,0.192983, 2.084559
us_000487058,0.192983, 2.085369
us_000486148,0.192983, 2.177407
us_000491118,0.192983, 2.251393
us_000491121,0.192983, 2.260760
us_000491163,0.192983, 2.276869
us_000535517,0.192983, 2.453020
us_000516772,0.192983, 2.516462
us_000460306,0.192983, 2.562034
us_000504837,0.192983, 2.628426
us_000496594,0.192983, 2.645674
us_000465793,0.192983, 2.771010
pr_001746687,0.188976, 0.000015
pr_001718666,0.188976, 0.000016
pr_001150069,0.188976, 0.000020
pr_001833960,0.188976, 0.000034
pr_000989037,0.188976, 0.000062
pr_000575566,0.188976, 0.000076
pr_001099034,0.188976, 0.000231
us_000080578,0.188976, 0.001493
pr_001606480,0.188976, 0.005085
us_000590110,0.188976, 0.008732
us_000505798,0.188976, 2.289151
us_000484981,0.188976, 2.367693
us_000343197,0.188976, 2.445553
us_000483245,0.188976, 2.459961
us_000519541,0.188976, 2.465473
us_000479465,0.188976, 2.484411
us_000477563,0.188976, 2.522402
us_000528063,0.188976, 2.543640
us_000549575,0.188976, 2.548689
us_000543525,0.188976, 2.555748
us_000338945,0.188976, 2.613830
us_000519501,0.188976, 2.617514
us_000523828,0.188976, 2.633143
us_000473706,0.188976, 2.669730
us_000488532,0.182933, 0.000000
us_000525990,0.182933, 0.000000
us_000606389,0.182933, 0.000000
us_000467938,0.182933, 0.000000
us_000459355,0.182933, 0.000000
us_000186580,0.182933, 0.000000
us_000475743,0.182933, 0.000000
us_000468173,0.182933, 0.000000
us_000417863,0.182933, 0.000000
us_000468179,0.182933, 0.000000
us_000461462,0.182933, 0.000000
us_000463738,0.182933, 0.000000
us_000529660,0.182933, 0.000000
us_000462043,0.182933, 0.000000
us_000468642,0.182933, 0.000000
pr_000631479,0.182933, 0.000000
us_000549512,0.182933, 0.000000
pr_001664914,0.182933, 0.000001
pr_001409502,0.182933, 0.000001
pr_001123769,0.182933, 0.000001
pr_001898411,0.182933, 0.000007
us_000551472,0.182933, 0.000012
pr_001663050,0.182933, 0.000014
pr_001663474,0.182933, 0.000016
pr_001664025,0.182933, 0.000016
us_000573822,0.182933, 0.000017
pr_001682949,0.182933, 0.000019
us_000501240,0.182933, 0.000091
us_000521407,0.182933, 0.000131
pr_001659268,0.182933, 0.000154
us_000536199,0.182933, 0.001340
us_000540791,0.182933, 0.001340
us_000573261,0.182933, 0.001381
us_000556428,0.182933, 0.001624
us_000616164,0.182933, 0.001811
us_000575839,0.182933, 0.002329
us_000595937,0.182933, 0.002668
us_000568584,0.182933, 0.005813
us_000521045,0.182933, 0.006556
us_000546933,0.182933, 0.006976
us_000487351,0.182933, 0.007513
us_000594110,0.182933, 0.007639
us_000614246,0.182933, 0.008157
us_000499666,0.182933, 0.008800
us_000583378,0.182933, 0.011030
us_000473123,0.182933, 0.012835
us_000546868,0.182933, 0.023895
us_000499403,0.182933, 0.024020
us_000559180,0.182933, 0.048137
us_000488867,0.182933, 0.050627
us_000571711,0.182933, 0.050742
us_000532489,0.182933, 0.056213
us_000580741,0.182933, 0.081961
us_000484508,0.182933, 0.084992
us_000597474,0.182933, 0.102502
us_000499540,0.182933, 0.151069
us_000180007,0.182933, 0.205287
us_000533098,0.182933, 0.689197
us_000201849,0.182933, 0.994582
us_000566315,0.162254, 0.000081
us_000476449,0.162254, 0.385663
us_000613606,0.162254, 0.395999
us_000592235,0.162254, 0.397088
us_000553429,0.162254, 0.415702
us_000568068,0.162254, 0.422277
us_000480962,0.162254, 0.422277
us_000475242,0.162254, 0.422277
us_000534146,0.162254, 0.422277
us_000535755,0.162254, 0.422277
us_000131848,0.162254, 0.422277
us_000532596,0.162254, 0.456374
pr_000912272,0.145899, 0.000002
pr_000711509,0.145899, 0.000007
pr_000440559,0.145899, 0.000012
pr_000945378,0.145899, 0.000075
pr_001607486,0.145899, 0.000078
pr_000654239,0.145899, 0.000107
pr_000166903,0.145899, 0.000143
pr_000760696,0.145899, 0.000172
pr_000593138,0.145899, 0.000185
pr_001008688,0.145899, 0.000403
pr_000881373,0.145899, 0.000657
pr_000342940,0.145899, 0.000968
pr_000832708,0.145899, 0.001015
us_000539566,0.145899, 0.064580
us_000460600,0.145899, 0.138544
us_000134522,0.145899, 1.490238
us_000507485,0.145899, 1.528897
us_000502162,0.145899, 1.550932
us_000482927,0.145899, 1.559324
us_000499239,0.145899, 1.572751
us_000524923,0.145899, 1.578474
us_000467090,0.145899, 1.601409
us_000478339,0.145899, 1.630360
us_000479299,0.145899, 1.641977
us_000577530,0.145899, 1.670956
us_000533858,0.145899, 1.672335
us_000502721,0.145899, 1.672340
us_000502739,0.145899, 1.688129
us_000567432,0.145899, 1.702528
us_000078055,0.145899, 1.705939
us_000550560,0.145899, 1.712140
us_000533890,0.145899, 1.714172
us_000502751,0.145899, 1.717929
us_000479241,0.145899, 1.725140
us_000470442,0.145899, 1.728571
us_000539572,0.145899, 1.730913
