Product ID : 2116 # of JPs covered : 1 : 277 : ERISA-Employee Benefits, 
pr_001405317,0.989635, 0.000000
pr_001042092,0.989635, 0.000000
pr_000825358,0.989635, 0.000000
pr_001127343,0.989635, 0.000000
pr_002005339,0.989635, 0.000000
pr_000402146,0.989635, 0.000002
pr_000315002,0.989635, 0.000002
pr_000865324,0.989635, 0.000002
pr_000971182,0.989635, 0.000002
pr_000250454,0.989635, 0.000002
pr_000765134,0.989635, 0.000012
pr_000216231,0.989635, 0.000030
us_000494081,0.989635, 0.059571
us_000515603,0.989635, 0.084795
us_000353478,0.989635, 1.336868
us_000503928,0.989635, 1.351191
us_000483757,0.989635, 1.446836
us_000509251,0.989635, 1.512804
us_000510849,0.989635, 1.533768
us_000538858,0.989635, 1.543384
us_000565501,0.989635, 1.553399
us_000112726,0.989635, 1.605613
us_000495838,0.989635, 1.640468
us_000540038,0.989635, 1.651617
us_000491059,0.989635, 1.656839
us_000575032,0.989635, 1.700596
us_000495792,0.989635, 1.711866
us_000362427,0.989635, 1.731457
us_000482556,0.989635, 1.750938
us_000547997,0.989635, 1.768659
us_000537242,0.989635, 1.776857
us_000013463,0.989635, 1.803453
us_000568768,0.989635, 1.812753
us_000496184,0.989635, 1.821691
us_000484447,0.989635, 1.824845
us_000540740,0.989635, 1.837602
us_000599311,0.989635, 1.845327
us_000582812,0.989635, 1.850263
us_000500677,0.989635, 1.850694
us_000484225,0.989635, 1.857281
us_000495024,0.989635, 1.888701
us_000578699,0.989635, 1.904241
us_000493404,0.989635, 1.905428
us_000501512,0.989635, 1.912101
us_000521781,0.989635, 1.917990
us_000531991,0.989635, 1.918406
us_000535267,0.989635, 1.921031
us_000563907,0.989635, 1.921412
us_000582320,0.989635, 1.927354
us_000575000,0.989635, 1.936139
us_000585723,0.989635, 1.942371
us_000398169,0.989635, 1.946033
us_000497993,0.989635, 1.950287
us_000557070,0.989635, 1.955020
us_000585650,0.989635, 1.956645
us_000585030,0.989635, 1.961671
us_000583865,0.989635, 1.964705
us_000533953,0.989635, 1.964866
us_000554996,0.989635, 1.970895
us_000581977,0.989635, 1.974517
us_000566923,0.989635, 1.974647
us_000580586,0.989635, 1.975040
us_000505245,0.989635, 1.979496
us_000509500,0.989635, 1.985584
us_000584190,0.989635, 1.986423
us_000579272,0.989635, 1.988571
us_000518754,0.989635, 1.991088
us_000578205,0.989635, 1.993352
us_000431304,0.989635, 2.001098
us_000540027,0.989635, 2.001915
us_000530125,0.989635, 2.014127
us_000468298,0.989635, 2.016652
us_000521459,0.989635, 2.019487
us_000557042,0.989635, 2.027107
us_000458629,0.989635, 2.031589
us_000481454,0.989635, 2.031995
us_000499782,0.989635, 2.039763
us_000549712,0.989635, 2.044810
us_000582246,0.989635, 2.053681
us_000504917,0.989635, 2.054776
us_000502164,0.989635, 2.056706
us_000598287,0.989635, 2.058556
us_000479817,0.989635, 2.059998
us_000533391,0.989635, 2.060145
us_000408766,0.989635, 2.063237
us_000560522,0.989635, 2.064957
us_000500950,0.989635, 2.065076
us_000504076,0.989635, 2.067164
us_000550147,0.989635, 2.067759
us_000572291,0.989635, 2.068360
us_000585955,0.989635, 2.071794
us_000514349,0.989635, 2.074920
us_000565117,0.989635, 2.076502
us_000539411,0.989635, 2.077309
us_000506031,0.989635, 2.078989
us_000546649,0.989635, 2.080001
us_000591095,0.989635, 2.080888
us_000519637,0.989635, 2.082924
us_000564816,0.989635, 2.087404
us_000482399,0.989635, 2.087669
us_000558146,0.989635, 2.089601
us_000540260,0.989635, 2.098558
us_000533283,0.989635, 2.099081
us_000549695,0.989635, 2.099923
us_000556328,0.989635, 2.105944
us_000503901,0.989635, 2.108585
us_000400033,0.989635, 2.114690
us_000461721,0.989635, 2.123231
us_000544412,0.989635, 2.125217
us_000460055,0.989635, 2.135878
us_000339025,0.989635, 2.143084
us_000564071,0.989635, 2.143275
us_000469482,0.989635, 2.145013
us_000503960,0.989635, 2.146729
us_000583878,0.989635, 2.147014
us_000556213,0.989635, 2.149149
us_000517565,0.989635, 2.149266
us_000519141,0.989635, 2.159135
us_000611036,0.989635, 2.162823
us_000556304,0.989635, 2.170063
us_000533959,0.989635, 2.174806
us_000530509,0.989635, 2.180296
us_000586910,0.989635, 2.181565
us_000536991,0.989635, 2.185468
us_000485829,0.989635, 2.185708
us_000565824,0.989635, 2.187242
us_000549123,0.989635, 2.188081
us_000502779,0.989635, 2.188081
us_000535886,0.989635, 2.191305
us_000502781,0.989635, 2.191934
us_000482713,0.989635, 2.192582
us_000553889,0.989635, 2.192582
us_000483775,0.989635, 2.193236
us_000551879,0.989635, 2.211667
us_000520542,0.989635, 2.216241
us_000561062,0.989635, 2.217460
us_000496501,0.989635, 2.217640
us_000470986,0.989635, 2.224646
us_000483402,0.989635, 2.228903
us_000501876,0.989635, 2.229042
us_000478076,0.989635, 2.230997
us_000487798,0.989635, 2.231972
us_000554342,0.989635, 2.234771
us_000518577,0.989635, 2.234771
us_000469969,0.989635, 2.237744
us_000561243,0.989635, 2.237785
us_000539987,0.989635, 2.239330
us_000481396,0.989635, 2.239646
us_000478210,0.989635, 2.239646
us_000479863,0.989635, 2.239646
us_000539319,0.989635, 2.239646
us_000482166,0.989635, 2.239646
us_000484258,0.989635, 2.240965
us_000464342,0.989635, 2.246463
us_000528177,0.989635, 2.252951
us_000499212,0.989635, 2.253741
us_000479238,0.989635, 2.260741
us_000518043,0.989635, 2.263923
us_000011844,0.989635, 2.268263
us_000476853,0.989635, 2.269571
us_000540383,0.989635, 2.269671
us_000500267,0.989635, 2.272488
us_000551882,0.989635, 2.274821
us_000472807,0.989635, 2.275744
us_000534700,0.989635, 2.276351
us_000521571,0.989635, 2.276717
us_000553704,0.989635, 2.279995
us_000540199,0.989635, 2.285376
us_000490860,0.989635, 2.298933
us_000503644,0.989635, 2.315023
us_000471028,0.989635, 2.321454
us_000459786,0.989635, 2.344185
us_000480522,0.989635, 2.363730
us_000482292,0.989635, 2.367517
us_000476957,0.989635, 2.457655
pr_000383133,0.959225, 0.000000
us_000544812,0.959225, 1.406701
us_000498639,0.959225, 2.611270
us_000550491,0.959225, 2.661560
us_000179555,0.959225, 2.668286
us_000588098,0.959225, 2.719491
us_000535278,0.959225, 2.806121
us_000474043,0.959225, 2.900356
us_000488184,0.959225, 3.032360
us_000538562,0.959225, 3.063539
us_000499848,0.959225, 3.067356
us_000528268,0.959225, 3.073292
us_000192552,0.959225, 3.112177
us_000590879,0.959225, 3.117926
us_000542674,0.959225, 3.163557
us_000598855,0.959225, 3.166799
us_000562359,0.959225, 3.177483
us_000500856,0.959225, 3.411452
pr_001674097,0.908596, 0.000000
pr_001153019,0.908596, 0.000000
us_000529431,0.908596, 0.000000
us_000558958,0.908596, 0.000000
us_000559162,0.908596, 0.000454
us_000610956,0.908596, 0.001725
us_000526796,0.908596, 0.020373
us_000526544,0.908596, 0.027967
us_000517571,0.908596, 0.037160
us_000545309,0.908596, 0.037391
us_000520052,0.908596, 0.057234
us_000484126,0.908596, 0.064434
us_000502798,0.908596, 0.065032
us_000567172,0.908596, 0.109136
us_000515762,0.908596, 0.153005
us_000483725,0.908596, 0.363019
us_000519731,0.875466, 0.000012
us_000534065,0.875466, 0.048320
us_000492790,0.875466, 0.084733
us_000468074,0.875466, 2.062093
us_000462433,0.875466, 2.270882
us_000476392,0.875466, 2.281631
us_000468533,0.875466, 2.302365
us_000529561,0.875466, 2.328199
us_000529558,0.875466, 2.425229
us_000575828,0.875466, 2.448112
us_000519182,0.821933, 0.000004
pr_002052258,0.821933, 0.000010
pr_000410567,0.821933, 0.000232
us_000500668,0.821933, 0.000990
us_000596158,0.821933, 0.013424
us_000501734,0.821933, 0.031248
us_000478295,0.821933, 1.550014
us_000480110,0.821933, 2.020654
us_000507274,0.821933, 2.049726
us_000520316,0.821933, 2.093015
us_000477816,0.821933, 2.125984
us_000471243,0.749519, 0.000000
us_000472338,0.749519, 0.000000
us_000515758,0.749519, 0.000000
pr_000735974,0.749519, 0.000001
pr_002006777,0.749519, 0.000001
us_000525240,0.749519, 0.000001
us_000464409,0.749519, 0.000002
us_000541449,0.749519, 0.000002
us_000539301,0.749519, 0.000002
pr_000750203,0.749519, 0.000004
pr_001894874,0.749519, 0.000006
us_000537888,0.749519, 0.000009
pr_002066217,0.749519, 0.000014
us_000510426,0.749519, 0.000023
us_000518842,0.749519, 0.000030
pr_001930435,0.749519, 0.000036
pr_001963351,0.749519, 0.000036
us_000537897,0.749519, 0.000061
us_000537922,0.749519, 0.000061
pr_001884506,0.749519, 0.000087
us_000503686,0.749519, 0.000159
us_000519328,0.749519, 0.000248
us_000441576,0.749519, 0.000263
us_000512067,0.749519, 0.000349
us_000508831,0.749519, 0.000349
us_000508799,0.749519, 0.000349
pr_001021085,0.749519, 0.000371
us_000521577,0.749519, 0.000510
us_000550742,0.749519, 0.000547
pr_001089198,0.749519, 0.000562
pr_000822658,0.749519, 0.000562
pr_000791139,0.749519, 0.000562
pr_000744957,0.749519, 0.000610
us_000484930,0.749519, 0.000615
pr_000880013,0.749519, 0.000629
pr_000886452,0.749519, 0.000629
us_000463914,0.749519, 0.000642
pr_000274758,0.749519, 0.000660
us_000542656,0.749519, 0.000807
pr_000289167,0.749519, 0.000914
pr_001611410,0.749519, 0.000931
us_000466827,0.749519, 0.000948
us_000539375,0.749519, 0.000987
pr_000562899,0.749519, 0.001170
us_000467129,0.749519, 0.001461
us_000599052,0.749519, 0.002507
us_000509297,0.749519, 0.003076
us_000486085,0.749519, 0.003112
us_000520640,0.749519, 0.003294
us_000492918,0.749519, 0.003344
us_000543433,0.749519, 0.003416
pr_001018053,0.749519, 0.003455
us_000535835,0.749519, 0.003694
us_000537949,0.749519, 0.005143
us_000106058,0.749519, 0.005842
us_000580820,0.749519, 0.007428
us_000559191,0.749519, 0.007515
us_000515699,0.749519, 0.007522
us_000542328,0.749519, 0.007790
us_000598055,0.749519, 0.008061
us_000506858,0.749519, 0.008871
us_000568739,0.749519, 0.010266
us_000567553,0.749519, 0.010913
us_000568680,0.749519, 0.011957
us_000470418,0.749519, 0.012760
us_000533657,0.749519, 0.012852
us_000542961,0.749519, 0.014734
us_000487783,0.749519, 0.017237
us_000498982,0.749519, 0.017759
us_000557514,0.749519, 0.017989
us_000566715,0.749519, 0.019626
us_000575454,0.749519, 0.020177
us_000163426,0.749519, 0.023441
us_000480432,0.749519, 0.026936
us_000472790,0.749519, 0.035748
us_000589732,0.749519, 0.043366
us_000525393,0.749519, 0.044941
us_000568938,0.749519, 0.050226
us_000480335,0.749519, 0.050962
us_000495291,0.749519, 0.056536
us_000589275,0.749519, 0.073321
us_000579268,0.749519, 0.081077
us_000494628,0.749519, 0.103556
us_000495488,0.749519, 0.162111
us_000482659,0.749519, 0.169227
us_000553948,0.749519, 0.228592
us_000485813,0.699910, 0.000000
us_000475127,0.699910, 0.000000
us_000488042,0.699910, 0.000111
us_000474447,0.699910, 0.000111
us_000604960,0.699910, 0.000668
us_000584632,0.699910, 0.001333
us_000563454,0.699910, 1.253696
us_000409714,0.699910, 1.270866
us_000498342,0.699910, 1.274581
us_000544703,0.699910, 1.286093
us_000206873,0.699910, 1.288934
us_000484204,0.699910, 1.294463
us_000552372,0.699910, 1.308626
us_000447593,0.699910, 1.312938
us_000480401,0.699910, 1.313877
us_000613028,0.699910, 1.315337
us_000617506,0.699910, 1.315611
us_000589496,0.699910, 1.318101
us_000528347,0.699910, 1.318339
us_000477026,0.699910, 1.319884
us_000478495,0.699910, 1.322347
us_000526533,0.699910, 1.335332
us_000483781,0.699910, 1.335405
us_000591824,0.699910, 1.338411
us_000517658,0.699910, 1.339135
us_000481874,0.699910, 1.340552
us_000604616,0.699910, 1.345332
us_000510148,0.699910, 1.347705
us_000482642,0.699910, 1.347727
us_000481757,0.699910, 1.347961
us_000527911,0.699910, 1.348675
us_000607056,0.699910, 1.351118
us_000591068,0.699910, 1.351607
us_000481639,0.699910, 1.353354
us_000493760,0.699910, 1.355018
us_000518586,0.699910, 1.355641
us_000606356,0.699910, 1.355727
us_000546115,0.699910, 1.358476
us_000473796,0.699910, 1.359824
us_000563277,0.699910, 1.361462
us_000554494,0.699910, 1.364870
us_000559828,0.699910, 1.366244
us_000499627,0.699910, 1.367979
us_000517133,0.699910, 1.368996
us_000469768,0.699910, 1.377139
us_000469401,0.699910, 1.377693
us_000606086,0.699910, 1.377983
us_000193254,0.699910, 1.378487
us_000359928,0.699910, 1.378498
us_000481851,0.699910, 1.378638
us_000481168,0.699910, 1.378638
us_000481802,0.699910, 1.378638
us_000589706,0.699910, 1.379373
us_000458983,0.699910, 1.379381
us_000579401,0.699910, 1.380614
us_000529079,0.699910, 1.383227
us_000505914,0.699910, 1.385659
us_000589403,0.699910, 1.386693
us_000482745,0.699910, 1.387773
us_000499342,0.699910, 1.387773
us_000482824,0.699910, 1.387773
us_000481751,0.699910, 1.387773
us_000499511,0.699910, 1.387773
us_000481747,0.699910, 1.391428
us_000493041,0.699910, 1.396621
us_000613609,0.699910, 1.408215
us_000482837,0.699910, 1.424150
us_000591998,0.699910, 1.427095
us_000482843,0.699910, 1.437905
us_000588169,0.699910, 1.473544
us_000526295,0.699910, 1.540064
pr_000877501,0.608815, 0.000000
pr_000920552,0.608815, 0.000000
pr_000994641,0.608815, 0.000000
pr_000748374,0.608815, 0.000000
pr_000923741,0.608815, 0.000000
pr_000957355,0.608815, 0.000000
pr_000377025,0.608815, 0.000000
pr_000213405,0.608815, 0.000000
pr_001409947,0.608815, 0.000000
pr_000782585,0.608815, 0.000000
pr_000758461,0.608815, 0.000000
pr_001132430,0.608815, 0.000000
pr_000113443,0.608815, 0.000000
pr_000069777,0.608815, 0.000000
pr_001909248,0.608815, 0.000000
pr_000955807,0.608815, 0.000000
pr_000999325,0.608815, 0.000000
us_000600445,0.608815, 0.000001
us_000600259,0.608815, 0.000011
pr_001024597,0.608815, 0.000012
pr_001879776,0.608815, 0.000028
pr_001133101,0.608815, 0.000168
us_000479505,0.608815, 0.023417
us_000594943,0.608815, 1.092002
us_000580787,0.608815, 1.263221
us_000467707,0.608815, 1.265091
us_000537890,0.608815, 1.269817
us_000495101,0.608815, 1.273930
us_000127180,0.608815, 1.280527
us_000522991,0.608815, 1.283429
us_000486075,0.608815, 1.285481
us_000563160,0.608815, 1.304090
us_000568951,0.608815, 1.311048
us_000615317,0.608815, 1.333672
us_000530454,0.608815, 1.346855
us_000471736,0.608815, 1.350779
us_000465724,0.608815, 1.353044
us_000568299,0.608815, 1.353368
us_000523040,0.608815, 1.363145
us_000491490,0.608815, 1.376500
us_000593583,0.608815, 1.382784
us_000598031,0.608815, 1.401765
us_000593616,0.608815, 1.411876
us_000576626,0.608815, 1.420908
us_000503474,0.608815, 1.443499
us_000576422,0.608815, 1.458316
us_000497984,0.608815, 1.465456
us_000474042,0.608815, 1.472914
us_000568015,0.608815, 1.473473
us_000518791,0.608815, 1.514001
us_000192235,0.608815, 1.519357
us_000536303,0.608815, 1.522268
us_000477007,0.608815, 1.640487
pr_000815375,0.587472, 0.000000
us_000477716,0.587472, 0.000001
us_000458996,0.587472, 0.000001
us_000500533,0.587472, 0.000001
us_000464555,0.587472, 0.000001
us_000474263,0.587472, 0.000001
us_000472371,0.587472, 0.000001
us_000118389,0.587472, 0.000001
us_000488997,0.587472, 0.000001
us_000259105,0.587472, 0.000001
us_000498262,0.587472, 0.000001
us_000459719,0.587472, 0.000001
us_000458766,0.587472, 0.000001
us_000503609,0.587472, 0.000001
us_000506662,0.587472, 0.000001
us_000493164,0.587472, 0.000001
us_000485510,0.587472, 0.000001
us_000222681,0.587472, 0.000001
us_000564950,0.587472, 0.000001
us_000483211,0.587472, 0.000001
us_000051293,0.587472, 0.000001
us_000474761,0.587472, 0.000001
us_000478674,0.587472, 0.000001
us_000458557,0.587472, 0.000001
us_000458685,0.587472, 0.000001
us_000476950,0.587472, 0.000001
us_000550551,0.587472, 0.000001
us_000563890,0.587472, 0.000001
us_000127683,0.587472, 0.000001
us_000459865,0.587472, 0.000001
us_000506035,0.587472, 0.000002
pr_000762444,0.587472, 0.000003
pr_000765291,0.587472, 0.000006
us_000492365,0.587472, 0.000014
us_000555788,0.587472, 0.000014
us_000481970,0.587472, 0.000014
us_000564083,0.587472, 0.000014
us_000533126,0.587472, 0.000015
us_000613819,0.587472, 0.000027
us_000452165,0.587472, 0.000030
pr_001875570,0.587472, 0.000037
us_000550195,0.587472, 0.000038
us_000591898,0.587472, 0.000060
pr_000290742,0.587472, 0.000121
us_000480138,0.587472, 0.000397
pr_002081041,0.587472, 0.000433
us_000562944,0.587472, 0.001115
us_000471675,0.587472, 0.001117
us_000493938,0.587472, 0.001642
us_000230803,0.587472, 0.002455
us_000481214,0.587472, 0.002467
us_000589824,0.587472, 0.003105
us_000590075,0.587472, 0.006217
us_000591738,0.587472, 0.008062
us_000528381,0.587472, 0.008178
us_000564004,0.587472, 0.011864
us_000581121,0.587472, 0.016336
us_000518874,0.587472, 0.017066
us_000529065,0.587472, 0.017811
us_000529401,0.587472, 0.019960
us_000563683,0.587472, 0.022533
us_000530869,0.587472, 0.031560
us_000512515,0.587472, 0.076988
us_000504308,0.587472, 0.096200
us_000458943,0.587472, 8.278928
pr_001030604,0.340555, 0.000000
us_000489382,0.340555, 0.000000
us_000555109,0.340555, 0.000060
us_000540056,0.340555, 0.000141
us_000532818,0.340555, 0.000669
us_000497215,0.340555, 0.000791
us_000555887,0.340555, 0.001124
us_000593788,0.340555, 0.002831
us_000467544,0.340555, 0.003549
us_000483370,0.340555, 0.013206
us_000403367,0.340555, 0.014943
us_000503791,0.340555, 0.023794
us_000482738,0.340555, 0.024450
us_000484362,0.340555, 0.030854
us_000572881,0.340555, 0.038126
us_000520088,0.340555, 0.038768
us_000470804,0.340555, 0.051612
us_000481347,0.340555, 0.080711
us_000501204,0.340555, 0.106384
us_000533563,0.340555, 0.156293
us_000561869,0.340555, 0.754808
us_000496006,0.340555, 0.755374
us_000529485,0.340555, 0.769581
us_000558265,0.340555, 0.770180
us_000509606,0.340555, 0.773554
us_000483566,0.340555, 0.774540
us_000469657,0.340555, 0.780567
us_000583388,0.340555, 0.789485
us_000588195,0.340555, 0.794649
us_000508337,0.340555, 0.796928
us_000481498,0.340555, 0.801411
us_000556790,0.340555, 0.805136
us_000508927,0.340555, 0.806369
us_000604387,0.340555, 0.807473
us_000478469,0.340555, 0.810330
us_000551028,0.340555, 0.810756
us_000497258,0.340555, 0.811008
us_000553091,0.340555, 0.812312
us_000497734,0.340555, 0.813800
us_000546216,0.340555, 0.818026
us_000051453,0.340555, 0.818784
us_000496305,0.340555, 0.819810
us_000498640,0.340555, 0.822014
us_000556741,0.340555, 0.823742
us_000482813,0.340555, 0.825981
us_000482299,0.340555, 0.826822
us_000601793,0.340555, 0.827843
us_000546452,0.340555, 0.827845
us_000604231,0.340555, 0.829155
us_000595263,0.340555, 0.830183
us_000571779,0.340555, 0.831237
us_000608416,0.340555, 0.831604
us_000601795,0.340555, 0.833350
us_000477947,0.340555, 0.835709
us_000518184,0.340555, 0.836339
us_000612493,0.340555, 0.836443
us_000606967,0.340555, 0.836769
us_000482575,0.340555, 0.837929
us_000481293,0.340555, 0.838435
us_000239615,0.340555, 0.838535
us_000482895,0.340555, 0.839044
us_000612472,0.340555, 0.839905
us_000482543,0.340555, 0.840016
us_000479210,0.340555, 0.840226
us_000479633,0.340555, 0.840226
us_000481300,0.340555, 0.840226
us_000482356,0.340555, 0.840226
us_000499225,0.340555, 0.840226
us_000482789,0.340555, 0.840226
us_000482582,0.340555, 0.840226
us_000481313,0.340555, 0.840226
us_000499687,0.340555, 0.840226
us_000501940,0.340555, 0.840226
us_000481903,0.340555, 0.840226
us_000481107,0.340555, 0.840226
us_000479090,0.340555, 0.840226
us_000481894,0.340555, 0.840226
us_000481245,0.340555, 0.840226
us_000479117,0.340555, 0.840226
us_000546120,0.340555, 0.840226
us_000502235,0.340555, 0.840226
us_000498275,0.340555, 0.840226
us_000518355,0.340555, 0.840226
us_000518955,0.340555, 0.840226
us_000595264,0.340555, 0.840480
us_000601196,0.340555, 0.840863
us_000582693,0.340555, 0.841360
us_000497966,0.340555, 0.841883
us_000481274,0.340555, 0.841978
us_000613292,0.340555, 0.842629
us_000591808,0.340555, 0.842774
us_000465289,0.340555, 0.843023
us_000494690,0.340555, 0.843574
us_000530311,0.340555, 0.844815
us_000466404,0.340555, 0.847621
us_000499682,0.340555, 0.847891
us_000532615,0.340555, 0.853679
