Product ID : 994 JPs covered : 69 : Class Action, 
OID,Confidence at Map Node,Error at Map Node
us_000502987,0.915165, 1.070606
us_000546489,0.915165, 1.072249
us_000527590,0.915165, 1.080622
us_000483121,0.915165, 1.134577
us_000522571,0.915165, 1.157182
us_000481723,0.915165, 1.168515
us_000541684,0.915165, 1.185110
us_000559244,0.915165, 1.186267
us_000127641,0.915165, 1.193122
us_000593383,0.915165, 1.202378
us_000464418,0.915165, 1.212904
us_000494933,0.915165, 1.226475
us_000236329,0.915165, 1.236041
us_000594205,0.915165, 1.248364
us_000505890,0.915165, 1.261992
us_000555104,0.915165, 1.266185
us_000516874,0.915165, 1.266813
us_000531325,0.915165, 1.276054
us_000034358,0.915165, 1.285208
us_000545269,0.915165, 1.285643
us_000547547,0.915165, 1.288694
us_000544734,0.915165, 1.303379
us_000464735,0.915165, 1.313402
us_000473265,0.915165, 1.318749
us_000153295,0.915165, 1.332590
us_000519086,0.915165, 1.332881
us_000527662,0.915165, 1.345808
us_000198267,0.915165, 1.349446
us_000530400,0.915165, 1.355307
us_000216143,0.915165, 1.357304
us_000528528,0.915165, 1.357306
us_000529419,0.915165, 1.358146
us_000534436,0.915165, 1.368778
us_000544554,0.915165, 1.370440
us_000529466,0.915165, 1.377050
us_000527895,0.915165, 1.380507
us_000512741,0.915165, 1.384593
us_000529526,0.915165, 1.391563
us_000517385,0.915165, 1.395919
us_000530187,0.915165, 1.400031
us_000477897,0.915165, 1.401753
us_000515745,0.915165, 1.402892
us_000517776,0.915165, 1.402892
us_000531327,0.915165, 1.402892
us_000516188,0.915165, 1.402892
us_000593912,0.915165, 1.422016
us_000544795,0.915165, 1.423161
us_000463858,0.915165, 1.426075
us_000544855,0.915165, 1.427898
us_000533940,0.915165, 1.564452
us_000505615,0.915165, 1.729758
us_000473922,0.915165, 1.969734
pr_000835383,0.878413, 0.000000
pr_000597500,0.878413, 0.000000
pr_001032321,0.878413, 0.000000
pr_001404790,0.878413, 0.000000
pr_001404522,0.878413, 0.000000
pr_001106640,0.878413, 0.000000
pr_000839865,0.878413, 0.000000
pr_001140256,0.878413, 0.000001
pr_001406545,0.878413, 0.000001
pr_001405960,0.878413, 0.000001
pr_001723738,0.878413, 0.000001
pr_001761933,0.878413, 0.000001
pr_001595461,0.878413, 0.000001
pr_001406831,0.878413, 0.000001
pr_001413449,0.878413, 0.000001
us_000466322,0.878413, 0.000001
us_000493408,0.878413, 0.000008
us_000572959,0.878413, 0.000013
us_000582866,0.878413, 0.000041
us_000582867,0.878413, 0.000041
us_000574892,0.878413, 0.000100
us_000507228,0.878413, 0.000112
us_000575855,0.878413, 0.000114
us_000583508,0.878413, 0.000114
us_000583983,0.878413, 0.000114
us_000583423,0.878413, 0.000114
us_000583514,0.878413, 0.000114
us_000594548,0.878413, 0.000590
us_000560429,0.878413, 0.002026
us_000543272,0.878413, 0.003350
us_000557013,0.878413, 0.016690
us_000505991,0.878413, 1.439120
us_000483385,0.878413, 1.569893
us_000038941,0.878413, 1.578385
pr_000110180,0.737882, 0.000000
us_000520277,0.737882, 0.000003
us_000481526,0.737882, 0.000003
pr_002066341,0.737882, 0.000022
pr_001678461,0.737882, 0.000060
pr_001035698,0.737882, 0.000137
us_000548554,0.737882, 1.168495
pr_000730814,0.612997, 0.000000
pr_000705038,0.612997, 0.000002
pr_000825688,0.612997, 0.000004
pr_001159596,0.612997, 0.000034
pr_000791802,0.612997, 0.000226
us_000528196,0.612997, 0.000275
pr_001153774,0.612997, 0.000302
pr_000905930,0.612997, 0.000398
us_000323634,0.612997, 0.000813
us_000528632,0.612997, 0.001696
us_000527942,0.612997, 0.868442
us_000559288,0.612997, 0.870763
us_000559291,0.612997, 0.902192
us_000503046,0.612997, 0.932643
us_000616760,0.565249, 0.000000
us_000487316,0.565249, 0.000000
us_000487023,0.565249, 0.000000
us_000488890,0.565249, 0.000000
us_000473544,0.565249, 0.000007
pr_000748296,0.565249, 0.000025
pr_000838376,0.565249, 0.000613
pr_001136666,0.565249, 0.000703
pr_000713515,0.565249, 0.000704
pr_000958952,0.565249, 0.000732
pr_001047383,0.565249, 0.000796
pr_000989447,0.565249, 0.000847
pr_000637148,0.565249, 0.000876
pr_000822642,0.565249, 0.000885
pr_000555931,0.565249, 0.000924
pr_001583767,0.565249, 0.000961
pr_000724900,0.565249, 0.001168
pr_001086649,0.565249, 0.001181
pr_001076727,0.565249, 0.001211
pr_001015299,0.565249, 0.001219
pr_000728235,0.565249, 0.001312
pr_001020223,0.565249, 0.001347
pr_000727586,0.565249, 0.001347
pr_000939952,0.565249, 0.001347
pr_000338808,0.565249, 0.001471
pr_000997656,0.565249, 0.001524
pr_000163503,0.565249, 0.001608
pr_000891324,0.565249, 0.001746
pr_000862806,0.565249, 0.002237
pr_001657219,0.565249, 0.002528
pr_001017515,0.565249, 0.003204
us_000499755,0.565249, 0.014183
us_000471979,0.565249, 0.016132
us_000525890,0.565249, 0.021989
us_000502093,0.565249, 0.221894
us_000465139,0.565249, 0.865532
pr_000333523,0.542315, 0.000000
pr_000376240,0.542315, 0.000000
pr_000468785,0.542315, 0.000000
pr_000135423,0.542315, 0.000000
pr_001084905,0.542315, 0.000000
pr_000502105,0.542315, 0.000000
us_000569110,0.542315, 0.000000
us_000569111,0.542315, 0.000000
us_000508798,0.542315, 0.000002
us_000525405,0.542315, 0.000002
us_000049809,0.542315, 0.000010
us_000505906,0.542315, 0.000021
us_000418790,0.542315, 0.000055
us_000181952,0.542315, 0.000061
us_000601092,0.542315, 0.000087
us_000611126,0.542315, 0.000114
us_000553275,0.542315, 0.000174
pr_000908598,0.542315, 0.000207
us_000570352,0.542315, 0.000264
us_000592368,0.542315, 0.000366
us_000592398,0.542315, 0.000366
us_000593588,0.542315, 0.000366
us_000574656,0.542315, 0.000366
us_000593596,0.542315, 0.000366
us_000616225,0.542315, 0.000367
us_000616227,0.542315, 0.000367
us_000616308,0.542315, 0.000367
us_000616309,0.542315, 0.000367
us_000598944,0.542315, 0.000371
us_000574215,0.542315, 0.000382
us_000585094,0.542315, 0.000387
us_000614495,0.542315, 0.000404
us_000573554,0.542315, 0.000409
us_000592839,0.542315, 0.000409
us_000596777,0.542315, 0.000409
us_000593537,0.542315, 0.000409
us_000598150,0.542315, 0.000409
us_000582087,0.542315, 0.000409
us_000617352,0.542315, 0.000409
us_000598156,0.542315, 0.000409
us_000574713,0.542315, 0.000409
us_000604449,0.542315, 0.000409
us_000608359,0.542315, 0.000409
us_000609656,0.542315, 0.000409
us_000597033,0.542315, 0.000409
us_000598298,0.542315, 0.000412
us_000611186,0.542315, 0.000414
us_000522812,0.542315, 0.000427
us_000601343,0.542315, 0.000427
us_000573260,0.542315, 0.000443
us_000493626,0.542315, 0.000451
us_000586717,0.542315, 0.000470
us_000480597,0.542315, 0.000472
us_000588465,0.542315, 0.000496
us_000531877,0.542315, 0.000560
us_000579719,0.542315, 0.000585
us_000584020,0.542315, 0.000621
us_000616633,0.542315, 0.000637
us_000541083,0.542315, 0.000637
us_000574649,0.542315, 0.000637
us_000574767,0.542315, 0.000664
us_000594082,0.542315, 0.000664
us_000582005,0.542315, 0.000698
us_000564686,0.542315, 0.000725
us_000596273,0.542315, 0.000751
us_000561237,0.542315, 0.000766
us_000563190,0.542315, 0.000788
us_000585044,0.542315, 0.000885
us_000586780,0.542315, 0.001062
us_000599851,0.542315, 0.001224
us_000526461,0.542315, 0.001285
us_000579763,0.542315, 0.001573
us_000613811,0.542315, 0.002070
us_000541291,0.542315, 0.002109
us_000593900,0.542315, 0.002308
us_000480805,0.542315, 0.002342
us_000577870,0.542315, 0.002546
us_000579060,0.542315, 0.002552
us_000593947,0.542315, 0.002552
us_000530371,0.542315, 0.002565
us_000546127,0.542315, 0.002581
pr_000348705,0.542315, 0.002786
us_000574984,0.542315, 0.002823
us_000598137,0.542315, 0.002838
us_000570311,0.542315, 0.002922
us_000583957,0.542315, 0.002927
us_000523861,0.542315, 0.002990
us_000602818,0.542315, 0.003008
us_000491815,0.542315, 0.003041
us_000520273,0.542315, 0.003349
us_000591168,0.542315, 0.003459
us_000522356,0.542315, 0.003470
us_000594144,0.542315, 0.003828
us_000614729,0.542315, 0.003866
us_000519826,0.542315, 0.004046
us_000564844,0.542315, 0.004483
us_000581351,0.542315, 0.004666
us_000507429,0.542315, 0.004849
us_000566772,0.542315, 0.005177
us_000554094,0.542315, 0.005326
us_000480842,0.542315, 0.005591
us_000534158,0.542315, 0.005597
us_000549941,0.542315, 0.005751
us_000550789,0.542315, 0.005806
us_000550818,0.542315, 0.005832
us_000572449,0.542315, 0.006227
us_000496229,0.542315, 0.006269
us_000539942,0.542315, 0.006673
us_000588370,0.542315, 0.007017
us_000512393,0.542315, 0.007076
us_000566535,0.542315, 0.007348
us_000510275,0.542315, 0.007817
us_000565264,0.542315, 0.008080
pr_000432748,0.542315, 0.008454
us_000568324,0.542315, 0.008940
us_000532362,0.542315, 0.009665
us_000597126,0.542315, 0.009705
us_000598746,0.542315, 0.011119
us_000486196,0.542315, 0.011535
us_000485285,0.542315, 0.012843
us_000565634,0.542315, 0.013480
us_000544068,0.542315, 0.013788
us_000579145,0.542315, 0.017499
us_000496835,0.542315, 0.021392
us_000528056,0.542315, 0.021627
us_000534969,0.542315, 0.048429
us_000129824,0.542315, 0.778690
us_000518869,0.542315, 0.901299
us_000461951,0.542315, 0.908615
us_000519052,0.542315, 1.017459
us_000493722,0.542315, 1.258859
us_000484329,0.542315, 1.286924
us_000562322,0.542315, 1.287114
us_000493132,0.542315, 1.336021
us_000561877,0.542315, 1.374107
us_000539924,0.542315, 1.377918
us_000562134,0.542315, 1.380634
us_000484071,0.542315, 1.408439
us_000475061,0.542315, 1.425955
us_000571585,0.542315, 1.433946
us_000135500,0.542315, 1.440180
us_000513275,0.542315, 1.448588
us_000488706,0.542315, 1.503869
us_000497940,0.542315, 1.505376
us_000491187,0.542315, 1.522211
us_000492648,0.542315, 1.536281
us_000550270,0.542315, 1.557714
us_000520890,0.542315, 1.574072
us_000491800,0.542315, 1.582178
us_000516004,0.542315, 1.598665
us_000533661,0.542315, 1.606265
us_000525732,0.542315, 1.617324
us_000566418,0.542315, 1.624864
us_000484525,0.542315, 1.625417
us_000543455,0.542315, 1.629223
us_000520477,0.542315, 1.636063
us_000557271,0.542315, 1.636320
us_000544156,0.542315, 1.639219
us_000540545,0.542315, 1.641943
us_000557220,0.542315, 1.652118
us_000523526,0.542315, 1.653387
us_000534147,0.542315, 1.654729
us_000534093,0.542315, 1.655909
us_000533773,0.542315, 1.667670
us_000513264,0.542315, 1.672540
us_000521637,0.542315, 1.685001
us_000513257,0.542315, 1.709833
us_000516788,0.542315, 1.742413
us_000488403,0.542315, 1.744674
us_000509455,0.542315, 1.761822
us_000521089,0.542315, 1.765147
us_000459953,0.542315, 1.766179
us_000491508,0.542315, 1.774064
us_000525419,0.542315, 1.776103
us_000509327,0.542315, 1.776420
us_000557069,0.542315, 1.776753
us_000511805,0.542315, 1.776753
us_000525330,0.542315, 1.776753
us_000506244,0.542315, 1.785383
us_000468869,0.542315, 1.795760
us_000493920,0.542315, 1.840483
us_000525739,0.542315, 1.849647
us_000498131,0.542315, 1.851550
us_000505815,0.542315, 1.852600
us_000484385,0.542315, 1.856449
us_000533310,0.542315, 1.908320
us_000491781,0.542315, 1.963691
us_000534304,0.542315, 1.965883
us_000493116,0.542315, 1.998757
us_000484874,0.542315, 2.080943
us_000486278,0.459174, 0.000000
us_000485257,0.459174, 0.000000
us_000486904,0.459174, 0.000000
us_000484681,0.459174, 0.000000
us_000463758,0.459174, 0.000004
us_000488991,0.459174, 0.000004
us_000515857,0.459174, 0.000004
us_000563507,0.459174, 0.000038
pr_001814991,0.459174, 0.000047
pr_000998969,0.459174, 0.000047
pr_001734535,0.459174, 0.000047
pr_001993877,0.459174, 0.000047
pr_001020962,0.459174, 0.000047
pr_000996237,0.459174, 0.000047
pr_001075496,0.459174, 0.000047
pr_001603614,0.459174, 0.000047
pr_000448535,0.459174, 0.000047
pr_000984013,0.459174, 0.000047
pr_001399208,0.459174, 0.000047
pr_001956785,0.459174, 0.000047
pr_001118668,0.459174, 0.000047
pr_000597437,0.459174, 0.000047
pr_001080341,0.459174, 0.000047
pr_001080089,0.459174, 0.000047
pr_001083453,0.459174, 0.000047
pr_000328190,0.459174, 0.000061
pr_001086090,0.459174, 0.000083
pr_000760324,0.459174, 0.000109
pr_001748299,0.459174, 0.000434
us_000469073,0.459174, 0.000562
pr_000638942,0.459174, 0.001034
us_000575211,0.459174, 0.002317
us_000575192,0.459174, 0.002426
us_000536033,0.459174, 0.003532
us_000488583,0.459174, 0.003544
us_000499007,0.459174, 0.042980
us_000504527,0.459174, 0.141472
us_000567173,0.459174, 0.856330
us_000475158,0.459174, 0.861790
us_000491636,0.459174, 1.080795
us_000493545,0.459174, 1.120836
us_000544026,0.459174, 1.186916
us_000491894,0.459174, 1.283607
us_000508341,0.443243, 0.901311
us_000551247,0.443243, 3.820928
us_000547867,0.362971, 0.000000
pr_001114326,0.362971, 0.000000
pr_000966403,0.362971, 0.000000
us_000529622,0.362971, 0.000007
us_000482340,0.362971, 0.000023
us_000491001,0.362971, 0.000024
pr_000592787,0.362971, 0.000122
pr_000163608,0.362971, 0.003154
us_000576463,0.362971, 0.010706
us_000579126,0.362971, 0.499692
pr_001074778,0.306211, 0.000000
pr_001004091,0.306211, 0.000000
pr_000810191,0.306211, 0.000000
pr_001689745,0.306211, 0.000000
pr_000469452,0.306211, 0.000000
pr_001584498,0.306211, 0.000000
pr_000575633,0.306211, 0.000002
us_000510736,0.306211, 0.000010
us_000511742,0.306211, 0.000010
us_000529416,0.306211, 0.000010
us_000516606,0.306211, 0.000010
us_000517778,0.306211, 0.000010
us_000559148,0.306211, 0.000010
us_000529305,0.306211, 0.000238
us_000535492,0.306211, 0.000500
us_000510935,0.306211, 0.004718
us_000517697,0.306211, 0.024080
us_000575512,0.306211, 0.579826
us_000577354,0.306211, 0.623851
us_000578063,0.306211, 0.660020
us_000572945,0.306211, 0.683264
us_000601709,0.306211, 0.692320
us_000594371,0.306211, 0.720367
us_000581781,0.306211, 0.726800
us_000547459,0.306211, 0.728436
us_000566320,0.306211, 0.730211
us_000535272,0.306211, 0.743176
us_000573156,0.306211, 0.752728
us_000531636,0.306211, 0.753905
us_000572171,0.306211, 0.754103
us_000563996,0.306211, 0.755459
us_000549707,0.306211, 0.766752
us_000508065,0.306211, 0.766778
us_000513702,0.306211, 0.773584
us_000511738,0.306211, 0.774166
us_000607006,0.306211, 0.790569
us_000570345,0.306211, 0.792162
us_000600359,0.306211, 0.793337
us_000465103,0.306211, 0.802304
us_000588788,0.306211, 0.807433
us_000529926,0.306211, 0.813334
us_000486729,0.306211, 0.818271
us_000507532,0.306211, 0.818956
us_000546355,0.306211, 0.821376
us_000572076,0.306211, 0.822641
us_000529882,0.306211, 0.827424
us_000611378,0.306211, 0.846007
us_000547541,0.306211, 0.857860
us_000514125,0.306211, 0.858423
us_000561772,0.306211, 0.859477
us_000532239,0.306211, 0.862782
us_000612285,0.306211, 0.966104
pr_001893939,0.270080, 0.000000
pr_000582935,0.270080, 0.000000
pr_001842126,0.270080, 0.000000
pr_001894285,0.270080, 0.000000
us_000557667,0.270080, 0.000001
us_000502429,0.270080, 0.000001
us_000506344,0.270080, 0.000001
us_000534800,0.270080, 0.000001
us_000557669,0.270080, 0.000001
us_000517346,0.270080, 0.000001
us_000541877,0.270080, 0.000001
pr_000307069,0.270080, 0.000003
pr_001410759,0.270080, 0.000014
pr_000900939,0.270080, 0.000029
pr_001913574,0.270080, 0.000041
pr_001010282,0.270080, 0.000092
pr_000668563,0.270080, 0.001184
us_000531767,0.270080, 0.005215
us_000583121,0.270080, 0.228022
us_000595644,0.270080, 0.323278
us_000493707,0.270080, 0.402805
us_000587931,0.270080, 0.436444
us_000461323,0.270080, 0.451678
us_000584772,0.270080, 0.453024
us_000547857,0.270080, 0.455117
us_000530532,0.270080, 0.456912
us_000576674,0.270080, 0.471728
us_000542169,0.270080, 0.471975
us_000549086,0.270080, 0.480179
us_000535411,0.270080, 0.480751
us_000513803,0.270080, 0.480898
us_000572178,0.270080, 0.485040
us_000617222,0.270080, 0.487536
us_000533744,0.270080, 0.493396
us_000600674,0.270080, 0.493697
us_000478153,0.270080, 0.494075
us_000582833,0.270080, 0.494162
us_000515717,0.270080, 0.499386
us_000469255,0.270080, 0.500251
us_000562264,0.270080, 0.500361
us_000093533,0.270080, 0.502167
us_000484625,0.270080, 0.502423
us_000578100,0.270080, 0.503191
us_000573134,0.270080, 0.504640
us_000589244,0.270080, 0.506572
us_000566906,0.270080, 0.506943
us_000581309,0.270080, 0.507963
us_000550819,0.270080, 0.508993
us_000515134,0.270080, 0.509057
us_000600551,0.270080, 0.510810
us_000543801,0.270080, 0.513234
us_000245477,0.270080, 0.515786
us_000601143,0.270080, 0.517135
us_000559293,0.270080, 0.520878
us_000493742,0.270080, 0.521511
us_000541658,0.270080, 0.522005
us_000466346,0.270080, 0.523082
us_000540801,0.270080, 0.523707
us_000600673,0.270080, 0.523799
us_000586210,0.270080, 0.523799
us_000542216,0.270080, 0.524389
us_000579748,0.270080, 0.524467
us_000587162,0.270080, 0.525197
us_000584214,0.270080, 0.525249
us_000599018,0.270080, 0.526059
us_000610527,0.270080, 0.526887
us_000517807,0.270080, 0.527547
us_000583534,0.270080, 0.528427
us_000608475,0.270080, 0.528645
us_000570434,0.270080, 0.529471
us_000580443,0.270080, 0.531086
us_000549858,0.270080, 0.532453
us_000542984,0.270080, 0.533009
us_000617138,0.270080, 0.536293
us_000530200,0.270080, 0.537712
us_000501108,0.270080, 0.540157
us_000583743,0.270080, 0.541394
us_000501453,0.270080, 0.541756
us_000466032,0.270080, 0.541760
us_000547076,0.270080, 0.543583
us_000556502,0.270080, 0.543583
us_000600693,0.270080, 0.544555
us_000078088,0.270080, 0.544764
us_000462129,0.270080, 0.544839
us_000582932,0.270080, 0.546125
us_000583395,0.270080, 0.547340
us_000583391,0.270080, 0.547340
us_000614897,0.270080, 0.547340
us_000583488,0.270080, 0.547340
us_000575773,0.270080, 0.548313
us_000599448,0.270080, 0.548313
us_000615781,0.270080, 0.548738
us_000616045,0.270080, 0.548738
us_000616046,0.270080, 0.548738
us_000583270,0.270080, 0.549701
us_000557857,0.270080, 0.550140
us_000610305,0.270080, 0.550140
us_000580764,0.270080, 0.550140
us_000602454,0.270080, 0.550140
us_000605728,0.270080, 0.550140
us_000578690,0.270080, 0.550140
us_000582823,0.270080, 0.550140
us_000517802,0.270080, 0.550724
us_000494295,0.270080, 0.551124
us_000573650,0.270080, 0.551831
us_000513316,0.270080, 0.552217
us_000555855,0.270080, 0.553048
us_000517762,0.270080, 0.553963
us_000600308,0.270080, 0.556045
us_000543079,0.270080, 0.558661
us_000566321,0.270080, 0.558776
us_000533344,0.270080, 0.559596
us_000546323,0.270080, 0.561436
us_000612607,0.270080, 0.561795
us_000531144,0.270080, 0.565407
us_000512878,0.270080, 0.565789
us_000502173,0.270080, 0.566389
us_000578796,0.270080, 0.567053
us_000558537,0.270080, 0.568012
us_000602002,0.270080, 0.568341
us_000487317,0.270080, 0.570331
us_000488368,0.270080, 0.571744
us_000513847,0.270080, 0.571744
us_000477614,0.270080, 0.572601
us_000604946,0.270080, 0.573951
us_000616106,0.270080, 0.574427
us_000547413,0.270080, 0.574930
us_000546008,0.270080, 0.578005
us_000531426,0.270080, 0.578450
us_000529365,0.270080, 0.578663
us_000531502,0.270080, 0.578663
us_000534529,0.270080, 0.578663
us_000517447,0.270080, 0.578663
us_000547340,0.270080, 0.578663
us_000529275,0.270080, 0.578663
us_000558557,0.270080, 0.578663
us_000515774,0.270080, 0.578663
us_000515766,0.270080, 0.578663
us_000547274,0.270080, 0.578663
us_000463818,0.270080, 0.578678
us_000596960,0.270080, 0.579244
us_000584829,0.270080, 0.580339
us_000530218,0.270080, 0.580490
us_000610886,0.270080, 0.580490
us_000581221,0.270080, 0.580490
us_000512870,0.270080, 0.580490
us_000517737,0.270080, 0.580490
us_000547510,0.270080, 0.580490
us_000512942,0.270080, 0.580490
us_000547104,0.270080, 0.580490
us_000580819,0.270080, 0.580490
us_000517261,0.270080, 0.580490
us_000546787,0.270080, 0.580490
us_000527178,0.270080, 0.580490
us_000513066,0.270080, 0.580490
us_000527724,0.270080, 0.580490
us_000516586,0.270080, 0.580490
us_000513868,0.270080, 0.580490
us_000529456,0.270080, 0.580490
us_000514549,0.270080, 0.580490
