Product ID : 2096 # of JPs covered : 1 : 293 : Insurance Coverage, 
pr_001644419,0.915258, 0.000000
us_000552103,0.915258, 0.000000
us_000567686,0.915258, 0.000000
us_000534696,0.915258, 0.000000
us_000571706,0.915258, 0.000000
us_000534668,0.915258, 0.000000
us_000567680,0.915258, 0.000000
us_000552105,0.915258, 0.000000
us_000553099,0.915258, 0.000000
us_000503598,0.915258, 0.000000
us_000555385,0.915258, 0.000000
us_000504446,0.915258, 0.000000
us_000528890,0.915258, 0.000000
us_000498541,0.915258, 0.000000
us_000498930,0.915258, 0.000000
us_000489506,0.915258, 0.000000
us_000523009,0.915258, 0.000000
us_000498444,0.915258, 0.000000
pr_000594926,0.915258, 0.000002
pr_000888948,0.915258, 0.000002
pr_001071050,0.915258, 0.000003
pr_000837717,0.915258, 0.000004
pr_001070843,0.915258, 0.000007
pr_001111011,0.915258, 0.000010
pr_001816886,0.915258, 0.000010
pr_000945480,0.915258, 0.000017
pr_000737528,0.915258, 0.000019
pr_001671998,0.915258, 0.000020
pr_000563130,0.915258, 0.000028
pr_001705915,0.915258, 0.000039
us_000606569,0.915258, 0.000044
us_000599477,0.915258, 0.000112
us_000460541,0.915258, 0.000675
us_000478077,0.915258, 0.000705
us_000536994,0.915258, 0.000879
us_000542906,0.915258, 0.000909
us_000503156,0.915258, 0.001068
us_000475086,0.915258, 0.001075
us_000514786,0.915258, 0.001088
us_000496794,0.915258, 0.001132
us_000594844,0.915258, 0.001325
us_000550677,0.915258, 0.001611
us_000498933,0.915258, 0.001893
us_000478617,0.915258, 0.001925
us_000577298,0.915258, 0.002137
us_000497079,0.915258, 0.002565
us_000516751,0.915258, 0.002677
us_000478183,0.915258, 0.003127
us_000542089,0.915258, 0.003305
us_000501803,0.915258, 0.003769
us_000614369,0.915258, 0.004512
us_000505246,0.915258, 0.006259
us_000499614,0.915258, 0.007320
us_000542579,0.915258, 0.009862
us_000483650,0.915258, 0.010035
us_000477095,0.915258, 0.010301
us_000566346,0.915258, 0.010845
us_000562589,0.915258, 0.015323
us_000475890,0.915258, 0.015475
us_000565017,0.915258, 0.017221
us_000582549,0.915258, 0.018585
us_000546377,0.915258, 0.021337
us_000575308,0.915258, 0.026354
us_000469801,0.915258, 0.030733
us_000538390,0.915258, 0.031518
us_000463636,0.915258, 0.034271
us_000587536,0.915258, 0.065471
us_000314503,0.915258, 0.127623
us_000529455,0.915258, 6.773587
us_000587547,0.915258, 8.514680
us_000569767,0.816813, 0.000000
us_000562671,0.816813, 0.000000
us_000542255,0.816813, 0.000000
us_000603156,0.816813, 0.000000
us_000562670,0.816813, 0.000000
us_000529708,0.816813, 0.000000
us_000565566,0.816813, 0.000000
us_000463080,0.816813, 0.000004
pr_002054777,0.816813, 0.000020
pr_001600235,0.816813, 0.000022
pr_000745644,0.816813, 0.000035
pr_000898352,0.816813, 0.000035
pr_000758954,0.816813, 0.000035
pr_001017725,0.816813, 0.000035
pr_000879860,0.816813, 0.000103
pr_000909790,0.816813, 0.000129
pr_001814048,0.816813, 0.000159
pr_001016663,0.816813, 0.000421
pr_001120228,0.816813, 0.000466
us_000583818,0.816813, 0.000595
pr_001740691,0.816813, 0.001424
us_000567550,0.816813, 0.073960
pr_000912272,0.803605, 0.000002
pr_000711509,0.803605, 0.000007
pr_000440559,0.803605, 0.000012
pr_000945378,0.803605, 0.000075
pr_001607486,0.803605, 0.000078
pr_000654239,0.803605, 0.000107
pr_000166903,0.803605, 0.000143
pr_000760696,0.803605, 0.000172
pr_000593138,0.803605, 0.000185
pr_001008688,0.803605, 0.000403
pr_000881373,0.803605, 0.000657
pr_000342940,0.803605, 0.000968
pr_000832708,0.803605, 0.001015
us_000539566,0.803605, 0.064580
us_000460600,0.803605, 0.138544
us_000134522,0.803605, 1.490238
us_000507485,0.803605, 1.528897
us_000502162,0.803605, 1.550932
us_000482927,0.803605, 1.559324
us_000499239,0.803605, 1.572751
us_000524923,0.803605, 1.578474
us_000467090,0.803605, 1.601409
us_000478339,0.803605, 1.630360
us_000479299,0.803605, 1.641977
us_000577530,0.803605, 1.670956
us_000533858,0.803605, 1.672335
us_000502721,0.803605, 1.672340
us_000502739,0.803605, 1.688129
us_000567432,0.803605, 1.702528
us_000078055,0.803605, 1.705939
us_000550560,0.803605, 1.712140
us_000533890,0.803605, 1.714172
us_000502751,0.803605, 1.717929
us_000479241,0.803605, 1.725140
us_000470442,0.803605, 1.728571
us_000539572,0.803605, 1.730913
us_000513094,0.803605, 1.731189
us_000479310,0.803605, 1.733218
us_000557363,0.803605, 1.736023
us_000497464,0.803605, 1.737771
us_000470397,0.803605, 1.750297
us_000540714,0.803605, 1.752908
us_000540719,0.803605, 1.760050
us_000567251,0.803605, 1.760951
us_000465616,0.803605, 1.763820
us_000467810,0.803605, 1.767071
us_000500425,0.803605, 1.768265
us_000543344,0.803605, 1.768740
us_000543381,0.803605, 1.773966
us_000559087,0.803605, 1.774633
us_000559107,0.803605, 1.782304
us_000481785,0.803605, 1.785395
us_000533790,0.803605, 1.788451
us_000502748,0.803605, 1.792059
us_000567433,0.803605, 1.801706
us_000481816,0.803605, 1.806408
us_000479290,0.803605, 1.820306
us_000481768,0.803605, 1.821709
us_000524131,0.803605, 1.833839
us_000543148,0.803605, 1.835868
us_000545232,0.803605, 1.835868
us_000544221,0.803605, 1.835868
us_000543203,0.803605, 1.837075
us_000496256,0.803605, 1.841502
us_000462053,0.803605, 1.842888
us_000540656,0.803605, 1.843415
us_000484106,0.803605, 1.852209
us_000534651,0.803605, 1.853470
us_000518090,0.803605, 1.853470
us_000535665,0.803605, 1.864635
us_000540521,0.803605, 1.870611
us_000497653,0.803605, 1.884521
us_000579263,0.803605, 1.890392
us_000502766,0.803605, 1.893194
us_000478900,0.803605, 1.985958
us_000501659,0.803605, 2.129650
us_000186580,0.729006, 0.000000
us_000467938,0.729006, 0.000000
us_000463738,0.729006, 0.000000
us_000468642,0.729006, 0.000000
us_000606389,0.729006, 0.000000
us_000459355,0.729006, 0.000000
us_000417863,0.729006, 0.000000
us_000529660,0.729006, 0.000000
us_000461462,0.729006, 0.000000
us_000468179,0.729006, 0.000000
us_000525990,0.729006, 0.000000
us_000475743,0.729006, 0.000000
us_000488532,0.729006, 0.000000
us_000468173,0.729006, 0.000000
us_000462043,0.729006, 0.000000
pr_000631479,0.729006, 0.000000
us_000549512,0.729006, 0.000000
pr_001664914,0.729006, 0.000001
pr_001409502,0.729006, 0.000001
pr_001123769,0.729006, 0.000001
pr_001898411,0.729006, 0.000007
us_000551472,0.729006, 0.000012
pr_001663050,0.729006, 0.000014
pr_001664025,0.729006, 0.000016
pr_001663474,0.729006, 0.000016
us_000573822,0.729006, 0.000017
pr_001682949,0.729006, 0.000019
us_000501240,0.729006, 0.000091
us_000521407,0.729006, 0.000131
pr_001659268,0.729006, 0.000154
us_000536199,0.729006, 0.001340
us_000540791,0.729006, 0.001340
us_000573261,0.729006, 0.001381
us_000556428,0.729006, 0.001624
us_000616164,0.729006, 0.001811
us_000575839,0.729006, 0.002329
us_000595937,0.729006, 0.002668
us_000568584,0.729006, 0.005813
us_000521045,0.729006, 0.006556
us_000546933,0.729006, 0.006976
us_000487351,0.729006, 0.007513
us_000594110,0.729006, 0.007639
us_000614246,0.729006, 0.008157
us_000499666,0.729006, 0.008800
us_000583378,0.729006, 0.011030
us_000473123,0.729006, 0.012835
us_000546868,0.729006, 0.023895
us_000499403,0.729006, 0.024020
us_000559180,0.729006, 0.048137
us_000488867,0.729006, 0.050627
us_000571711,0.729006, 0.050742
us_000532489,0.729006, 0.056213
us_000580741,0.729006, 0.081961
us_000484508,0.729006, 0.084992
us_000597474,0.729006, 0.102502
us_000499540,0.729006, 0.151069
us_000180007,0.729006, 0.205287
us_000533098,0.729006, 0.689197
us_000201849,0.729006, 0.994582
pr_001686709,0.699353, 0.000003
pr_001035515,0.699353, 0.000003
pr_000958889,0.699353, 0.000003
pr_000024017,0.699353, 0.000008
pr_000291148,0.699353, 0.000008
pr_000995755,0.699353, 0.000008
pr_000023298,0.699353, 0.000016
pr_000171403,0.699353, 0.000016
pr_001103173,0.699353, 0.000018
pr_001079006,0.699353, 0.000018
pr_000196215,0.699353, 0.000018
pr_000726408,0.699353, 0.000032
us_000617563,0.699353, 0.000055
pr_001038365,0.699353, 0.000071
us_000491511,0.699353, 0.000072
pr_000298917,0.699353, 0.000076
pr_000668554,0.699353, 0.000103
pr_000738240,0.699353, 0.000118
pr_001123811,0.699353, 0.000155
pr_000970608,0.699353, 0.000251
pr_001822853,0.699353, 0.000266
pr_000297898,0.699353, 0.000277
pr_001097083,0.699353, 0.000324
pr_000995643,0.699353, 0.000351
pr_000668079,0.699353, 0.000660
us_000517244,0.699353, 0.006342
us_000549824,0.699353, 0.011786
us_000508099,0.699353, 0.013245
us_000295687,0.699353, 1.173502
us_000552756,0.699353, 1.732125
us_000589681,0.699353, 1.779945
us_000470901,0.699353, 1.794877
us_000471066,0.699353, 1.809032
us_000506104,0.699353, 1.811193
us_000475971,0.699353, 1.821364
us_000515309,0.699353, 1.874800
us_000531815,0.699353, 1.880227
us_000475968,0.699353, 1.893210
us_000589747,0.699353, 1.907985
us_000497644,0.699353, 1.909154
us_000497696,0.699353, 1.911186
us_000589611,0.699353, 1.915953
us_000501541,0.699353, 1.928533
us_000477598,0.699353, 1.934075
us_000507305,0.699353, 1.949976
us_000483419,0.699353, 1.966738
us_000473416,0.699353, 1.990748
us_000498089,0.699353, 1.997996
pr_001689737,0.699353, 2.005251
us_000552826,0.699353, 2.023503
us_000308549,0.699353, 2.036574
us_000505438,0.699353, 2.052345
us_000482792,0.699353, 2.087776
us_000483435,0.699353, 2.099639
us_000509154,0.699353, 2.101173
us_000583811,0.699353, 2.104044
us_000545137,0.699353, 2.122702
us_000563790,0.699353, 2.133176
us_000548180,0.699353, 2.136117
us_000483504,0.699353, 2.140753
us_000494121,0.699353, 2.159096
us_000471078,0.699353, 2.163791
us_000584061,0.699353, 2.168272
us_000563487,0.699353, 2.169974
us_000499864,0.699353, 2.173078
us_000535018,0.699353, 2.174973
us_000475977,0.699353, 2.177267
us_000547620,0.699353, 2.182340
us_000574769,0.699353, 2.196127
us_000527515,0.699353, 2.196704
us_000541240,0.699353, 2.203936
us_000146970,0.699353, 2.205087
us_000553861,0.699353, 2.216521
us_000583995,0.699353, 2.217119
us_000492086,0.699353, 2.217767
us_000483768,0.699353, 2.219643
us_000574881,0.699353, 2.222182
us_000573754,0.699353, 2.223708
us_000507599,0.699353, 2.227668
us_000589586,0.699353, 2.238493
us_000542087,0.699353, 2.239826
us_000528153,0.699353, 2.240604
us_000495544,0.699353, 2.243301
us_000509157,0.699353, 2.251136
us_000616303,0.699353, 2.253133
us_000558037,0.699353, 2.255408
us_000573500,0.699353, 2.255992
us_000501134,0.699353, 2.256446
us_000501949,0.699353, 2.259714
us_000485974,0.699353, 2.260090
us_000470639,0.699353, 2.260976
us_000477187,0.699353, 2.263571
us_000594438,0.699353, 2.274555
us_000564184,0.699353, 2.276534
us_000502914,0.699353, 2.277324
us_000140923,0.699353, 2.290706
us_000541322,0.699353, 2.291496
us_000529098,0.699353, 2.292861
us_000549443,0.699353, 2.295771
us_000477233,0.699353, 2.297896
us_000563957,0.699353, 2.298571
us_000563247,0.699353, 2.298881
us_000502922,0.699353, 2.300257
us_000501956,0.699353, 2.300699
us_000485079,0.699353, 2.304866
us_000488850,0.699353, 2.305714
us_000507523,0.699353, 2.310531
us_000543653,0.699353, 2.321668
us_000524699,0.699353, 2.322635
us_000483540,0.699353, 2.330161
us_000492736,0.699353, 2.331096
us_000507495,0.699353, 2.333881
us_000553371,0.699353, 2.335697
us_000541228,0.699353, 2.339416
us_000493754,0.699353, 2.340185
us_000497739,0.699353, 2.343525
us_000524722,0.699353, 2.344760
us_000559152,0.699353, 2.349926
us_000495128,0.699353, 2.351299
us_000311952,0.699353, 2.356294
us_000505698,0.699353, 2.359789
us_000505089,0.699353, 2.362245
us_000551015,0.699353, 2.363314
us_000569774,0.699353, 2.364483
us_000521474,0.699353, 2.366931
us_000500238,0.699353, 2.368434
us_000497930,0.699353, 2.376218
us_000526634,0.699353, 2.382807
us_000507678,0.699353, 2.394095
us_000556800,0.699353, 2.396365
us_000578865,0.699353, 2.399130
us_000541488,0.699353, 2.401396
us_000557548,0.699353, 2.405914
us_000470733,0.699353, 2.409280
us_000483411,0.699353, 2.410012
us_000502847,0.699353, 2.415285
us_000536145,0.699353, 2.435809
us_000483446,0.699353, 2.436407
us_000501586,0.699353, 2.445358
us_000554913,0.699353, 2.466933
us_000493086,0.699353, 2.493109
us_000500051,0.699353, 2.523524
us_000491105,0.699353, 5.105178
pr_001396995,0.691096, 0.000000
pr_001075655,0.691096, 0.000000
pr_001074235,0.691096, 0.000001
us_000578718,0.691096, 0.000001
us_000588796,0.691096, 0.000001
pr_002050329,0.691096, 0.000002
pr_001941778,0.691096, 0.000003
us_000614295,0.691096, 0.000009
pr_001995580,0.691096, 0.000013
us_000540413,0.691096, 0.000020
pr_001588650,0.691096, 0.000021
pr_002037213,0.691096, 0.000023
pr_000596975,0.691096, 0.000023
pr_000852338,0.691096, 0.000024
pr_001883748,0.691096, 0.000027
pr_001775807,0.691096, 0.000027
pr_001787761,0.691096, 0.000047
pr_001802094,0.691096, 0.000117
pr_002121984,0.691096, 0.000238
pr_001781591,0.691096, 0.000286
pr_000875226,0.691096, 0.000385
us_000578304,0.691096, 0.000403
pr_002234532,0.691096, 0.000473
pr_002144504,0.691096, 0.000508
us_000602337,0.691096, 0.000820
us_000329327,0.691096, 0.001315
us_000588311,0.691096, 0.003156
us_000525227,0.691096, 0.005128
us_000475785,0.691096, 0.005432
us_000614006,0.691096, 0.009097
us_000512851,0.691096, 0.023228
us_000479443,0.691096, 1.084473
us_000496453,0.691096, 1.117491
us_000485379,0.691096, 1.323360
us_000545538,0.446361, 0.000000
us_000554543,0.446361, 0.000000
us_000613513,0.446361, 0.000000
us_000610398,0.446361, 0.000000
us_000507352,0.446361, 0.000000
us_000608233,0.446361, 0.000000
us_000599747,0.446361, 0.000000
us_000572062,0.446361, 0.000000
us_000554672,0.446361, 0.000000
us_000508914,0.446361, 0.000000
us_000544891,0.446361, 0.000000
us_000603921,0.446361, 0.000000
us_000535994,0.446361, 0.000000
us_000583310,0.446361, 0.000000
us_000554917,0.446361, 0.000000
pr_002014563,0.446361, 0.000000
pr_001720018,0.446361, 0.000000
pr_000970116,0.446361, 0.000000
pr_001890791,0.446361, 0.000000
pr_001966616,0.446361, 0.000000
pr_001796369,0.446361, 0.000000
pr_000850657,0.446361, 0.000000
pr_002119639,0.446361, 0.000000
pr_001751114,0.446361, 0.000000
pr_001935651,0.446361, 0.000000
pr_001715792,0.446361, 0.000000
pr_002122199,0.446361, 0.000000
pr_001933209,0.446361, 0.000000
pr_001974038,0.446361, 0.000000
pr_002051529,0.446361, 0.000000
pr_001133408,0.446361, 0.000000
pr_002222190,0.446361, 0.000000
pr_001895387,0.446361, 0.000000
pr_002196377,0.446361, 0.000000
pr_001919771,0.446361, 0.000000
pr_001987350,0.446361, 0.000000
pr_001934198,0.446361, 0.000000
pr_001988798,0.446361, 0.000000
pr_001884468,0.446361, 0.000000
pr_001895427,0.446361, 0.000000
pr_001799723,0.446361, 0.000000
pr_000815512,0.446361, 0.000000
pr_001987421,0.446361, 0.000000
pr_000923602,0.446361, 0.000000
pr_002120509,0.446361, 0.000000
pr_001792397,0.446361, 0.000000
pr_000080780,0.446361, 0.000000
pr_000977637,0.446361, 0.000000
pr_000227141,0.446361, 0.000001
pr_001853878,0.446361, 0.000001
pr_001889890,0.446361, 0.000001
us_000612073,0.446361, 0.000002
pr_001853429,0.446361, 0.000003
us_000534543,0.446361, 0.000004
us_000529499,0.446361, 0.000005
pr_000751532,0.446361, 0.000007
pr_001795963,0.446361, 0.000011
pr_001161482,0.446361, 0.000011
pr_001779840,0.446361, 0.000011
pr_000162615,0.446361, 0.000013
us_000599433,0.446361, 0.000016
pr_000326331,0.446361, 0.000019
us_000575382,0.446361, 0.000025
us_000468134,0.446361, 0.000035
pr_001886990,0.446361, 0.000035
us_000582587,0.446361, 0.000040
us_000601280,0.446361, 0.000040
us_000599567,0.446361, 0.000040
us_000551495,0.446361, 0.000040
us_000577318,0.446361, 0.000042
us_000473872,0.446361, 0.000044
us_000571772,0.446361, 0.000073
pr_001887521,0.446361, 0.000083
pr_001984176,0.446361, 0.000086
pr_001153513,0.446361, 0.000093
pr_001853587,0.446361, 0.000104
pr_001852011,0.446361, 0.000108
pr_000906978,0.446361, 0.000129
pr_001052508,0.446361, 0.000130
us_000585231,0.446361, 0.000133
pr_002040854,0.446361, 0.000152
pr_001884410,0.446361, 0.000171
us_000605814,0.446361, 0.000186
pr_000889046,0.446361, 0.000189
pr_001735941,0.446361, 0.000199
us_000562877,0.446361, 0.000218
pr_000021838,0.446361, 0.000261
pr_001963401,0.446361, 0.000262
us_000566658,0.446361, 0.000266
us_000609440,0.446361, 0.000285
pr_001780752,0.446361, 0.000285
us_000615304,0.446361, 0.000286
pr_000901398,0.446361, 0.000287
us_000611399,0.446361, 0.000350
pr_000290819,0.446361, 0.000372
pr_001601466,0.446361, 0.000434
pr_001887897,0.446361, 0.000548
us_000510503,0.446361, 0.000591
pr_000925346,0.446361, 0.000688
pr_000285760,0.446361, 0.000701
pr_001147823,0.446361, 0.000820
pr_001085673,0.446361, 0.000830
pr_002180109,0.446361, 0.000895
pr_001799853,0.446361, 0.001284
us_000586518,0.446361, 0.001539
pr_000337975,0.446361, 0.002493
us_000569694,0.446361, 0.002495
pr_002138438,0.446361, 0.004068
us_000506563,0.446361, 0.005291
pr_001799137,0.446361, 0.006067
pr_001952639,0.446361, 0.007377
us_000564648,0.446361, 0.007420
us_000597434,0.446361, 0.015955
us_000543475,0.446361, 0.031630
us_000484756,0.446361, 0.047310
pr_000416917,0.411430, 0.000000
pr_000021577,0.411430, 0.000000
pr_001399190,0.411430, 0.000000
us_000496920,0.411430, 0.000000
pr_000925767,0.411430, 0.000000
us_000519151,0.411430, 0.000000
us_000587231,0.411430, 0.000001
us_000539657,0.411430, 0.000001
us_000518123,0.411430, 0.000003
us_000533157,0.411430, 0.000003
us_000464976,0.411430, 0.000003
us_000463092,0.411430, 0.000003
us_000518750,0.411430, 0.000003
us_000523737,0.411430, 0.000003
us_000459542,0.411430, 0.000003
pr_000584329,0.411430, 0.000004
us_000474048,0.411430, 0.000029
us_000462019,0.411430, 0.000029
us_000471448,0.411430, 0.000029
us_000466386,0.411430, 0.000029
us_000541963,0.411430, 0.000029
us_000467681,0.411430, 0.000029
us_000458466,0.411430, 0.000029
us_000589005,0.411430, 0.000029
us_000467675,0.411430, 0.000029
us_000459232,0.411430, 0.000029
us_000474850,0.411430, 0.000029
us_000468411,0.411430, 0.000029
us_000474939,0.411430, 0.000029
us_000458465,0.411430, 0.000029
us_000467863,0.411430, 0.000029
us_000466508,0.411430, 0.000029
us_000466873,0.411430, 0.000029
us_000471024,0.411430, 0.000029
us_000469164,0.411430, 0.000029
us_000461596,0.411430, 0.000029
us_000466300,0.411430, 0.000029
us_000592397,0.411430, 0.000029
us_000584604,0.411430, 0.000029
us_000592544,0.411430, 0.000029
us_000616636,0.411430, 0.000029
us_000592257,0.411430, 0.000029
pr_001138256,0.411430, 0.000031
pr_001802922,0.411430, 0.000047
pr_001777089,0.411430, 0.000047
us_000513021,0.411430, 0.000050
pr_002121650,0.411430, 0.000055
pr_001801207,0.411430, 0.000055
pr_001785803,0.411430, 0.000063
us_000526716,0.411430, 0.000063
pr_001154845,0.411430, 0.000070
pr_000755813,0.411430, 0.000070
pr_001775771,0.411430, 0.000072
us_000516689,0.411430, 0.000080
pr_002038172,0.411430, 0.000080
pr_001027951,0.411430, 0.000094
us_000465997,0.411430, 0.000098
us_000461275,0.411430, 0.000113
us_000469738,0.411430, 0.000113
us_000141844,0.411430, 0.000117
pr_001780587,0.411430, 0.000129
pr_002042257,0.411430, 0.000134
us_000614329,0.411430, 0.000142
pr_001884201,0.411430, 0.000143
us_000215592,0.411430, 0.000163
us_000531255,0.411430, 0.000167
us_000549940,0.411430, 0.000174
us_000478811,0.411430, 0.000183
us_000488851,0.411430, 0.000202
us_000518193,0.411430, 0.000203
pr_001783692,0.411430, 0.000215
us_000479525,0.411430, 0.000218
us_000596966,0.411430, 0.000226
us_000533506,0.411430, 0.000233
us_000500173,0.411430, 0.000233
us_000592444,0.411430, 0.000233
us_000498889,0.411430, 0.000316
us_000510904,0.411430, 0.000324
us_000525420,0.411430, 0.000330
us_000568223,0.411430, 0.000347
us_000483711,0.411430, 0.000417
us_000512248,0.411430, 0.000441
us_000613316,0.411430, 0.000446
us_000479618,0.411430, 0.000463
us_000524552,0.411430, 0.000533
us_000511120,0.411430, 0.000589
pr_000208930,0.411430, 0.000630
us_000225346,0.411430, 0.000637
us_000534794,0.411430, 0.000738
us_000548458,0.411430, 0.000845
us_000583392,0.411430, 0.000950
us_000476394,0.411430, 0.000970
us_000461962,0.411430, 0.000983
us_000487051,0.411430, 0.001018
us_000508586,0.411430, 0.001018
us_000590931,0.411430, 0.001069
us_000592455,0.411430, 0.001069
us_000460758,0.411430, 0.001102
us_000467812,0.411430, 0.001328
us_000616794,0.411430, 0.001337
us_000591487,0.411430, 0.001437
us_000538336,0.411430, 0.001440
us_000548272,0.411430, 0.001455
us_000508363,0.411430, 0.001483
us_000470400,0.411430, 0.001500
us_000480743,0.411430, 0.001581
us_000393232,0.411430, 0.001674
us_000541751,0.411430, 0.001856
us_000499098,0.411430, 0.001920
us_000530241,0.411430, 0.002009
us_000553361,0.411430, 0.002038
pr_001774601,0.411430, 0.002132
us_000579214,0.411430, 0.002192
us_000494194,0.411430, 0.002348
us_000584481,0.411430, 0.002356
us_000502521,0.411430, 0.002367
us_000511786,0.411430, 0.002415
us_000468063,0.411430, 0.002458
us_000525947,0.411430, 0.002513
us_000503687,0.411430, 0.002530
us_000588989,0.411430, 0.002614
us_000580705,0.411430, 0.002723
us_000498095,0.411430, 0.002913
us_000560989,0.411430, 0.003061
us_000546029,0.411430, 0.003299
us_000479473,0.411430, 0.003546
us_000500243,0.411430, 0.003745
us_000558945,0.411430, 0.003768
us_000517162,0.411430, 0.003770
us_000473652,0.411430, 0.004349
us_000541517,0.411430, 0.005343
us_000508132,0.411430, 0.005701
us_000571407,0.411430, 0.005745
us_000580573,0.411430, 0.005801
us_000505900,0.411430, 0.006175
us_000521473,0.411430, 0.006378
us_000487766,0.411430, 0.006938
us_000509684,0.411430, 0.008220
us_000600173,0.411430, 0.008371
us_000551828,0.411430, 0.008436
us_000480956,0.411430, 0.011969
us_000550178,0.411430, 0.015121
us_000563109,0.411430, 0.015635
us_000596690,0.411430, 0.016918
us_000580502,0.411430, 0.016918
us_000561107,0.411430, 0.016918
us_000583074,0.411430, 0.016918
us_000464386,0.411430, 0.017037
us_000579820,0.411430, 0.017286
us_000470069,0.411430, 0.017612
us_000508028,0.411430, 0.018692
us_000499925,0.411430, 0.019673
us_000525843,0.411430, 0.019887
us_000500903,0.411430, 0.022190
us_000521051,0.411430, 0.022801
us_000027597,0.411430, 0.023207
us_000517450,0.411430, 0.024244
us_000473774,0.411430, 0.024625
us_000506678,0.411430, 0.024854
us_000528006,0.411430, 0.025288
us_000617039,0.411430, 0.027844
us_000568136,0.411430, 0.028889
us_000498404,0.411430, 0.028993
us_000526994,0.411430, 0.029582
us_000533880,0.411430, 0.029878
us_000550675,0.411430, 0.030046
us_000527023,0.411430, 0.032272
us_000517878,0.411430, 0.032291
us_000489336,0.411430, 0.036534
us_000473591,0.411430, 0.036961
us_000587861,0.411430, 0.041871
us_000592560,0.411430, 0.042341
us_000521761,0.411430, 0.051437
us_000562140,0.411430, 0.066025
us_000507744,0.411430, 0.070828
us_000538344,0.411430, 0.073138
us_000545914,0.411430, 0.085027
us_000559135,0.411430, 0.089871
us_000543691,0.411430, 0.092093
us_000480792,0.411430, 0.099396
us_000522564,0.411430, 0.116936
us_000543851,0.411430, 0.143956
us_000549243,0.411430, 0.226650
us_000563118,0.411430, 0.287916
us_000555873,0.411430, 0.333005
us_000425859,0.411430, 0.588824
us_000496383,0.411430, 0.683060
pr_000444824,0.391917, 0.000001
pr_000293388,0.391917, 0.000001
pr_001059142,0.391917, 0.000001
pr_000726723,0.391917, 0.000001
pr_000470311,0.391917, 0.000001
us_000599490,0.391917, 0.000003
us_000594691,0.391917, 0.000003
us_000576188,0.391917, 0.000003
us_000602218,0.391917, 0.000003
us_000573126,0.391917, 0.000003
us_000595442,0.391917, 0.000003
us_000590403,0.391917, 0.000007
us_000555059,0.391917, 0.000029
us_000602121,0.391917, 0.000081
pr_002189269,0.391917, 0.000081
us_000505011,0.391917, 0.000088
pr_000719682,0.391917, 0.000090
pr_001006443,0.391917, 0.000090
pr_000753255,0.391917, 0.000090
pr_001012273,0.391917, 0.000110
pr_000879839,0.391917, 0.000239
pr_000900147,0.391917, 0.000279
pr_000719669,0.391917, 0.000279
pr_000739968,0.391917, 0.000279
pr_001066136,0.391917, 0.000279
pr_000860287,0.391917, 0.000279
pr_000880808,0.391917, 0.000279
pr_000164623,0.391917, 0.000279
