Product ID : 2070 # of JPs covered : 1 : 364 : Class Action-Pre-Certification, 
us_000466322,0.910132, 0.000001
us_000493408,0.910132, 0.000008
us_000572959,0.910132, 0.000013
us_000582867,0.910132, 0.000041
us_000582866,0.910132, 0.000041
us_000574892,0.910132, 0.000100
us_000507228,0.910132, 0.000112
us_000583514,0.910132, 0.000114
us_000583423,0.910132, 0.000114
us_000583508,0.910132, 0.000114
us_000583983,0.910132, 0.000114
us_000575855,0.910132, 0.000114
us_000594548,0.910132, 0.000590
us_000560429,0.910132, 0.002026
us_000543272,0.910132, 0.003350
us_000557013,0.910132, 0.016690
us_000505991,0.910132, 1.439120
us_000483385,0.910132, 1.569893
us_000038941,0.910132, 1.578385
pr_000110180,0.887637, 0.000000
us_000481526,0.887637, 0.000003
us_000520277,0.887637, 0.000003
pr_002066341,0.887637, 0.000022
pr_001678461,0.887637, 0.000060
pr_001035698,0.887637, 0.000137
us_000548554,0.887637, 1.168495
pr_000333523,0.792962, 0.000000
pr_000135423,0.792962, 0.000000
pr_000468785,0.792962, 0.000000
pr_000502105,0.792962, 0.000000
pr_000376240,0.792962, 0.000000
pr_001084905,0.792962, 0.000000
us_000569111,0.792962, 0.000000
us_000569110,0.792962, 0.000000
us_000508798,0.792962, 0.000002
us_000525405,0.792962, 0.000002
us_000049809,0.792962, 0.000010
us_000505906,0.792962, 0.000021
us_000418790,0.792962, 0.000055
us_000181952,0.792962, 0.000061
us_000601092,0.792962, 0.000087
us_000611126,0.792962, 0.000114
us_000553275,0.792962, 0.000174
pr_000908598,0.792962, 0.000207
us_000570352,0.792962, 0.000264
us_000592398,0.792962, 0.000366
us_000592368,0.792962, 0.000366
us_000593596,0.792962, 0.000366
us_000593588,0.792962, 0.000366
us_000574656,0.792962, 0.000366
us_000616227,0.792962, 0.000367
us_000616309,0.792962, 0.000367
us_000616308,0.792962, 0.000367
us_000616225,0.792962, 0.000367
us_000598944,0.792962, 0.000371
us_000574215,0.792962, 0.000382
us_000585094,0.792962, 0.000387
us_000614495,0.792962, 0.000404
us_000593537,0.792962, 0.000409
us_000609656,0.792962, 0.000409
us_000604449,0.792962, 0.000409
us_000596777,0.792962, 0.000409
us_000597033,0.792962, 0.000409
us_000592839,0.792962, 0.000409
us_000573554,0.792962, 0.000409
us_000582087,0.792962, 0.000409
us_000598156,0.792962, 0.000409
us_000574713,0.792962, 0.000409
us_000598150,0.792962, 0.000409
us_000617352,0.792962, 0.000409
us_000608359,0.792962, 0.000409
us_000598298,0.792962, 0.000412
us_000611186,0.792962, 0.000414
us_000522812,0.792962, 0.000427
us_000601343,0.792962, 0.000427
us_000573260,0.792962, 0.000443
us_000493626,0.792962, 0.000451
us_000586717,0.792962, 0.000470
us_000480597,0.792962, 0.000472
us_000588465,0.792962, 0.000496
us_000531877,0.792962, 0.000560
us_000579719,0.792962, 0.000585
us_000584020,0.792962, 0.000621
us_000574649,0.792962, 0.000637
us_000541083,0.792962, 0.000637
us_000616633,0.792962, 0.000637
us_000574767,0.792962, 0.000664
us_000594082,0.792962, 0.000664
us_000582005,0.792962, 0.000698
us_000564686,0.792962, 0.000725
us_000596273,0.792962, 0.000751
us_000561237,0.792962, 0.000766
us_000563190,0.792962, 0.000788
us_000585044,0.792962, 0.000885
us_000586780,0.792962, 0.001062
us_000599851,0.792962, 0.001224
us_000526461,0.792962, 0.001285
us_000579763,0.792962, 0.001573
us_000613811,0.792962, 0.002070
us_000541291,0.792962, 0.002109
us_000593900,0.792962, 0.002308
us_000480805,0.792962, 0.002342
us_000577870,0.792962, 0.002546
us_000593947,0.792962, 0.002552
us_000579060,0.792962, 0.002552
us_000530371,0.792962, 0.002565
us_000546127,0.792962, 0.002581
pr_000348705,0.792962, 0.002786
us_000574984,0.792962, 0.002823
us_000598137,0.792962, 0.002838
us_000570311,0.792962, 0.002922
us_000583957,0.792962, 0.002927
us_000523861,0.792962, 0.002990
us_000602818,0.792962, 0.003008
us_000491815,0.792962, 0.003041
us_000520273,0.792962, 0.003349
us_000591168,0.792962, 0.003459
us_000522356,0.792962, 0.003470
us_000594144,0.792962, 0.003828
us_000614729,0.792962, 0.003866
us_000519826,0.792962, 0.004046
us_000564844,0.792962, 0.004483
us_000581351,0.792962, 0.004666
us_000507429,0.792962, 0.004849
us_000566772,0.792962, 0.005177
us_000554094,0.792962, 0.005326
us_000480842,0.792962, 0.005591
us_000534158,0.792962, 0.005597
us_000549941,0.792962, 0.005751
us_000550789,0.792962, 0.005806
us_000550818,0.792962, 0.005832
us_000572449,0.792962, 0.006227
us_000496229,0.792962, 0.006269
us_000539942,0.792962, 0.006673
us_000588370,0.792962, 0.007017
us_000512393,0.792962, 0.007076
us_000566535,0.792962, 0.007348
us_000510275,0.792962, 0.007817
us_000565264,0.792962, 0.008080
pr_000432748,0.792962, 0.008454
us_000568324,0.792962, 0.008940
us_000532362,0.792962, 0.009665
us_000597126,0.792962, 0.009705
us_000598746,0.792962, 0.011119
us_000486196,0.792962, 0.011535
us_000485285,0.792962, 0.012843
us_000565634,0.792962, 0.013480
us_000544068,0.792962, 0.013788
us_000579145,0.792962, 0.017499
us_000496835,0.792962, 0.021392
us_000528056,0.792962, 0.021627
us_000534969,0.792962, 0.048429
us_000129824,0.792962, 0.778690
us_000518869,0.792962, 0.901299
us_000461951,0.792962, 0.908615
us_000519052,0.792962, 1.017459
us_000493722,0.792962, 1.258859
us_000484329,0.792962, 1.286924
us_000562322,0.792962, 1.287114
us_000493132,0.792962, 1.336021
us_000561877,0.792962, 1.374107
us_000539924,0.792962, 1.377918
us_000562134,0.792962, 1.380634
us_000484071,0.792962, 1.408439
us_000475061,0.792962, 1.425955
us_000571585,0.792962, 1.433946
us_000135500,0.792962, 1.440180
us_000513275,0.792962, 1.448588
us_000488706,0.792962, 1.503869
us_000497940,0.792962, 1.505376
us_000491187,0.792962, 1.522211
us_000492648,0.792962, 1.536281
us_000550270,0.792962, 1.557714
us_000520890,0.792962, 1.574072
us_000491800,0.792962, 1.582178
us_000516004,0.792962, 1.598665
us_000533661,0.792962, 1.606265
us_000525732,0.792962, 1.617324
us_000566418,0.792962, 1.624864
us_000484525,0.792962, 1.625417
us_000543455,0.792962, 1.629223
us_000520477,0.792962, 1.636063
us_000557271,0.792962, 1.636320
us_000544156,0.792962, 1.639219
us_000540545,0.792962, 1.641943
us_000557220,0.792962, 1.652118
us_000523526,0.792962, 1.653387
us_000534147,0.792962, 1.654729
us_000534093,0.792962, 1.655909
us_000533773,0.792962, 1.667670
us_000513264,0.792962, 1.672540
us_000521637,0.792962, 1.685001
us_000513257,0.792962, 1.709833
us_000516788,0.792962, 1.742413
us_000488403,0.792962, 1.744674
us_000509455,0.792962, 1.761822
us_000521089,0.792962, 1.765147
us_000459953,0.792962, 1.766179
us_000491508,0.792962, 1.774064
us_000525419,0.792962, 1.776103
us_000509327,0.792962, 1.776420
us_000525330,0.792962, 1.776753
us_000511805,0.792962, 1.776753
us_000557069,0.792962, 1.776753
us_000506244,0.792962, 1.785383
us_000468869,0.792962, 1.795760
us_000493920,0.792962, 1.840483
us_000525739,0.792962, 1.849647
us_000498131,0.792962, 1.851550
us_000505815,0.792962, 1.852600
us_000484385,0.792962, 1.856449
us_000533310,0.792962, 1.908320
us_000491781,0.792962, 1.963691
us_000534304,0.792962, 1.965883
us_000493116,0.792962, 1.998757
us_000484874,0.792962, 2.080943
pr_000534988,0.704278, 0.000030
pr_000803327,0.704278, 0.000085
pr_001833977,0.704278, 0.000318
pr_002164587,0.704278, 0.000398
us_000541091,0.704278, 0.003289
us_000471601,0.704278, 0.005466
us_000538364,0.704278, 0.006763
us_000476724,0.704278, 0.007391
us_000551674,0.704278, 0.008028
us_000613293,0.704278, 0.012137
us_000552936,0.704278, 0.012998
us_000503600,0.704278, 0.016472
us_000596010,0.704278, 0.019731
us_000503764,0.704278, 0.023890
us_000533045,0.704278, 0.746034
us_000473756,0.704278, 1.005384
us_000119419,0.704278, 1.062722
us_000502987,0.704278, 1.070606
us_000546489,0.704278, 1.072249
us_000527590,0.704278, 1.080622
us_000483121,0.704278, 1.134577
us_000522571,0.704278, 1.157182
us_000481723,0.704278, 1.168515
us_000541684,0.704278, 1.185110
us_000559244,0.704278, 1.186267
us_000127641,0.704278, 1.193122
us_000593383,0.704278, 1.202378
us_000464418,0.704278, 1.212904
us_000494933,0.704278, 1.226475
us_000236329,0.704278, 1.236041
us_000594205,0.704278, 1.248364
us_000505890,0.704278, 1.261992
us_000555104,0.704278, 1.266185
us_000516874,0.704278, 1.266813
us_000531325,0.704278, 1.276054
us_000034358,0.704278, 1.285208
us_000545269,0.704278, 1.285643
us_000547547,0.704278, 1.288694
us_000544734,0.704278, 1.303379
us_000464735,0.704278, 1.313402
us_000473265,0.704278, 1.318749
us_000153295,0.704278, 1.332590
us_000519086,0.704278, 1.332881
us_000527662,0.704278, 1.345808
us_000198267,0.704278, 1.349446
us_000530400,0.704278, 1.355307
us_000216143,0.704278, 1.357304
us_000528528,0.704278, 1.357306
us_000529419,0.704278, 1.358146
us_000534436,0.704278, 1.368778
us_000544554,0.704278, 1.370440
us_000529466,0.704278, 1.377050
us_000527895,0.704278, 1.380507
us_000512741,0.704278, 1.384593
us_000529526,0.704278, 1.391563
us_000517385,0.704278, 1.395919
us_000530187,0.704278, 1.400031
us_000477897,0.704278, 1.401753
us_000515745,0.704278, 1.402892
us_000531327,0.704278, 1.402892
us_000517776,0.704278, 1.402892
us_000516188,0.704278, 1.402892
us_000593912,0.704278, 1.422016
us_000544795,0.704278, 1.423161
us_000463858,0.704278, 1.426075
us_000544855,0.704278, 1.427898
us_000533940,0.704278, 1.564452
us_000505615,0.704278, 1.729758
us_000473922,0.704278, 1.969734
pr_001004091,0.672655, 0.000000
pr_000810191,0.672655, 0.000000
pr_001689745,0.672655, 0.000000
pr_001074778,0.672655, 0.000000
pr_000469452,0.672655, 0.000000
pr_001584498,0.672655, 0.000000
pr_000575633,0.672655, 0.000002
us_000510736,0.672655, 0.000010
us_000511742,0.672655, 0.000010
us_000517778,0.672655, 0.000010
us_000559148,0.672655, 0.000010
us_000516606,0.672655, 0.000010
us_000529416,0.672655, 0.000010
us_000529305,0.672655, 0.000238
us_000535492,0.672655, 0.000500
us_000510935,0.672655, 0.004718
us_000517697,0.672655, 0.024080
us_000575512,0.672655, 0.579826
us_000577354,0.672655, 0.623851
us_000578063,0.672655, 0.660020
us_000572945,0.672655, 0.683264
us_000601709,0.672655, 0.692320
us_000594371,0.672655, 0.720367
us_000581781,0.672655, 0.726800
us_000547459,0.672655, 0.728436
us_000566320,0.672655, 0.730211
us_000535272,0.672655, 0.743176
us_000573156,0.672655, 0.752728
us_000531636,0.672655, 0.753905
us_000572171,0.672655, 0.754103
us_000563996,0.672655, 0.755459
us_000549707,0.672655, 0.766752
us_000508065,0.672655, 0.766778
us_000513702,0.672655, 0.773584
us_000511738,0.672655, 0.774166
us_000607006,0.672655, 0.790569
us_000570345,0.672655, 0.792162
us_000600359,0.672655, 0.793337
us_000465103,0.672655, 0.802304
us_000588788,0.672655, 0.807433
us_000529926,0.672655, 0.813334
us_000486729,0.672655, 0.818271
us_000507532,0.672655, 0.818956
us_000546355,0.672655, 0.821376
us_000572076,0.672655, 0.822641
us_000529882,0.672655, 0.827424
us_000611378,0.672655, 0.846007
us_000547541,0.672655, 0.857860
us_000514125,0.672655, 0.858423
us_000561772,0.672655, 0.859477
us_000532239,0.672655, 0.862782
us_000612285,0.672655, 0.966104
us_000485257,0.631930, 0.000000
us_000486278,0.631930, 0.000000
us_000484681,0.631930, 0.000000
us_000486904,0.631930, 0.000000
us_000488991,0.631930, 0.000004
us_000515857,0.631930, 0.000004
us_000463758,0.631930, 0.000004
us_000563507,0.631930, 0.000038
pr_001080089,0.631930, 0.000047
pr_000984013,0.631930, 0.000047
pr_001603614,0.631930, 0.000047
pr_000996237,0.631930, 0.000047
pr_000597437,0.631930, 0.000047
pr_001080341,0.631930, 0.000047
pr_001399208,0.631930, 0.000047
pr_001075496,0.631930, 0.000047
pr_001118668,0.631930, 0.000047
pr_001734535,0.631930, 0.000047
pr_001956785,0.631930, 0.000047
pr_000448535,0.631930, 0.000047
pr_001083453,0.631930, 0.000047
pr_001814991,0.631930, 0.000047
pr_000998969,0.631930, 0.000047
pr_001020962,0.631930, 0.000047
pr_001993877,0.631930, 0.000047
pr_000328190,0.631930, 0.000061
pr_001086090,0.631930, 0.000083
pr_000760324,0.631930, 0.000109
pr_001748299,0.631930, 0.000434
us_000469073,0.631930, 0.000562
pr_000638942,0.631930, 0.001034
us_000575211,0.631930, 0.002317
us_000575192,0.631930, 0.002426
us_000536033,0.631930, 0.003532
us_000488583,0.631930, 0.003544
us_000499007,0.631930, 0.042980
us_000504527,0.631930, 0.141472
us_000567173,0.631930, 0.856330
us_000475158,0.631930, 0.861790
us_000491636,0.631930, 1.080795
us_000493545,0.631930, 1.120836
us_000544026,0.631930, 1.186916
us_000491894,0.631930, 1.283607
pr_000418401,0.612559, 0.000000
us_000499446,0.612559, 0.000001
pr_002149437,0.612559, 0.000001
pr_001834872,0.612559, 0.000001
pr_001839573,0.612559, 0.000001
pr_000742365,0.612559, 0.000027
pr_001027550,0.612559, 0.000031
pr_001039655,0.612559, 0.000032
pr_000733961,0.612559, 0.000040
pr_001040694,0.612559, 0.000062
pr_001725138,0.612559, 0.000082
pr_001626372,0.612559, 0.000094
pr_000954526,0.612559, 0.000141
pr_000638460,0.612559, 0.000152
pr_000640755,0.612559, 0.000152
pr_000584524,0.612559, 0.000152
pr_000757634,0.612559, 0.000158
pr_001882036,0.612559, 0.000171
pr_001620964,0.612559, 0.000179
pr_000575981,0.612559, 0.000191
pr_000939537,0.612559, 0.000191
pr_001907307,0.612559, 0.000192
pr_000941436,0.612559, 0.000201
pr_000935029,0.612559, 0.000218
pr_001065637,0.612559, 0.000219
pr_000964609,0.612559, 0.000230
pr_000746585,0.612559, 0.000248
pr_001087217,0.612559, 0.000269
pr_001807165,0.612559, 0.000279
pr_000705565,0.612559, 0.000327
pr_000631487,0.612559, 0.000405
pr_001027577,0.612559, 0.000644
pr_000945482,0.612559, 0.000942
pr_002204934,0.612559, 0.001015
pr_001654940,0.612559, 0.001170
pr_001081733,0.612559, 0.001479
pr_001133217,0.612559, 0.001496
us_000572828,0.612559, 0.002344
us_000494222,0.612559, 0.024001
pr_001018538,0.549492, 0.000000
pr_000849144,0.549492, 0.000000
pr_001066274,0.549492, 0.000000
pr_000836751,0.549492, 0.000000
pr_001393004,0.549492, 0.000000
pr_000751836,0.549492, 0.000000
pr_001068019,0.549492, 0.000000
pr_000763023,0.549492, 0.000000
pr_000860612,0.549492, 0.000000
pr_001417515,0.549492, 0.000000
pr_001824890,0.549492, 0.000000
pr_001045934,0.549492, 0.000000
pr_002226191,0.549492, 0.000000
pr_001149098,0.549492, 0.000000
pr_000772908,0.549492, 0.000000
pr_002145687,0.549492, 0.000000
pr_001039563,0.549492, 0.000000
pr_000761107,0.549492, 0.000000
pr_000810360,0.549492, 0.000000
pr_002162702,0.549492, 0.000000
pr_001087284,0.549492, 0.000000
pr_001906507,0.549492, 0.000000
pr_002162764,0.549492, 0.000000
pr_001064089,0.549492, 0.000000
pr_000856317,0.549492, 0.000000
pr_000705570,0.549492, 0.000000
pr_000761505,0.549492, 0.000000
pr_000977379,0.549492, 0.000000
pr_001610500,0.549492, 0.000000
pr_001037513,0.549492, 0.000000
pr_000859774,0.549492, 0.000000
pr_001951791,0.549492, 0.000000
pr_000976744,0.549492, 0.000000
pr_000778608,0.549492, 0.000000
pr_002168278,0.549492, 0.000000
pr_000981857,0.549492, 0.000000
pr_000970318,0.549492, 0.000000
pr_002204806,0.549492, 0.000000
pr_000852115,0.549492, 0.000000
pr_000726508,0.549492, 0.000000
pr_000836437,0.549492, 0.000000
pr_000161784,0.549492, 0.000000
pr_001068657,0.549492, 0.000000
pr_001015112,0.549492, 0.000000
pr_001901324,0.549492, 0.000000
pr_000106056,0.549492, 0.000000
pr_000179191,0.549492, 0.000000
pr_000532015,0.549492, 0.000000
pr_002135419,0.549492, 0.000000
pr_001604307,0.549492, 0.000000
pr_001036868,0.549492, 0.000000
pr_001601590,0.549492, 0.000000
pr_001389232,0.549492, 0.000000
pr_000302469,0.549492, 0.000000
pr_001056984,0.549492, 0.000000
pr_000641012,0.549492, 0.000000
pr_000227971,0.549492, 0.000000
pr_000902655,0.549492, 0.000000
pr_000912912,0.549492, 0.000000
pr_001108533,0.549492, 0.000000
pr_001696229,0.549492, 0.000000
pr_001084226,0.549492, 0.000000
pr_001121130,0.549492, 0.000000
pr_000172754,0.549492, 0.000000
pr_001005950,0.549492, 0.000000
pr_000702392,0.549492, 0.000000
pr_000176549,0.549492, 0.000000
pr_001697262,0.549492, 0.000000
pr_000915928,0.549492, 0.000000
pr_001029781,0.549492, 0.000000
pr_001813385,0.549492, 0.000000
pr_000904197,0.549492, 0.000000
pr_000027326,0.549492, 0.000000
pr_001085724,0.549492, 0.000000
pr_001009120,0.549492, 0.000000
pr_000856200,0.549492, 0.000000
pr_000985021,0.549492, 0.000000
pr_000918553,0.549492, 0.000000
pr_001077344,0.549492, 0.000000
pr_000293885,0.549492, 0.000000
pr_000526837,0.549492, 0.000000
pr_000538908,0.549492, 0.000000
pr_000757699,0.549492, 0.000000
pr_000163349,0.549492, 0.000000
pr_000597553,0.549492, 0.000000
pr_001102317,0.549492, 0.000000
pr_000214528,0.549492, 0.000000
pr_001652379,0.549492, 0.000000
pr_000831414,0.549492, 0.000000
pr_001065354,0.549492, 0.000000
pr_000594723,0.549492, 0.000000
pr_001623992,0.549492, 0.000000
pr_000011672,0.549492, 0.000000
pr_000003564,0.549492, 0.000000
pr_000737079,0.549492, 0.000000
pr_000760898,0.549492, 0.000000
pr_001899427,0.549492, 0.000000
pr_000883877,0.549492, 0.000000
pr_000899759,0.549492, 0.000000
pr_000819251,0.549492, 0.000000
pr_001115142,0.549492, 0.000000
pr_000012728,0.549492, 0.000000
pr_000848405,0.549492, 0.000000
pr_001047128,0.549492, 0.000000
pr_001109432,0.549492, 0.000000
pr_001167408,0.549492, 0.000000
pr_000324253,0.549492, 0.000000
pr_000217072,0.549492, 0.000000
pr_001617467,0.549492, 0.000000
pr_001007835,0.549492, 0.000000
pr_001107987,0.549492, 0.000000
pr_000836624,0.549492, 0.000000
pr_000320838,0.549492, 0.000000
pr_001720577,0.549492, 0.000000
pr_001115287,0.549492, 0.000000
pr_001004798,0.549492, 0.000000
pr_001609760,0.549492, 0.000000
pr_001691179,0.549492, 0.000000
pr_000693112,0.549492, 0.000000
pr_001057059,0.549492, 0.000000
pr_000838044,0.549492, 0.000000
pr_000024440,0.549492, 0.000000
pr_001032565,0.549492, 0.000000
pr_000958086,0.549492, 0.000000
pr_000885611,0.549492, 0.000000
pr_001827422,0.549492, 0.000000
pr_000177529,0.549492, 0.000000
pr_000999039,0.549492, 0.000000
pr_001616981,0.549492, 0.000000
pr_000200510,0.549492, 0.000000
pr_000966420,0.549492, 0.000000
pr_000166810,0.549492, 0.000000
pr_000947745,0.549492, 0.000000
pr_001706990,0.549492, 0.000000
pr_000966595,0.549492, 0.000000
pr_000700115,0.549492, 0.000000
pr_001114314,0.549492, 0.000000
pr_000915188,0.549492, 0.000000
pr_001133216,0.549492, 0.000000
pr_001077940,0.549492, 0.000000
pr_000129082,0.549492, 0.000000
pr_001065020,0.549492, 0.000000
pr_001065282,0.549492, 0.000000
pr_001050533,0.549492, 0.000000
pr_000934132,0.549492, 0.000000
pr_001693819,0.549492, 0.000000
pr_001416155,0.549492, 0.000000
pr_000593825,0.549492, 0.000000
pr_000887994,0.549492, 0.000000
pr_000579275,0.549492, 0.000000
pr_001081004,0.549492, 0.000000
pr_001119290,0.549492, 0.000000
pr_001647330,0.549492, 0.000000
pr_001690302,0.549492, 0.000000
pr_000640371,0.549492, 0.000000
pr_001596219,0.549492, 0.000000
pr_001653220,0.549492, 0.000000
pr_001631383,0.549492, 0.000000
pr_000191162,0.549492, 0.000000
pr_000860348,0.549492, 0.000000
pr_001115209,0.549492, 0.000000
pr_000754229,0.549492, 0.000000
pr_000766923,0.549492, 0.000000
pr_000705125,0.549492, 0.000000
pr_001121482,0.549492, 0.000000
pr_001704409,0.549492, 0.000000
pr_001028005,0.549492, 0.000000
pr_001901168,0.549492, 0.000000
pr_001122734,0.549492, 0.000000
pr_000315795,0.549492, 0.000000
pr_001387675,0.549492, 0.000000
pr_001036864,0.549492, 0.000000
pr_000022713,0.549492, 0.000000
