Product ID : 2148 JPs covered : 276 : ERISA-Executive Compensation, 
us_000495024,0.771875, 1.888701
us_000578699,0.771875, 1.904241
us_000493404,0.771875, 1.905428
us_000501512,0.771875, 1.912101
us_000521781,0.771875, 1.917990
us_000531991,0.771875, 1.918406
us_000535267,0.771875, 1.921031
us_000563907,0.771875, 1.921412
us_000582320,0.771875, 1.927354
us_000575000,0.771875, 1.936139
us_000585723,0.771875, 1.942371
us_000398169,0.771875, 1.946033
us_000497993,0.771875, 1.950287
us_000557070,0.771875, 1.955020
us_000585650,0.771875, 1.956645
us_000585030,0.771875, 1.961671
us_000583865,0.771875, 1.964705
us_000533953,0.771875, 1.964866
us_000554996,0.771875, 1.970895
us_000581977,0.771875, 1.974517
us_000566923,0.771875, 1.974647
us_000580586,0.771875, 1.975040
us_000505245,0.771875, 1.979496
us_000509500,0.771875, 1.985584
us_000584190,0.771875, 1.986423
us_000579272,0.771875, 1.988571
us_000518754,0.771875, 1.991088
us_000578205,0.771875, 1.993352
us_000431304,0.771875, 2.001098
us_000540027,0.771875, 2.001915
us_000530125,0.771875, 2.014127
us_000468298,0.771875, 2.016652
us_000521459,0.771875, 2.019487
us_000557042,0.771875, 2.027107
us_000458629,0.771875, 2.031589
us_000481454,0.771875, 2.031995
us_000499782,0.771875, 2.039763
us_000549712,0.771875, 2.044810
us_000582246,0.771875, 2.053681
us_000504917,0.771875, 2.054776
us_000502164,0.771875, 2.056706
us_000598287,0.771875, 2.058556
us_000479817,0.771875, 2.059998
us_000533391,0.771875, 2.060145
us_000408766,0.771875, 2.063237
us_000560522,0.771875, 2.064957
us_000500950,0.771875, 2.065076
us_000504076,0.771875, 2.067164
us_000550147,0.771875, 2.067759
us_000572291,0.771875, 2.068360
us_000585955,0.771875, 2.071794
us_000514349,0.771875, 2.074920
us_000565117,0.771875, 2.076502
us_000539411,0.771875, 2.077309
us_000506031,0.771875, 2.078989
us_000546649,0.771875, 2.080001
us_000591095,0.771875, 2.080888
us_000519637,0.771875, 2.082924
us_000564816,0.771875, 2.087404
us_000482399,0.771875, 2.087669
us_000558146,0.771875, 2.089601
us_000540260,0.771875, 2.098558
us_000533283,0.771875, 2.099081
us_000549695,0.771875, 2.099923
us_000556328,0.771875, 2.105944
us_000503901,0.771875, 2.108585
us_000400033,0.771875, 2.114690
us_000461721,0.771875, 2.123231
us_000544412,0.771875, 2.125217
us_000460055,0.771875, 2.135878
us_000339025,0.771875, 2.143084
us_000564071,0.771875, 2.143275
us_000469482,0.771875, 2.145013
us_000503960,0.771875, 2.146729
us_000583878,0.771875, 2.147014
us_000556213,0.771875, 2.149149
us_000517565,0.771875, 2.149266
us_000519141,0.771875, 2.159135
us_000611036,0.771875, 2.162823
us_000556304,0.771875, 2.170063
us_000533959,0.771875, 2.174806
us_000530509,0.771875, 2.180296
us_000586910,0.771875, 2.181565
us_000536991,0.771875, 2.185468
us_000485829,0.771875, 2.185708
us_000565824,0.771875, 2.187242
us_000502779,0.771875, 2.188081
us_000549123,0.771875, 2.188081
us_000535886,0.771875, 2.191305
us_000502781,0.771875, 2.191934
us_000482713,0.771875, 2.192582
us_000553889,0.771875, 2.192582
us_000483775,0.771875, 2.193236
us_000551879,0.771875, 2.211667
us_000520542,0.771875, 2.216241
us_000561062,0.771875, 2.217460
us_000496501,0.771875, 2.217640
us_000470986,0.771875, 2.224646
us_000483402,0.771875, 2.228903
us_000501876,0.771875, 2.229042
us_000478076,0.771875, 2.230997
us_000487798,0.771875, 2.231972
us_000518577,0.771875, 2.234771
us_000554342,0.771875, 2.234771
us_000469969,0.771875, 2.237744
us_000561243,0.771875, 2.237785
us_000539987,0.771875, 2.239330
us_000478210,0.771875, 2.239646
us_000482166,0.771875, 2.239646
us_000481396,0.771875, 2.239646
us_000539319,0.771875, 2.239646
us_000479863,0.771875, 2.239646
us_000484258,0.771875, 2.240965
us_000464342,0.771875, 2.246463
us_000528177,0.771875, 2.252951
us_000499212,0.771875, 2.253741
us_000479238,0.771875, 2.260741
us_000518043,0.771875, 2.263923
us_000011844,0.771875, 2.268263
us_000476853,0.771875, 2.269571
us_000540383,0.771875, 2.269671
us_000500267,0.771875, 2.272488
us_000551882,0.771875, 2.274821
us_000472807,0.771875, 2.275744
us_000534700,0.771875, 2.276351
us_000521571,0.771875, 2.276717
us_000553704,0.771875, 2.279995
us_000540199,0.771875, 2.285376
us_000490860,0.771875, 2.298933
us_000503644,0.771875, 2.315023
us_000471028,0.771875, 2.321454
us_000459786,0.771875, 2.344185
us_000480522,0.771875, 2.363730
us_000482292,0.771875, 2.367517
us_000476957,0.771875, 2.457655
pr_000876285,0.550087, 0.000001
us_000519723,0.550087, 0.000030
us_000512227,0.550087, 1.528989
us_000597275,0.550087, 1.930893
us_000550359,0.550087, 2.223825
us_000512344,0.550087, 2.228883
us_000503329,0.550087, 2.248921
us_000565567,0.550087, 2.521569
us_000494594,0.550087, 2.540042
us_000544337,0.550087, 2.657527
us_000544410,0.550087, 2.670082
us_000487817,0.550087, 2.696606
us_000499077,0.550087, 2.718136
us_000507445,0.550087, 2.744485
us_000567723,0.550087, 2.752868
us_000486501,0.550087, 2.827302
us_000318761,0.550087, 2.828845
us_000482156,0.550087, 2.854509
us_000535931,0.550087, 2.888224
us_000546314,0.550087, 2.888646
us_000582809,0.550087, 2.901968
us_000499941,0.550087, 2.909066
us_000465826,0.550087, 2.919895
us_000578835,0.550087, 2.936915
us_000469250,0.550087, 2.938211
us_000528262,0.550087, 2.968343
us_000544838,0.550087, 2.980640
us_000535086,0.550087, 3.016375
us_000522379,0.550087, 3.021714
us_000507681,0.550087, 3.024218
us_000301506,0.550087, 3.027775
us_000517604,0.550087, 3.040978
us_000483131,0.550087, 3.063603
us_000546306,0.550087, 3.082097
us_000546305,0.550087, 3.082097
us_000522386,0.550087, 3.112405
us_000522279,0.550087, 3.118709
us_000493331,0.550087, 3.120113
us_000577926,0.550087, 3.122569
us_000571294,0.550087, 3.139870
us_000545143,0.550087, 3.142789
us_000543499,0.550087, 3.169828
us_000596459,0.550087, 3.194859
us_000552576,0.550087, 3.195373
us_000598313,0.550087, 3.197713
us_000510802,0.550087, 3.207965
us_000510449,0.550087, 3.217732
us_000524560,0.550087, 3.229874
us_000481682,0.550087, 3.231433
us_000584993,0.550087, 3.233694
us_000568854,0.550087, 3.245923
us_000571674,0.550087, 3.253660
us_000487987,0.550087, 3.265141
us_000460158,0.550087, 3.266548
us_000458962,0.550087, 3.267311
us_000500141,0.550087, 3.306141
us_000546141,0.550087, 3.307061
us_000533240,0.550087, 3.330054
us_000545091,0.550087, 3.341587
us_000521420,0.550087, 3.371994
us_000561254,0.550087, 3.374985
us_000574712,0.550087, 3.377635
us_000566933,0.550087, 3.382079
us_000557650,0.550087, 3.385810
us_000495102,0.550087, 3.389935
us_000502462,0.550087, 3.403771
us_000510688,0.550087, 3.415225
us_000545530,0.550087, 3.415225
us_000546256,0.550087, 3.415225
