Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 303 | Health Business M&A (jp:303,idx:106)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2282430,139.0,(44|17)
0.08695652,6.0,(3|21)
0.07692308,2.0,(13|29)
0.07453416,12.0,(2|13)
0.07352941,5.0,(45|17)
0.06956521,8.0,(5|14)
0.06060606,10.0,(6|14)
0.04918033,3.0,(4|16)
0.04761905,1.0,(12|0)
0.04651163,2.0,(3|14)
0.03409091,3.0,(5|16)
0.02702703,1.0,(3|16)
0.02040816,1.0,(7|16)
0.01904762,2.0,(9|46)
0.01851852,3.0,(4|15)
0.01550388,2.0,(3|13)
0.01388889,3.0,(1|13)
0.01351351,1.0,(4|12)
0.01282051,1.0,(5|13)
0.01257862,2.0,(18|38)
0.01250000,1.0,(30|1)
0.01204819,4.0,(12|1)
0.01204819,4.0,(13|49)
0.01129944,2.0,(16|39)
0.01083033,3.0,(4|14)
0.01052632,1.0,(16|49)
0.009708738,1.0,(10|49)
0.009259259,1.0,(17|38)
0.008988764,4.0,(49|33)
0.008356546,3.0,(5|12)
0.008356546,3.0,(6|13)
0.007518797,1.0,(7|47)
0.007407407,1.0,(5|15)
0.007246377,1.0,(4|18)
0.007092198,2.0,(2|12)
0.007042253,1.0,(4|13)
0.006578947,1.0,(9|48)
0.006172840,2.0,(46|17)
0.005988024,1.0,(0|17)
0.005747126,1.0,(0|16)
0.005586592,1.0,(2|15)
0.005376344,1.0,(12|49)
0.005050505,1.0,(12|41)
0.004065040,1.0,(39|6)
0.003952569,1.0,(0|14)
0.003831418,1.0,(9|43)
0.003773585,1.0,(25|49)
0.003367003,1.0,(2|49)
0.002873563,1.0,(32|3)
0.002564103,1.0,(35|19)
0.002564103,1.0,(35|20)
0.002127660,1.0,(41|12)
0.001745201,1.0,(30|14)
