Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 277 | ERISA-Employee Benefits (jp:277,idx:84)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4857143,102.0,(33|48)
0.4644352,111.0,(34|48)
0.3963964,44.0,(32|48)
0.3000000,21.0,(33|47)
0.2836879,40.0,(32|49)
0.2500000,2.0,(31|49)
0.2067510,49.0,(34|49)
0.1292517,38.0,(34|0)
0.09285714,13.0,(33|49)
0.08860759,21.0,(33|0)
0.08771930,10.0,(30|0)
0.08000000,6.0,(32|0)
0.07092199,10.0,(31|0)
0.05913978,11.0,(34|1)
0.04545455,1.0,(29|0)
0.04545455,1.0,(32|47)
0.04255319,2.0,(29|1)
0.04081633,6.0,(47|35)
0.04022989,7.0,(49|34)
0.03333334,1.0,(33|2)
0.03278688,6.0,(32|1)
0.03174603,2.0,(31|2)
0.03092784,6.0,(31|1)
0.02500000,2.0,(30|1)
0.01869159,2.0,(3|6)
0.01754386,2.0,(4|11)
0.01754386,2.0,(48|6)
0.01639344,2.0,(32|2)
0.01538462,1.0,(3|9)
0.01515152,2.0,(1|21)
0.01481481,2.0,(4|39)
0.01315789,1.0,(4|37)
0.01287554,3.0,(33|1)
0.01176471,1.0,(3|37)
0.01162791,3.0,(31|3)
0.01000000,1.0,(13|24)
0.009615385,1.0,(7|15)
0.009523810,1.0,(9|46)
0.009216590,2.0,(48|29)
0.008968610,2.0,(8|12)
0.007434944,2.0,(49|22)
0.007299270,1.0,(30|2)
0.006944444,1.0,(2|14)
0.006666667,1.0,(46|31)
0.006211180,1.0,(2|13)
0.005847953,1.0,(10|39)
0.005847953,1.0,(48|31)
0.005434783,1.0,(37|6)
0.004184100,1.0,(5|39)
0.004065040,1.0,(9|41)
0.003676471,1.0,(4|40)
0.003676471,1.0,(5|40)
0.003676471,1.0,(5|41)
0.003610108,1.0,(4|14)
0.003610108,1.0,(29|4)
0.003490401,2.0,(30|14)
0.003289474,1.0,(14|24)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002906977,1.0,(8|9)
0.002873563,1.0,(37|5)
0.002583979,1.0,(17|8)
0.002164502,1.0,(42|15)
0.002049180,1.0,(48|3)
0.001769911,1.0,(29|10)
0.001483680,1.0,(25|31)
0.001161440,1.0,(47|3)
