Product ID : 2069 # of JPs covered : 1 : 390 : ERISA-Retirement Plans, 
us_000474043,0.972910, 2.900356
us_000488184,0.972910, 3.032360
us_000538562,0.972910, 3.063539
us_000499848,0.972910, 3.067356
us_000528268,0.972910, 3.073292
us_000192552,0.972910, 3.112177
us_000590879,0.972910, 3.117926
us_000542674,0.972910, 3.163557
us_000598855,0.972910, 3.166799
us_000562359,0.972910, 3.177483
us_000500856,0.972910, 3.411452
us_000471243,0.960198, 0.000000
us_000472338,0.960198, 0.000000
us_000515758,0.960198, 0.000000
pr_000735974,0.960198, 0.000001
pr_002006777,0.960198, 0.000001
us_000525240,0.960198, 0.000001
us_000464409,0.960198, 0.000002
us_000541449,0.960198, 0.000002
us_000539301,0.960198, 0.000002
pr_000750203,0.960198, 0.000004
pr_001894874,0.960198, 0.000006
us_000537888,0.960198, 0.000009
pr_002066217,0.960198, 0.000014
us_000510426,0.960198, 0.000023
us_000518842,0.960198, 0.000030
pr_001930435,0.960198, 0.000036
pr_001963351,0.960198, 0.000036
us_000537897,0.960198, 0.000061
us_000537922,0.960198, 0.000061
pr_001884506,0.960198, 0.000087
us_000503686,0.960198, 0.000159
us_000519328,0.960198, 0.000248
us_000441576,0.960198, 0.000263
us_000512067,0.960198, 0.000349
us_000508831,0.960198, 0.000349
us_000508799,0.960198, 0.000349
pr_001021085,0.960198, 0.000371
us_000521577,0.960198, 0.000510
us_000550742,0.960198, 0.000547
pr_001089198,0.960198, 0.000562
pr_000822658,0.960198, 0.000562
pr_000791139,0.960198, 0.000562
pr_000744957,0.960198, 0.000610
us_000484930,0.960198, 0.000615
pr_000880013,0.960198, 0.000629
pr_000886452,0.960198, 0.000629
us_000463914,0.960198, 0.000642
pr_000274758,0.960198, 0.000660
us_000542656,0.960198, 0.000807
pr_000289167,0.960198, 0.000914
pr_001611410,0.960198, 0.000931
us_000466827,0.960198, 0.000948
us_000539375,0.960198, 0.000987
pr_000562899,0.960198, 0.001170
us_000467129,0.960198, 0.001461
us_000599052,0.960198, 0.002507
us_000509297,0.960198, 0.003076
us_000486085,0.960198, 0.003112
us_000520640,0.960198, 0.003294
us_000492918,0.960198, 0.003344
us_000543433,0.960198, 0.003416
pr_001018053,0.960198, 0.003455
us_000535835,0.960198, 0.003694
us_000537949,0.960198, 0.005143
us_000106058,0.960198, 0.005842
us_000580820,0.960198, 0.007428
us_000559191,0.960198, 0.007515
us_000515699,0.960198, 0.007522
us_000542328,0.960198, 0.007790
us_000598055,0.960198, 0.008061
us_000506858,0.960198, 0.008871
us_000568739,0.960198, 0.010266
us_000567553,0.960198, 0.010913
us_000568680,0.960198, 0.011957
us_000470418,0.960198, 0.012760
us_000533657,0.960198, 0.012852
us_000542961,0.960198, 0.014734
us_000487783,0.960198, 0.017237
us_000498982,0.960198, 0.017759
us_000557514,0.960198, 0.017989
us_000566715,0.960198, 0.019626
us_000575454,0.960198, 0.020177
us_000163426,0.960198, 0.023441
us_000480432,0.960198, 0.026936
us_000472790,0.960198, 0.035748
us_000589732,0.960198, 0.043366
us_000525393,0.960198, 0.044941
us_000568938,0.960198, 0.050226
us_000480335,0.960198, 0.050962
us_000495291,0.960198, 0.056536
us_000589275,0.960198, 0.073321
us_000579268,0.960198, 0.081077
us_000494628,0.960198, 0.103556
us_000495488,0.960198, 0.162111
us_000482659,0.960198, 0.169227
us_000553948,0.960198, 0.228592
pr_001674097,0.910433, 0.000000
pr_001153019,0.910433, 0.000000
us_000529431,0.910433, 0.000000
us_000558958,0.910433, 0.000000
us_000559162,0.910433, 0.000454
us_000610956,0.910433, 0.001725
us_000526796,0.910433, 0.020373
us_000526544,0.910433, 0.027967
us_000517571,0.910433, 0.037160
us_000545309,0.910433, 0.037391
us_000520052,0.910433, 0.057234
us_000484126,0.910433, 0.064434
us_000502798,0.910433, 0.065032
us_000567172,0.910433, 0.109136
us_000515762,0.910433, 0.153005
us_000483725,0.910433, 0.363019
us_000519731,0.877501, 0.000012
us_000534065,0.877501, 0.048320
us_000492790,0.877501, 0.084733
us_000468074,0.877501, 2.062093
us_000462433,0.877501, 2.270882
us_000476392,0.877501, 2.281631
us_000468533,0.877501, 2.302365
us_000529561,0.877501, 2.328199
us_000529558,0.877501, 2.425229
us_000575828,0.877501, 2.448112
pr_000815375,0.843742, 0.000000
us_000477716,0.843742, 0.000001
us_000458996,0.843742, 0.000001
us_000500533,0.843742, 0.000001
us_000464555,0.843742, 0.000001
us_000474263,0.843742, 0.000001
us_000472371,0.843742, 0.000001
us_000118389,0.843742, 0.000001
us_000488997,0.843742, 0.000001
us_000259105,0.843742, 0.000001
us_000498262,0.843742, 0.000001
us_000459719,0.843742, 0.000001
us_000458766,0.843742, 0.000001
us_000503609,0.843742, 0.000001
us_000506662,0.843742, 0.000001
us_000493164,0.843742, 0.000001
us_000485510,0.843742, 0.000001
us_000222681,0.843742, 0.000001
us_000564950,0.843742, 0.000001
us_000483211,0.843742, 0.000001
us_000051293,0.843742, 0.000001
us_000474761,0.843742, 0.000001
us_000478674,0.843742, 0.000001
us_000458557,0.843742, 0.000001
us_000458685,0.843742, 0.000001
us_000476950,0.843742, 0.000001
us_000550551,0.843742, 0.000001
us_000563890,0.843742, 0.000001
us_000127683,0.843742, 0.000001
us_000459865,0.843742, 0.000001
us_000506035,0.843742, 0.000002
pr_000762444,0.843742, 0.000003
pr_000765291,0.843742, 0.000006
us_000492365,0.843742, 0.000014
us_000555788,0.843742, 0.000014
us_000481970,0.843742, 0.000014
us_000564083,0.843742, 0.000014
us_000533126,0.843742, 0.000015
us_000613819,0.843742, 0.000027
us_000452165,0.843742, 0.000030
pr_001875570,0.843742, 0.000037
us_000550195,0.843742, 0.000038
us_000591898,0.843742, 0.000060
pr_000290742,0.843742, 0.000121
us_000480138,0.843742, 0.000397
pr_002081041,0.843742, 0.000433
us_000562944,0.843742, 0.001115
us_000471675,0.843742, 0.001117
us_000493938,0.843742, 0.001642
us_000230803,0.843742, 0.002455
us_000481214,0.843742, 0.002467
us_000589824,0.843742, 0.003105
us_000590075,0.843742, 0.006217
us_000591738,0.843742, 0.008062
us_000528381,0.843742, 0.008178
us_000564004,0.843742, 0.011864
us_000581121,0.843742, 0.016336
us_000518874,0.843742, 0.017066
us_000529065,0.843742, 0.017811
us_000529401,0.843742, 0.019960
us_000563683,0.843742, 0.022533
us_000530869,0.843742, 0.031560
us_000512515,0.843742, 0.076988
us_000504308,0.843742, 0.096200
us_000458943,0.843742, 8.278928
pr_001076172,0.720924, 0.000000
pr_000634893,0.720924, 0.000000
pr_001405903,0.720924, 0.000000
pr_001404292,0.720924, 0.000000
pr_000844120,0.720924, 0.000000
pr_001065915,0.720924, 0.000000
pr_001723990,0.720924, 0.000000
pr_001405317,0.720924, 0.000000
pr_001042092,0.720924, 0.000000
pr_000825358,0.720924, 0.000000
pr_001127343,0.720924, 0.000000
pr_002005339,0.720924, 0.000000
pr_000402146,0.720924, 0.000002
pr_000315002,0.720924, 0.000002
pr_000865324,0.720924, 0.000002
pr_000971182,0.720924, 0.000002
pr_000250454,0.720924, 0.000002
pr_000765134,0.720924, 0.000012
pr_000216231,0.720924, 0.000030
us_000494081,0.720924, 0.059571
us_000515603,0.720924, 0.084795
us_000353478,0.720924, 1.336868
us_000503928,0.720924, 1.351191
us_000483757,0.720924, 1.446836
us_000509251,0.720924, 1.512804
us_000510849,0.720924, 1.533768
us_000538858,0.720924, 1.543384
us_000565501,0.720924, 1.553399
us_000112726,0.720924, 1.605613
us_000495838,0.720924, 1.640468
us_000540038,0.720924, 1.651617
us_000491059,0.720924, 1.656839
us_000575032,0.720924, 1.700596
us_000495792,0.720924, 1.711866
us_000362427,0.720924, 1.731457
us_000482556,0.720924, 1.750938
us_000547997,0.720924, 1.768659
us_000537242,0.720924, 1.776857
us_000013463,0.720924, 1.803453
us_000568768,0.720924, 1.812753
us_000496184,0.720924, 1.821691
us_000484447,0.720924, 1.824845
us_000540740,0.720924, 1.837602
us_000599311,0.720924, 1.845327
us_000582812,0.720924, 1.850263
us_000500677,0.720924, 1.850694
us_000484225,0.720924, 1.857281
us_000495024,0.720924, 1.888701
us_000578699,0.720924, 1.904241
us_000493404,0.720924, 1.905428
us_000501512,0.720924, 1.912101
us_000521781,0.720924, 1.917990
us_000531991,0.720924, 1.918406
us_000535267,0.720924, 1.921031
us_000563907,0.720924, 1.921412
us_000582320,0.720924, 1.927354
us_000575000,0.720924, 1.936139
us_000585723,0.720924, 1.942371
us_000398169,0.720924, 1.946033
us_000497993,0.720924, 1.950287
us_000557070,0.720924, 1.955020
us_000585650,0.720924, 1.956645
us_000585030,0.720924, 1.961671
us_000583865,0.720924, 1.964705
us_000533953,0.720924, 1.964866
us_000554996,0.720924, 1.970895
us_000581977,0.720924, 1.974517
us_000566923,0.720924, 1.974647
us_000580586,0.720924, 1.975040
us_000505245,0.720924, 1.979496
us_000509500,0.720924, 1.985584
us_000584190,0.720924, 1.986423
us_000579272,0.720924, 1.988571
us_000518754,0.720924, 1.991088
us_000578205,0.720924, 1.993352
us_000431304,0.720924, 2.001098
us_000540027,0.720924, 2.001915
us_000530125,0.720924, 2.014127
us_000468298,0.720924, 2.016652
us_000521459,0.720924, 2.019487
us_000557042,0.720924, 2.027107
us_000458629,0.720924, 2.031589
us_000481454,0.720924, 2.031995
us_000499782,0.720924, 2.039763
us_000549712,0.720924, 2.044810
us_000582246,0.720924, 2.053681
us_000504917,0.720924, 2.054776
us_000502164,0.720924, 2.056706
us_000598287,0.720924, 2.058556
us_000479817,0.720924, 2.059998
us_000533391,0.720924, 2.060145
us_000408766,0.720924, 2.063237
us_000560522,0.720924, 2.064957
us_000500950,0.720924, 2.065076
us_000504076,0.720924, 2.067164
us_000550147,0.720924, 2.067759
us_000572291,0.720924, 2.068360
us_000585955,0.720924, 2.071794
us_000514349,0.720924, 2.074920
us_000565117,0.720924, 2.076502
us_000539411,0.720924, 2.077309
us_000506031,0.720924, 2.078989
us_000546649,0.720924, 2.080001
us_000591095,0.720924, 2.080888
us_000519637,0.720924, 2.082924
us_000564816,0.720924, 2.087404
us_000482399,0.720924, 2.087669
us_000558146,0.720924, 2.089601
us_000540260,0.720924, 2.098558
us_000533283,0.720924, 2.099081
us_000549695,0.720924, 2.099923
us_000556328,0.720924, 2.105944
us_000503901,0.720924, 2.108585
us_000400033,0.720924, 2.114690
us_000461721,0.720924, 2.123231
us_000544412,0.720924, 2.125217
us_000460055,0.720924, 2.135878
us_000339025,0.720924, 2.143084
us_000564071,0.720924, 2.143275
us_000469482,0.720924, 2.145013
us_000503960,0.720924, 2.146729
us_000583878,0.720924, 2.147014
us_000556213,0.720924, 2.149149
us_000517565,0.720924, 2.149266
us_000519141,0.720924, 2.159135
us_000611036,0.720924, 2.162823
us_000556304,0.720924, 2.170063
us_000533959,0.720924, 2.174806
us_000530509,0.720924, 2.180296
us_000586910,0.720924, 2.181565
us_000536991,0.720924, 2.185468
us_000485829,0.720924, 2.185708
us_000565824,0.720924, 2.187242
us_000549123,0.720924, 2.188081
us_000502779,0.720924, 2.188081
us_000535886,0.720924, 2.191305
us_000502781,0.720924, 2.191934
us_000482713,0.720924, 2.192582
us_000553889,0.720924, 2.192582
us_000483775,0.720924, 2.193236
us_000551879,0.720924, 2.211667
us_000520542,0.720924, 2.216241
us_000561062,0.720924, 2.217460
us_000496501,0.720924, 2.217640
us_000470986,0.720924, 2.224646
us_000483402,0.720924, 2.228903
us_000501876,0.720924, 2.229042
us_000478076,0.720924, 2.230997
us_000487798,0.720924, 2.231972
us_000554342,0.720924, 2.234771
us_000518577,0.720924, 2.234771
us_000469969,0.720924, 2.237744
us_000561243,0.720924, 2.237785
us_000539987,0.720924, 2.239330
us_000481396,0.720924, 2.239646
us_000478210,0.720924, 2.239646
us_000479863,0.720924, 2.239646
us_000539319,0.720924, 2.239646
us_000482166,0.720924, 2.239646
us_000484258,0.720924, 2.240965
us_000464342,0.720924, 2.246463
us_000528177,0.720924, 2.252951
us_000499212,0.720924, 2.253741
us_000479238,0.720924, 2.260741
us_000518043,0.720924, 2.263923
us_000011844,0.720924, 2.268263
us_000476853,0.720924, 2.269571
us_000540383,0.720924, 2.269671
us_000500267,0.720924, 2.272488
us_000551882,0.720924, 2.274821
us_000472807,0.720924, 2.275744
us_000534700,0.720924, 2.276351
us_000521571,0.720924, 2.276717
us_000553704,0.720924, 2.279995
us_000540199,0.720924, 2.285376
us_000490860,0.720924, 2.298933
us_000503644,0.720924, 2.315023
us_000471028,0.720924, 2.321454
us_000459786,0.720924, 2.344185
us_000480522,0.720924, 2.363730
us_000482292,0.720924, 2.367517
us_000476957,0.720924, 2.457655
pr_000877501,0.618725, 0.000000
pr_000920552,0.618725, 0.000000
pr_000994641,0.618725, 0.000000
pr_000748374,0.618725, 0.000000
pr_000923741,0.618725, 0.000000
pr_000957355,0.618725, 0.000000
pr_000377025,0.618725, 0.000000
pr_000213405,0.618725, 0.000000
pr_001409947,0.618725, 0.000000
pr_000782585,0.618725, 0.000000
pr_000758461,0.618725, 0.000000
pr_001132430,0.618725, 0.000000
pr_000113443,0.618725, 0.000000
pr_000069777,0.618725, 0.000000
pr_001909248,0.618725, 0.000000
pr_000955807,0.618725, 0.000000
pr_000999325,0.618725, 0.000000
us_000600445,0.618725, 0.000001
us_000600259,0.618725, 0.000011
pr_001024597,0.618725, 0.000012
pr_001879776,0.618725, 0.000028
pr_001133101,0.618725, 0.000168
us_000479505,0.618725, 0.023417
us_000594943,0.618725, 1.092002
us_000580787,0.618725, 1.263221
us_000467707,0.618725, 1.265091
us_000537890,0.618725, 1.269817
us_000495101,0.618725, 1.273930
us_000127180,0.618725, 1.280527
us_000522991,0.618725, 1.283429
us_000486075,0.618725, 1.285481
us_000563160,0.618725, 1.304090
us_000568951,0.618725, 1.311048
us_000615317,0.618725, 1.333672
us_000530454,0.618725, 1.346855
us_000471736,0.618725, 1.350779
us_000465724,0.618725, 1.353044
us_000568299,0.618725, 1.353368
us_000523040,0.618725, 1.363145
us_000491490,0.618725, 1.376500
us_000593583,0.618725, 1.382784
us_000598031,0.618725, 1.401765
us_000593616,0.618725, 1.411876
us_000576626,0.618725, 1.420908
us_000503474,0.618725, 1.443499
us_000576422,0.618725, 1.458316
us_000497984,0.618725, 1.465456
us_000474042,0.618725, 1.472914
us_000568015,0.618725, 1.473473
us_000518791,0.618725, 1.514001
us_000192235,0.618725, 1.519357
us_000536303,0.618725, 1.522268
us_000477007,0.618725, 1.640487
us_000519182,0.421394, 0.000004
pr_002052258,0.421394, 0.000010
pr_000410567,0.421394, 0.000232
us_000500668,0.421394, 0.000990
us_000596158,0.421394, 0.013424
us_000501734,0.421394, 0.031248
us_000478295,0.421394, 1.550014
us_000480110,0.421394, 2.020654
us_000507274,0.421394, 2.049726
us_000520316,0.421394, 2.093015
us_000477816,0.421394, 2.125984
us_000485813,0.401244, 0.000000
us_000475127,0.401244, 0.000000
us_000488042,0.401244, 0.000111
us_000474447,0.401244, 0.000111
us_000604960,0.401244, 0.000668
us_000584632,0.401244, 0.001333
us_000563454,0.401244, 1.253696
us_000409714,0.401244, 1.270866
us_000498342,0.401244, 1.274581
us_000544703,0.401244, 1.286093
us_000206873,0.401244, 1.288934
us_000484204,0.401244, 1.294463
us_000552372,0.401244, 1.308626
us_000447593,0.401244, 1.312938
us_000480401,0.401244, 1.313877
us_000613028,0.401244, 1.315337
us_000617506,0.401244, 1.315611
us_000589496,0.401244, 1.318101
us_000528347,0.401244, 1.318339
us_000477026,0.401244, 1.319884
us_000478495,0.401244, 1.322347
us_000526533,0.401244, 1.335332
us_000483781,0.401244, 1.335405
us_000591824,0.401244, 1.338411
us_000517658,0.401244, 1.339135
us_000481874,0.401244, 1.340552
us_000604616,0.401244, 1.345332
us_000510148,0.401244, 1.347705
us_000482642,0.401244, 1.347727
us_000481757,0.401244, 1.347961
us_000527911,0.401244, 1.348675
us_000607056,0.401244, 1.351118
us_000591068,0.401244, 1.351607
us_000481639,0.401244, 1.353354
us_000493760,0.401244, 1.355018
us_000518586,0.401244, 1.355641
us_000606356,0.401244, 1.355727
us_000546115,0.401244, 1.358476
us_000473796,0.401244, 1.359824
us_000563277,0.401244, 1.361462
us_000554494,0.401244, 1.364870
us_000559828,0.401244, 1.366244
us_000499627,0.401244, 1.367979
us_000517133,0.401244, 1.368996
us_000469768,0.401244, 1.377139
us_000469401,0.401244, 1.377693
us_000606086,0.401244, 1.377983
us_000193254,0.401244, 1.378487
us_000359928,0.401244, 1.378498
us_000481851,0.401244, 1.378638
us_000481168,0.401244, 1.378638
us_000481802,0.401244, 1.378638
us_000589706,0.401244, 1.379373
us_000458983,0.401244, 1.379381
us_000579401,0.401244, 1.380614
us_000529079,0.401244, 1.383227
us_000505914,0.401244, 1.385659
us_000589403,0.401244, 1.386693
us_000482745,0.401244, 1.387773
us_000499342,0.401244, 1.387773
us_000482824,0.401244, 1.387773
us_000481751,0.401244, 1.387773
us_000499511,0.401244, 1.387773
us_000481747,0.401244, 1.391428
us_000493041,0.401244, 1.396621
us_000613609,0.401244, 1.408215
us_000482837,0.401244, 1.424150
us_000591998,0.401244, 1.427095
us_000482843,0.401244, 1.437905
us_000588169,0.401244, 1.473544
us_000526295,0.401244, 1.540064
pr_000288420,0.254099, 0.000000
us_000617241,0.254099, 0.000000
us_000553602,0.254099, 0.000000
us_000595782,0.254099, 0.000000
us_000510354,0.254099, 0.000000
pr_000781138,0.254099, 0.000000
us_000600838,0.254099, 0.000000
us_000503155,0.254099, 0.000000
pr_000183149,0.254099, 0.000000
pr_000008480,0.254099, 0.000001
pr_001908772,0.254099, 0.000002
us_000553257,0.254099, 0.000002
us_000461994,0.254099, 0.000012
pr_000788288,0.254099, 0.000013
us_000539539,0.254099, 0.000019
pr_000013758,0.254099, 0.000025
pr_000553074,0.254099, 0.000045
us_000562645,0.254099, 0.000092
us_000517654,0.254099, 0.000113
pr_000429636,0.254099, 0.000138
us_000463861,0.254099, 0.000229
pr_000559981,0.254099, 0.000296
pr_000162296,0.254099, 0.000310
us_000555002,0.254099, 0.000542
pr_000287517,0.254099, 0.000628
pr_000559147,0.254099, 0.001115
pr_000652595,0.254099, 0.001342
us_000467350,0.254099, 0.001489
us_000372490,0.254099, 0.001565
us_000549831,0.254099, 0.002645
us_000597087,0.254099, 0.003396
us_000501047,0.254099, 0.003505
us_000492307,0.254099, 0.032239
pr_000010612,0.233125, 0.000000
pr_000851458,0.233125, 0.000000
pr_000783853,0.233125, 0.000005
pr_000439121,0.233125, 0.000012
pr_000471209,0.233125, 0.000026
pr_000341375,0.233125, 0.000143
us_000485197,0.233125, 0.001064
us_000544840,0.233125, 0.191930
us_000567505,0.233125, 0.231177
us_000504640,0.233125, 0.429224
us_000588097,0.233125, 0.502501
us_000522665,0.233125, 0.510072
us_000539260,0.233125, 0.515412
us_000469009,0.233125, 0.537343
us_000520566,0.233125, 0.538981
us_000488297,0.233125, 0.548574
us_000560211,0.233125, 0.549799
us_000494963,0.233125, 0.554889
us_000498693,0.233125, 0.560073
us_000611383,0.233125, 0.561059
us_000566995,0.233125, 0.571420
us_000611252,0.233125, 0.573261
us_000520338,0.233125, 0.574693
us_000479707,0.233125, 0.577063
us_000562498,0.233125, 0.582971
us_000585512,0.233125, 0.584250
us_000584031,0.233125, 0.585974
us_000598731,0.233125, 0.589911
us_000160660,0.233125, 0.590028
us_000468849,0.233125, 0.591136
us_000468079,0.233125, 0.591319
us_000579468,0.233125, 0.592318
us_000573444,0.233125, 0.595188
us_000603925,0.233125, 0.599678
us_000532815,0.233125, 0.603028
us_000572889,0.233125, 0.606110
us_000611248,0.233125, 0.606740
us_000565627,0.233125, 0.611009
us_000559316,0.233125, 0.612447
us_000515105,0.233125, 0.617433
us_000592256,0.233125, 0.618595
us_000507947,0.233125, 0.619060
us_000598506,0.233125, 0.619472
us_000562296,0.233125, 0.619741
us_000206667,0.233125, 0.623443
us_000536984,0.233125, 0.624228
us_000522719,0.233125, 0.628098
us_000611830,0.233125, 0.628538
us_000520032,0.233125, 0.631335
us_000523593,0.233125, 0.632074
us_000465412,0.233125, 0.632483
us_000593578,0.233125, 0.632649
us_000520155,0.233125, 0.634635
us_000483484,0.233125, 0.635572
us_000528512,0.233125, 0.635932
us_000589177,0.233125, 0.637245
us_000585849,0.233125, 0.640406
us_000572338,0.233125, 0.640440
us_000572336,0.233125, 0.640440
us_000518467,0.233125, 0.640958
us_000393768,0.233125, 0.641694
us_000564733,0.233125, 0.641948
us_000587795,0.233125, 0.644065
