Jp & Jpg Data for Prospect data.
Num Jps=,333,Num  JpGrps=,61
Jp,JpIDX,Jp Name,Jpgrp,JpgrpIDX,Jpgrp Name,# JpSeen, # JpOrderSeen,# JpOptSeen,# JpLinkSeen,# JpSourceSeen,
21,0,General HR,24,23,All-HR,5336,0,0,0,5336,
30,1,Accounting-Firm Management,26,24,Accounting All,2418,0,0,0,2418,
40,2,Accounting-Other/Unknown,26,24,Accounting All,7889,0,0,0,7889,
42,3,General/Corporate,27,25,Corporate Tax All,15338,0,0,0,15338,
50,4,Federal,27,25,Corporate Tax All,10669,0,1927,5900,4065,
52,5,Incentives,27,25,Corporate Tax All,86,0,0,0,86,
54,6,Property / Excise,27,25,Corporate Tax All,5105,0,974,1881,3343,
56,7,Sales/Use,27,25,Corporate Tax All,10009,0,1267,6056,5154,
57,8,State & Local,27,25,Corporate Tax All,2192,0,0,0,2192,
58,9,State Income,27,25,Corporate Tax All,11111,0,1510,6197,5105,
63,10,Law Firm Management,15,14,Law Firm Management,8003,0,0,546,7554,
64,11,Library/Information Services,16,15,Law Firm Librarians,783,0,0,0,783,
66,12,Antitrust,1,0,Antitrust,11020,0,419,2734,9248,
67,13,Banking,2,1,Banking,22227,0,553,3133,19858,
68,14,Bankruptcy,3,2,Bankruptcy,29256,0,621,4951,26696,
69,15,Class Action,4,3,Class Action,26066,0,437,3851,24290,
71,16,Contracts & Franchise Law,32,29,Contracts & Franchise Law,6182,0,0,0,6182,
73,17,Computers/Software/Internet,13,12,Intellectual Property Law - Other,260,0,0,0,260,
76,18,Copyrights,13,12,Intellectual Property Law - Other,7638,0,490,2320,5400,
78,19,Corporate Governance,9,8,Corporate Law,9139,0,678,1889,6815,
79,20,Corp Law,9,8,Corporate Law,69536,0,1131,7366,64187,
83,21,Dispute Resolution,5,4,Dispute Resolution,17093,0,0,0,17093,
85,22,Employment,6,5,Employment Non-Litigation,27166,0,893,12135,17362,
86,23,Employment & Labor Relations,6,5,Employment Non-Litigation,22005,0,0,0,22005,
87,24,Energy,51,45,Energy,15227,0,444,3798,12606,
90,25,Environmental/Natural Resources,7,6,Environmental,18464,0,451,5149,15698,
91,26,ERISA,8,7,ERISA,8719,0,492,4003,5175,
92,27,Fair Labor Standards Act FLSA,6,5,Employment Non-Litigation,29,0,0,0,29,
93,28,Financial Services,2,1,Banking,11263,0,53,0,11210,
96,29,General Counsel,29,27,General Counsel,27974,0,0,4321,26001,
97,30,Healthcare,10,9,Healthcare Business,27261,0,798,6737,24769,
103,31,Immigration,11,10,Immigration,5525,0,0,0,5525,
104,32,Insurance,12,11,Insurance Non-Litigation,43644,0,655,7123,39299,
108,33,Intellectual Property,13,12,Intellectual Property Law - Other,43105,0,709,7726,39761,
110,34,International Law,14,13,International Law,17089,0,675,4426,13733,
111,35,International Trade,14,13,International Law,5520,0,0,1555,4350,
117,36,Litigation,17,16,Litigation,146956,0,985,10160,142512,
121,37,Mergers Acquisitions & Divestitures,35,32,Mergers & Acquisitions,30929,0,919,5296,27687,
122,38,Municipal Law/Eminent Domain,18,17,Municipal Law,10693,0,330,2377,9266,
123,39,Patents,36,33,Intellectual Property Law - Patents,22397,0,731,7331,18577,
126,40,Products Liability,53,47,Product Liability,41745,0,410,2080,40872,
129,41,Real Estate/Real Property/Land Use,19,18,Real Property Transactions,53416,0,1102,11043,48433,
130,42,Securities,20,19,Corporate Finance,24013,0,390,2497,22447,
131,43,Securities Class Action,4,3,Class Action,4579,0,200,0,4382,
138,44,Tax Law,21,20,Tax Law,30525,0,1310,8791,23657,
141,45,Tort Trial & Insurance,66,60,Insurance Litigation,3226,0,0,0,3226,
143,46,Trademarks,13,12,Intellectual Property Law - Other,11286,0,555,4370,7968,
145,47,White Collar Crime,9,8,Corporate Law,9914,0,250,93,9632,
146,48,Other/Unknown,22,21,Other/Unknown Practice Areas,24707,0,0,0,24707,
148,49,Security/Loss Prevention,28,26,All-Security,7717,0,0,0,7717,
157,50,Accounting-Accounting/Audit/Assurance,26,24,Accounting All,19922,0,477,1754,18815,
186,51,Acct-Tax,26,24,Accounting All,30751,0,635,5587,26890,
190,52,Accounting-Valuation Services,26,24,Accounting All,8286,0,610,1640,6655,
198,53,Corporate Finance,20,19,Corporate Finance,27683,0,836,8830,20708,
199,54,Pharmaceutical Litigation,23,22,Pharmaceutical Litigation,4687,0,0,0,4687,
204,55,Real Estate Transaction,19,18,Real Property Transactions,4045,0,0,0,4045,
205,56,Real Estate Finance,63,57,Real Property Finance,8351,0,0,3088,5818,
207,57,Outsourcing,40,37,Outsourcing,507,0,0,0,507,
208,58,Private Equity,20,19,Corporate Finance,16304,0,246,3250,14267,
209,59,Contracts-Government,32,29,Contracts & Franchise Law,4662,0,0,993,3890,
210,60,Accounting-Employee Benefit Plan,26,24,Accounting All,8856,0,949,3815,5297,
211,61,Ethics,39,36,Ethics,4595,0,0,3660,1219,
212,62,Regulatory-DO-NOT-KEY/UPDATE,31,28,Regulatory,13444,0,0,0,13444,
213,63,Environmental Marketing Professionals,7,6,Environmental,55,0,0,0,55,
214,64,Insurance Litigation,66,60,Insurance Litigation,56011,0,0,5963,54221,
215,65,Accounting-Compilation & Review,26,24,Accounting All,2489,0,463,469,1617,
216,66,Accounting-Non-Profit,26,24,Accounting All,17684,0,1121,11302,7028,
217,67,Personal Tax Law,58,52,Personal Tax,38877,0,0,144,38788,
218,68,Education Law,33,30,Education Law,4233,0,0,0,4233,
219,69,Legal All,34,31,Legal All,623,0,0,0,623,
220,70,Accounting-Individual Tax,26,24,Accounting All,5591,0,544,84,4976,
221,71,IP Litigation,13,12,Intellectual Property Law - Other,17497,0,0,101,17444,
222,72,Contracts,32,29,Contracts & Franchise Law,26495,0,1116,5216,21843,
223,73,Franchise,32,29,Contracts & Franchise Law,1402,0,27,0,1376,
