Jp & Jpg Data for Customer data.
Num Jps=,330,Num  JpGrps=,61
Jp,JpIDX,Jp Name,Jpgrp,JpgrpIDX,Jpgrp Name,# JpSeen, # JpOrderSeen,# JpOptSeen,# JpLinkSeen,# JpSourceSeen,
21,0,General HR,24,23,All-HR,215,0,0,0,215,
30,1,Accounting-Firm Management,26,24,Accounting All,255,0,0,0,255,
40,2,Accounting-Other/Unknown,26,24,Accounting All,520,0,0,0,520,
42,3,General/Corporate,27,25,Corporate Tax All,1361,0,0,0,1361,
50,4,Federal,27,25,Corporate Tax All,4709,1526,1247,2545,2163,
52,5,Incentives,27,25,Corporate Tax All,5,0,0,0,5,
54,6,Property / Excise,27,25,Corporate Tax All,1417,457,434,712,672,
56,7,Sales/Use,27,25,Corporate Tax All,4045,2227,727,2614,2546,
57,8,State & Local,27,25,Corporate Tax All,391,0,0,0,391,
58,9,State Income,27,25,Corporate Tax All,4756,2027,897,2965,2652,
63,10,Law Firm Management,15,14,Law Firm Management,1457,64,0,168,1344,
64,11,Library/Information Services,16,15,Law Firm Librarians,115,0,0,0,115,
66,12,Antitrust,1,0,Antitrust,2382,791,151,1029,1783,
67,13,Banking,2,1,Banking,4697,1008,226,1424,3671,
68,14,Bankruptcy,3,2,Bankruptcy,5487,1674,241,2404,4051,
69,15,Class Action,4,3,Class Action,4353,1579,143,1594,3443,
71,16,Contracts & Franchise Law,32,29,Contracts & Franchise Law,703,0,0,0,703,
73,17,Computers/Software/Internet,13,12,Intellectual Property Law - Other,31,0,0,0,31,
76,18,Copyrights,13,12,Intellectual Property Law - Other,2233,628,219,1090,1448,
78,19,Corporate Governance,9,8,Corporate Law,2531,684,324,857,1754,
79,20,Corp Law,9,8,Corporate Law,11708,2328,571,3235,8967,
83,21,Dispute Resolution,5,4,Dispute Resolution,1424,0,0,0,1424,
85,22,Employment,6,5,Employment Non-Litigation,7370,3677,385,4465,3719,
86,23,Employment & Labor Relations,6,5,Employment Non-Litigation,2723,0,0,0,2723,
87,24,Energy,51,45,Energy,3700,1467,155,2002,2009,
90,25,Environmental/Natural Resources,7,6,Environmental,4590,2217,169,2531,3295,
91,26,ERISA,8,7,ERISA,4022,2146,189,2559,1660,
92,27,Fair Labor Standards Act FLSA,6,5,Employment Non-Litigation,4,0,0,0,4,
93,28,Financial Services,2,1,Banking,1422,0,14,0,1409,
96,29,General Counsel,29,27,General Counsel,4583,1207,0,1688,3380,
97,30,Healthcare,10,9,Healthcare Business,7296,3418,332,3700,5149,
103,31,Immigration,11,10,Immigration,207,0,0,0,207,
104,32,Insurance,12,11,Insurance Non-Litigation,6910,2181,268,2852,4721,
108,33,Intellectual Property,13,12,Intellectual Property Law - Other,8197,2988,375,3687,6256,
110,34,International Law,14,13,International Law,3824,1484,233,1908,2534,
111,35,International Trade,14,13,International Law,1511,601,0,862,1020,
117,36,Litigation,17,16,Litigation,15355,2284,434,3481,13393,
121,37,Mergers Acquisitions & Divestitures,35,32,Mergers & Acquisitions,6768,2213,413,2902,4748,
122,38,Municipal Law/Eminent Domain,18,17,Municipal Law,2027,986,81,897,1251,
123,39,Patents,36,33,Intellectual Property Law - Patents,5498,3096,347,3195,3338,
126,40,Products Liability,53,47,Product Liability,4424,453,137,595,4180,
129,41,Real Estate/Real Property/Land Use,19,18,Real Property Transactions,11782,4956,534,5897,7691,
130,42,Securities,20,19,Corporate Finance,3910,1063,117,1255,3369,
131,43,Securities Class Action,4,3,Class Action,706,0,44,0,664,
138,44,Tax Law,21,20,Tax Law,10404,4146,704,5951,4803,
141,45,Tort Trial & Insurance,66,60,Insurance Litigation,311,0,0,0,311,
