Jp & Jpg Data for All data.
Num Jps=,335,Num  JpGrps=,61
Jp,JpIDX,Jp Name,Jpgrp,JpgrpIDX,Jpgrp Name,# JpSeen, # JpOrderSeen,# JpOptSeen,# JpLinkSeen,# JpSourceSeen,
21,0,General HR,24,23,All-HR,5551,0,0,0,5551,
30,1,Accounting-Firm Management,26,24,Accounting All,2673,0,0,0,2673,
40,2,Accounting-Other/Unknown,26,24,Accounting All,8409,0,0,0,8409,
42,3,General/Corporate,27,25,Corporate Tax All,16699,0,0,0,16699,
50,4,Federal,27,25,Corporate Tax All,15458,1526,3174,8445,6228,
52,5,Incentives,27,25,Corporate Tax All,91,0,0,0,91,
54,6,Property / Excise,27,25,Corporate Tax All,6552,457,1408,2593,4015,
56,7,Sales/Use,27,25,Corporate Tax All,14177,2227,1994,8670,7700,
57,8,State & Local,27,25,Corporate Tax All,2583,0,0,0,2583,
58,9,State Income,27,25,Corporate Tax All,15979,2027,2407,9162,7757,
63,10,Law Firm Management,15,14,Law Firm Management,9469,64,0,714,8898,
64,11,Library/Information Services,16,15,Law Firm Librarians,898,0,0,0,898,
66,12,Antitrust,1,0,Antitrust,13500,791,570,3763,11031,
67,13,Banking,2,1,Banking,26995,1008,779,4557,23529,
68,14,Bankruptcy,3,2,Bankruptcy,34863,1674,862,7355,30747,
69,15,Class Action,4,3,Class Action,30568,1579,580,5445,27733,
71,16,Contracts & Franchise Law,32,29,Contracts & Franchise Law,6885,0,0,0,6885,
73,17,Computers/Software/Internet,13,12,Intellectual Property Law - Other,291,0,0,0,291,
76,18,Copyrights,13,12,Intellectual Property Law - Other,9905,628,709,3410,6848,
78,19,Corporate Governance,9,8,Corporate Law,11705,684,1002,2746,8569,
79,20,Corp Law,9,8,Corporate Law,81394,2328,1702,10601,73154,
83,21,Dispute Resolution,5,4,Dispute Resolution,18517,0,0,0,18517,
85,22,Employment,6,5,Employment Non-Litigation,34804,3677,1278,16600,21081,
86,23,Employment & Labor Relations,6,5,Employment Non-Litigation,24728,0,0,0,24728,
87,24,Energy,51,45,Energy,19035,1467,599,5800,14615,
90,25,Environmental/Natural Resources,7,6,Environmental,23230,2217,620,7680,18993,
91,26,ERISA,8,7,ERISA,12883,2146,681,6562,6835,
92,27,Fair Labor Standards Act FLSA,6,5,Employment Non-Litigation,33,0,0,0,33,
93,28,Financial Services,2,1,Banking,12685,0,67,0,12619,
96,29,General Counsel,29,27,General Counsel,32612,1207,0,6009,29381,
97,30,Healthcare,10,9,Healthcare Business,34805,3418,1130,10437,29918,
103,31,Immigration,11,10,Immigration,5732,0,0,0,5732,
104,32,Insurance,12,11,Insurance Non-Litigation,50697,2181,923,9975,44020,
108,33,Intellectual Property,13,12,Intellectual Property Law - Other,51493,2988,1084,11413,46017,
110,34,International Law,14,13,International Law,21034,1484,908,6334,16267,
111,35,International Trade,14,13,International Law,7066,601,0,2417,5370,
117,36,Litigation,17,16,Litigation,162468,2284,1419,13641,155905,
121,37,Mergers Acquisitions & Divestitures,35,32,Mergers & Acquisitions,37818,2213,1332,8198,32435,
122,38,Municipal Law/Eminent Domain,18,17,Municipal Law,12785,986,411,3274,10517,
123,39,Patents,36,33,Intellectual Property Law - Patents,28107,3096,1078,10526,21915,
126,40,Products Liability,53,47,Product Liability,46205,453,547,2675,45052,
129,41,Real Estate/Real Property/Land Use,19,18,Real Property Transactions,65468,4956,1636,16940,56124,
130,42,Securities,20,19,Corporate Finance,27984,1063,507,3752,25816,
131,43,Securities Class Action,4,3,Class Action,5285,0,244,0,5046,
138,44,Tax Law,21,20,Tax Law,41110,4146,2014,14742,28460,
141,45,Tort Trial & Insurance,66,60,Insurance Litigation,3537,0,0,0,3537,
143,46,Trademarks,13,12,Intellectual Property Law - Other,14827,1445,825,6287,10288,
145,47,White Collar Crime,9,8,Corporate Law,10773,14,327,112,10401,
146,48,Other/Unknown,22,21,Other/Unknown Practice Areas,25570,0,0,0,25570,
148,49,Security/Loss Prevention,28,26,All-Security,7734,0,0,0,7734,
157,50,Accounting-Accounting/Audit/Assurance,26,24,Accounting All,22247,640,665,2371,20741,
186,51,Acct-Tax,26,24,Accounting All,37279,1735,959,8103,31951,
190,52,Accounting-Valuation Services,26,24,Accounting All,9764,306,850,2260,7454,
198,53,Corporate Finance,20,19,Corporate Finance,35336,3193,1193,13126,24718,
199,54,Pharmaceutical Litigation,23,22,Pharmaceutical Litigation,5086,0,0,0,5086,
204,55,Real Estate Transaction,19,18,Real Property Transactions,4721,0,0,0,4721,
205,56,Real Estate Finance,63,57,Real Property Finance,11352,753,0,4711,7759,
207,57,Outsourcing,40,37,Outsourcing,556,0,0,0,556,
208,58,Private Equity,20,19,Corporate Finance,20374,1561,327,5307,17295,
209,59,Contracts-Government,32,29,Contracts & Franchise Law,5719,330,0,1520,4562,
210,60,Accounting-Employee Benefit Plan,26,24,Accounting All,11951,1375,1386,5490,7122,
211,61,Ethics,39,36,Ethics,6714,1017,0,4895,2480,
212,62,Regulatory-DO-NOT-KEY/UPDATE,31,28,Regulatory,14557,0,0,0,14557,
213,63,Environmental Marketing Professionals,7,6,Environmental,55,0,0,0,55,
214,64,Insurance Litigation,66,60,Insurance Litigation,63826,1568,0,8155,61355,
215,65,Accounting-Compilation & Review,26,24,Accounting All,3069,65,656,630,1876,
216,66,Accounting-Non-Profit,26,24,Accounting All,23388,3160,1690,14869,10613,
217,67,Personal Tax Law,58,52,Personal Tax,42885,41,0,214,42769,
218,68,Education Law,33,30,Education Law,4589,0,0,0,4589,
219,69,Legal All,34,31,Legal All,943,0,0,0,943,
220,70,Accounting-Individual Tax,26,24,Accounting All,6586,26,788,128,5690,
221,71,IP Litigation,13,12,Intellectual Property Law - Other,19639,35,0,150,19546,
222,72,Contracts,32,29,Contracts & Franchise Law,33770,2456,1715,8182,25514,
223,73,Franchise,32,29,Contracts & Franchise Law,1611,0,32,0,1580,
224,74,Employment Litigation,64,58,Employment Litigation,45201,1413,0,7819,41770,
