Jp & Jpg Data for Product data.
Num Jps=,214,Num  JpGrps=,47
Jp,JpIDX,Jp Name,Jpgrp,JpgrpIDX,Jpgrp Name,# JpSeen, # JpOrderSeen,# JpOptSeen,# JpLinkSeen,# JpSourceSeen,
50,0,Federal,27,19,Corporate Tax All,80,0,0,0,0,
54,1,Property / Excise,27,19,Corporate Tax All,30,0,0,0,0,
56,2,Sales/Use,27,19,Corporate Tax All,123,0,0,0,0,
58,3,State Income,27,19,Corporate Tax All,112,0,0,0,0,
63,4,Law Firm Management,15,12,Law Firm Management,9,0,0,0,0,
66,5,Antitrust,1,0,Antitrust,98,0,0,0,0,
67,6,Banking,2,1,Banking,71,0,0,0,0,
68,7,Bankruptcy,3,2,Bankruptcy,120,0,0,0,0,
69,8,Class Action,4,3,Class Action,149,0,0,0,0,
76,9,Copyrights,13,10,Intellectual Property Law - Other,34,0,0,0,0,
78,10,Corporate Governance,9,7,Corporate Law,35,0,0,0,0,
79,11,Corp Law,9,7,Corporate Law,150,0,0,0,0,
85,12,Employment,6,4,Employment Non-Litigation,268,0,0,0,0,
87,13,Energy,51,32,Energy,108,0,0,0,0,
90,14,Environmental/Natural Resources,7,5,Environmental,176,0,0,0,0,
91,15,ERISA,8,6,ERISA,142,0,0,0,0,
96,16,General Counsel,29,20,General Counsel,55,0,0,0,0,
97,17,Healthcare,10,8,Healthcare Business,248,0,0,0,0,
104,18,Insurance,12,9,Insurance Non-Litigation,143,0,0,0,0,
108,19,Intellectual Property,13,10,Intellectual Property Law - Other,191,0,0,0,0,
110,20,International Law,14,11,International Law,121,0,0,0,0,
111,21,International Trade,14,11,International Law,35,0,0,0,0,
117,22,Litigation,17,13,Litigation,157,0,0,0,0,
121,23,Mergers Acquisitions & Divestitures,35,22,Mergers & Acquisitions,121,0,0,0,0,
122,24,Municipal Law/Eminent Domain,18,14,Municipal Law,65,0,0,0,0,
123,25,Patents,36,23,Intellectual Property Law - Patents,212,0,0,0,0,
126,26,Products Liability,53,34,Product Liability,36,0,0,0,0,
129,27,Real Estate/Real Property/Land Use,19,15,Real Property Transactions,270,0,0,0,0,
130,28,Securities,20,16,Corporate Finance,61,0,0,0,0,
138,29,Tax Law,21,17,Tax Law,181,0,0,0,0,
143,30,Trademarks,13,10,Intellectual Property Law - Other,68,0,0,0,0,
145,31,White Collar Crime,9,7,Corporate Law,2,0,0,0,0,
157,32,Accounting-Accounting/Audit/Assurance,26,18,Accounting All,36,0,0,0,0,
186,33,Acct-Tax,26,18,Accounting All,72,0,0,0,0,
190,34,Accounting-Valuation Services,26,18,Accounting All,27,0,0,0,0,
198,35,Corporate Finance,20,16,Corporate Finance,176,0,0,0,0,
205,36,Real Estate Finance,63,43,Real Property Finance,25,0,0,0,0,
208,37,Private Equity,20,16,Corporate Finance,81,0,0,0,0,
209,38,Contracts-Government,32,21,Contracts & Franchise Law,18,0,0,0,0,
210,39,Accounting-Employee Benefit Plan,26,18,Accounting All,64,0,0,0,0,
211,40,Ethics,39,25,Ethics,47,0,0,0,0,
214,41,Insurance Litigation,66,46,Insurance Litigation,88,0,0,0,0,
215,42,Accounting-Compilation & Review,26,18,Accounting All,7,0,0,0,0,
216,43,Accounting-Non-Profit,26,18,Accounting All,124,0,0,0,0,
217,44,Personal Tax Law,58,39,Personal Tax,2,0,0,0,0,
220,45,Accounting-Individual Tax,26,18,Accounting All,3,0,0,0,0,
221,46,IP Litigation,13,10,Intellectual Property Law - Other,7,0,0,0,0,
222,47,Contracts,32,21,Contracts & Franchise Law,130,0,0,0,0,
224,48,Employment Litigation,64,44,Employment Litigation,60,0,0,0,0,
225,49,Patent Litigation,36,23,Intellectual Property Law - Patents,71,0,0,0,0,
226,50,Healthcare Litigation,65,45,Healthcare Compliance,20,0,0,0,0,
227,51,Securities Litigation,20,16,Corporate Finance,3,0,0,0,0,
229,52,Environmental Litigation,7,5,Environmental,51,0,0,0,0,
232,53,ERISA Litigation,8,6,ERISA,47,0,0,0,0,
233,54,Banking Litigation,2,1,Banking,36,0,0,0,0,
234,55,Bankruptcy Litigation,3,2,Bankruptcy,13,0,0,0,0,
235,56,Copyrights Litigation,13,10,Intellectual Property Law - Other,1,0,0,0,0,
236,57,Trademarks Litigation,13,10,Intellectual Property Law - Other,17,0,0,0,0,
237,58,Antitrust Litigation,1,0,Antitrust,9,0,0,0,0,
238,59,Corp Finance Litigation,20,16,Corporate Finance,1,0,0,0,0,
240,60,Corporate Litigation,9,7,Corporate Law,2,0,0,0,0,
241,61,International Litigation,14,11,International Law,1,0,0,0,0,
242,62,Tax Law-Litigation,21,17,Tax Law,3,0,0,0,0,
243,63,Family Law,38,24,Family Law,107,0,0,0,0,
244,64,Tax Law-Non-Profit,21,17,Tax Law,5,0,0,0,0,
246,65,M&A Litigation,35,22,Mergers & Acquisitions,5,0,0,0,0,
247,66,Accounting-Accounting Only,26,18,Accounting All,8,0,0,0,0,
248,67,Accounting-Audit/Assurance Only,26,18,Accounting All,44,0,0,0,0,
250,68,Energy-Finance,51,32,Energy,11,0,0,0,0,
252,69,Elder Law,41,26,Elder Law,64,0,0,0,0,
253,70,M&A Finance,35,22,Mergers & Acquisitions,1,0,0,0,0,
255,71,Estate Planning,42,27,Estate Planning,174,0,0,0,0,
256,72,Tax Law-Real Property,21,17,Tax Law,12,0,0,0,0,
257,73,Entertainment/Sports/Media,13,10,Intellectual Property Law - Other,1,0,0,0,0,
259,74,Science/Technology,13,10,Intellectual Property Law - Other,6,0,0,0,0,
260,75,Lawyering Skills,47,28,Lawyering Skills,3,0,0,0,0,
261,76,Bankruptcy-Real Property,3,2,Bankruptcy,8,0,0,0,0,
262,77,Estate Planning-Trusts & Estates,42,27,Estate Planning,123,0,0,0,0,
263,78,Estate Planning-Wills & Probate,42,27,Estate Planning,10,0,0,0,0,
265,79,Construction Law,48,29,Construction Law,53,0,0,0,0,
266,80,Appellate Practice,49,30,Appellate Practice,26,0,0,0,0,
267,81,Criminal Law,50,31,Criminal Law,5,0,0,0,0,
269,82,Personal Injury,52,33,Personal Injury,108,0,0,0,0,
276,83,ERISA-Executive Compensation,8,6,ERISA,53,0,0,0,0,
277,84,ERISA-Employee Benefits,8,6,ERISA,21,0,0,0,0,
278,85,Estate Planning-Tax,42,27,Estate Planning,71,0,0,0,0,
279,86,Professional Liability,54,35,Professional Liability,9,0,0,0,0,
280,87,Medical Malpractice,55,36,Medical Malpractice,25,0,0,0,0,
281,88,Workers Compensation,56,37,Workers Compensation,15,0,0,0,0,
282,89,Acct Tax-Federal Tax,57,38,Accounting/Tax,2,0,0,0,0,
