Product ID : 993 # of JPs covered : 1 : 210 : Accounting-Employee Benefit Plan, 
us_000532161,1.000000, 1.794890
us_000507161,1.000000, 1.794987
us_000538825,1.000000, 1.801252
us_000519953,1.000000, 1.801252
us_000538720,1.000000, 1.807662
us_000506205,1.000000, 1.919845
us_000468291,1.000000, 2.024984
pr_000557693,0.976058, 0.000000
us_000486195,0.976058, 0.000000
pr_001158210,0.976058, 0.000000
us_000500670,0.976058, 0.000000
us_000586355,0.976058, 0.000000
pr_001873462,0.976058, 0.000000
us_000530774,0.976058, 0.000001
us_000544548,0.976058, 0.000001
us_000545809,0.976058, 0.000001
pr_001873335,0.976058, 0.000001
pr_002050689,0.976058, 0.000001
us_000460986,0.976058, 0.000009
pr_001778745,0.976058, 0.000013
pr_000005246,0.976058, 0.000027
us_000533237,0.976058, 0.000030
us_000531145,0.976058, 0.000399
us_000470655,0.976058, 0.000411
us_000539395,0.976058, 0.006789
us_000537988,0.976058, 0.025486
us_000518919,0.976058, 1.174891
pr_000514031,0.743473, 0.000000
pr_001044744,0.743473, 0.000000
pr_000566198,0.743473, 0.000000
pr_001028448,0.743473, 0.000003
us_000471987,0.743473, 0.000004
pr_001065550,0.743473, 0.000005
pr_001999652,0.743473, 0.000024
pr_000962129,0.743473, 0.000027
us_000573803,0.743473, 0.000075
us_000579840,0.743473, 0.000192
pr_001785138,0.743473, 0.000224
pr_001049181,0.743473, 0.000231
pr_002137395,0.743473, 0.000281
pr_000829246,0.743473, 0.000354
pr_001148639,0.743473, 0.000446
pr_000570095,0.743473, 0.000898
pr_001891988,0.743473, 0.001059
pr_000817726,0.743473, 0.001235
pr_001147179,0.743473, 0.001617
us_000484050,0.743473, 0.005344
us_000573849,0.743473, 0.021120
us_000025508,0.743473, 0.107546
us_000217292,0.743473, 0.297111
us_000022324,0.743473, 0.319710
us_000565160,0.743473, 0.324810
us_000459429,0.743473, 0.340431
us_000469506,0.743473, 0.340724
us_000529743,0.743473, 0.344354
us_000530093,0.743473, 0.350315
us_000004320,0.743473, 0.352344
us_000597661,0.743473, 0.362757
us_000533886,0.743473, 0.365765
us_000555576,0.743473, 0.365939
us_000460204,0.743473, 0.374177
us_000564604,0.743473, 0.376952
us_000000642,0.743473, 0.380033
us_000533927,0.743473, 0.380033
us_000468937,0.743473, 0.381494
us_000500277,0.743473, 0.388990
us_000548713,0.743473, 0.390445
us_000564774,0.743473, 0.392837
us_000554974,0.743473, 0.394883
us_000030767,0.743473, 0.407836
us_000555467,0.743473, 0.550705
us_000458621,0.743473, 0.811163
us_000565291,0.692936, 0.000000
us_000548257,0.692936, 0.000000
us_000524983,0.692936, 0.000000
us_000557222,0.692936, 0.000000
pr_001010683,0.692936, 0.000000
pr_001156460,0.692936, 0.000001
pr_000567343,0.692936, 0.000008
pr_001800896,0.692936, 0.000009
pr_001853625,0.692936, 0.000009
pr_001151113,0.692936, 0.000009
us_000548287,0.692936, 0.000013
pr_000821528,0.692936, 0.000045
us_000581687,0.692936, 0.000053
us_000532159,0.692936, 0.000053
us_000529802,0.692936, 0.000053
us_000529739,0.692936, 0.000053
pr_001149991,0.692936, 0.000203
pr_000817401,0.692936, 0.000612
pr_001149038,0.692936, 0.000738
pr_000641905,0.692936, 0.000855
pr_002108777,0.692936, 0.001038
pr_001155518,0.692936, 0.001147
pr_001156981,0.692936, 0.001199
pr_001110591,0.692936, 0.001252
pr_001781199,0.692936, 0.001681
pr_001804783,0.692936, 0.001944
pr_001671930,0.692936, 0.002266
pr_001159047,0.692936, 0.002951
us_000482787,0.692936, 0.007802
us_000512542,0.692936, 0.220936
us_000215448,0.692936, 0.237192
us_000520246,0.692936, 0.238081
us_000537900,0.692936, 0.244162
us_000553272,0.692936, 0.265957
us_000476410,0.692936, 0.269037
us_000480242,0.692936, 0.272619
us_000535136,0.692936, 0.277212
us_000229265,0.692936, 0.281347
us_000460509,0.692936, 0.285505
us_000521878,0.692936, 0.286421
us_000523765,0.692936, 0.286521
us_000480965,0.692936, 0.286737
us_000464791,0.692936, 0.286940
us_000459330,0.692936, 0.287551
us_000460347,0.692936, 0.288701
us_000005271,0.692936, 0.289559
us_000569851,0.692936, 0.291517
us_000520087,0.692936, 0.291759
us_000458721,0.692936, 0.293322
us_000460063,0.692936, 0.295490
us_000581657,0.692936, 0.296484
us_000542233,0.692936, 0.296548
us_000597928,0.692936, 0.297183
us_000492250,0.692936, 0.297727
us_000529668,0.692936, 0.298644
us_000385500,0.692936, 0.305034
us_000581581,0.692936, 0.307461
us_000464496,0.692936, 0.311065
us_000468675,0.692936, 0.315494
us_000463717,0.692936, 0.316066
us_000468632,0.692936, 0.316359
us_000528625,0.692936, 0.316483
us_000342822,0.692936, 0.318510
us_000503737,0.692936, 0.319246
us_000033227,0.692936, 0.320996
us_000460259,0.692936, 0.321834
us_000493285,0.692936, 0.322099
us_000570341,0.692936, 0.322309
us_000529612,0.692936, 0.322380
us_000480459,0.692936, 0.323245
us_000528379,0.692936, 0.325145
us_000393738,0.692936, 0.326762
us_000484212,0.692936, 0.327914
us_000596633,0.692936, 0.330895
us_000533852,0.692936, 0.333926
us_000548700,0.692936, 0.333926
us_000548711,0.692936, 0.337006
us_000528709,0.692936, 0.337006
us_000481278,0.692936, 0.337006
us_000465224,0.692936, 0.337006
us_000580449,0.692936, 0.337006
us_000528710,0.692936, 0.337006
us_000549660,0.692936, 0.337006
us_000529780,0.692936, 0.337006
us_000569109,0.692936, 0.340136
us_000520770,0.692936, 0.340136
us_000549623,0.692936, 0.340136
us_000577964,0.692936, 0.340136
us_000539283,0.692936, 0.340136
us_000039336,0.692936, 0.340136
us_000521034,0.692936, 0.340136
us_000479776,0.692936, 0.340136
us_000463347,0.692936, 0.340136
us_000521204,0.692936, 0.340136
us_000528272,0.692936, 0.340136
us_000479595,0.692936, 0.340136
us_000479968,0.692936, 0.340136
us_000580284,0.692936, 0.340136
us_000481215,0.692936, 0.340136
us_000519372,0.692936, 0.340136
us_000528775,0.692936, 0.340136
us_000471308,0.692936, 0.341877
us_000458720,0.692936, 0.342203
us_000493267,0.692936, 0.344357
us_000467210,0.692936, 0.345451
us_000491635,0.692936, 0.348085
us_000501912,0.692936, 0.348454
us_000570525,0.692936, 0.350532
us_000561902,0.692936, 0.350895
us_000528901,0.692936, 0.355139
us_000472491,0.692936, 0.355312
us_000562844,0.692936, 0.355602
us_000273311,0.692936, 0.356528
us_000396441,0.692936, 0.357606
us_000476107,0.692936, 0.357660
us_000575888,0.692936, 0.358633
us_000575918,0.692936, 0.359877
us_000553321,0.692936, 0.359955
us_000513552,0.692936, 0.364733
us_000569787,0.692936, 0.366957
us_000539506,0.692936, 0.369805
us_000484332,0.692936, 0.373522
us_000216059,0.692936, 0.375482
us_000570250,0.692936, 0.376863
us_000471423,0.692936, 0.384813
us_000564764,0.692936, 0.399671
us_000471461,0.692936, 0.411127
us_000469227,0.692936, 0.419446
us_000557469,0.692936, 0.419738
us_000477641,0.692936, 0.479437
us_000566829,0.692936, 0.505254
us_000591730,0.692936, 0.540187
us_000520168,0.692936, 0.553860
us_000383068,0.692936, 0.601184
us_000335867,0.692936, 0.627101
us_000461090,0.692936, 0.722430
us_000038556,0.692936, 0.770996
us_000334675,0.692936, 1.029064
us_000472137,0.648726, 0.000000
us_000470407,0.648726, 0.000000
pr_000178245,0.648726, 0.000000
pr_001635810,0.648726, 0.000000
pr_002060275,0.648726, 0.000000
pr_001943019,0.648726, 0.000000
pr_001977168,0.648726, 0.000000
pr_001731159,0.648726, 0.000000
pr_001080479,0.648726, 0.000000
pr_000710202,0.648726, 0.000000
pr_001119532,0.648726, 0.000000
pr_002115524,0.648726, 0.000000
pr_000912871,0.648726, 0.000000
pr_000277752,0.648726, 0.000000
pr_001850075,0.648726, 0.000000
pr_000901071,0.648726, 0.000000
pr_002083970,0.648726, 0.000000
pr_001846662,0.648726, 0.000000
pr_001009089,0.648726, 0.000000
pr_001123510,0.648726, 0.000000
pr_000206178,0.648726, 0.000000
pr_000976427,0.648726, 0.000000
pr_000812348,0.648726, 0.000000
pr_000916847,0.648726, 0.000000
pr_000698706,0.648726, 0.000000
pr_002114053,0.648726, 0.000000
pr_001079751,0.648726, 0.000000
pr_000979513,0.648726, 0.000000
pr_000630082,0.648726, 0.000000
pr_001905540,0.648726, 0.000000
pr_001111859,0.648726, 0.000000
pr_001074149,0.648726, 0.000000
pr_000210585,0.648726, 0.000000
pr_000214088,0.648726, 0.000000
pr_002115616,0.648726, 0.000000
pr_001057897,0.648726, 0.000000
pr_000850884,0.648726, 0.000000
pr_001082543,0.648726, 0.000000
pr_002104175,0.648726, 0.000000
pr_000761847,0.648726, 0.000000
pr_001856676,0.648726, 0.000000
pr_000382562,0.648726, 0.000000
pr_001965817,0.648726, 0.000000
pr_002113841,0.648726, 0.000000
pr_000180878,0.648726, 0.000000
pr_000714673,0.648726, 0.000000
pr_001058214,0.648726, 0.000000
pr_002225249,0.648726, 0.000000
pr_000928672,0.648726, 0.000000
pr_001845964,0.648726, 0.000000
pr_002134307,0.648726, 0.000000
pr_001856616,0.648726, 0.000000
pr_000241491,0.648726, 0.000000
pr_000903494,0.648726, 0.000000
pr_001873984,0.648726, 0.000000
pr_002104198,0.648726, 0.000000
pr_001896265,0.648726, 0.000000
pr_001154161,0.648726, 0.000000
pr_001083896,0.648726, 0.000000
pr_001897527,0.648726, 0.000000
pr_000744523,0.648726, 0.000000
pr_001847102,0.648726, 0.000000
pr_002203741,0.648726, 0.000000
pr_001627914,0.648726, 0.000000
pr_000276686,0.648726, 0.000000
pr_001002993,0.648726, 0.000000
pr_000900256,0.648726, 0.000000
pr_001025712,0.648726, 0.000000
pr_001847101,0.648726, 0.000000
pr_000931426,0.648726, 0.000000
pr_001983667,0.648726, 0.000000
pr_000447100,0.648726, 0.000000
pr_002098346,0.648726, 0.000000
pr_001636074,0.648726, 0.000000
pr_001074482,0.648726, 0.000000
pr_000167998,0.648726, 0.000000
pr_002225292,0.648726, 0.000000
pr_000340124,0.648726, 0.000000
pr_002222188,0.648726, 0.000000
pr_000918560,0.648726, 0.000000
pr_000443537,0.648726, 0.000000
pr_001083469,0.648726, 0.000000
pr_001897583,0.648726, 0.000000
pr_002224276,0.648726, 0.000000
pr_001967704,0.648726, 0.000000
pr_000777777,0.648726, 0.000000
pr_002115540,0.648726, 0.000000
pr_001906003,0.648726, 0.000000
pr_000701159,0.648726, 0.000000
pr_001845788,0.648726, 0.000000
pr_001897131,0.648726, 0.000000
pr_000174912,0.648726, 0.000000
pr_001079975,0.648726, 0.000000
pr_000963378,0.648726, 0.000000
pr_000756843,0.648726, 0.000000
pr_002132879,0.648726, 0.000000
pr_001858534,0.648726, 0.000000
pr_001082366,0.648726, 0.000000
pr_001686440,0.648726, 0.000000
pr_002068520,0.648726, 0.000000
pr_000926632,0.648726, 0.000000
pr_002104902,0.648726, 0.000000
pr_001081959,0.648726, 0.000000
pr_002108651,0.648726, 0.000000
pr_001729099,0.648726, 0.000000
pr_000955529,0.648726, 0.000000
pr_001114921,0.648726, 0.000000
pr_000765313,0.648726, 0.000000
pr_000667739,0.648726, 0.000000
pr_001930294,0.648726, 0.000000
pr_002224335,0.648726, 0.000000
pr_002189758,0.648726, 0.000000
pr_002075349,0.648726, 0.000000
pr_002103066,0.648726, 0.000000
pr_001633122,0.648726, 0.000000
pr_002224416,0.648726, 0.000000
pr_000225943,0.648726, 0.000000
pr_002202258,0.648726, 0.000000
pr_002225300,0.648726, 0.000000
pr_002074351,0.648726, 0.000000
pr_001848338,0.648726, 0.000000
pr_000810490,0.648726, 0.000000
pr_002225284,0.648726, 0.000000
pr_001897037,0.648726, 0.000000
pr_001709275,0.648726, 0.000000
pr_002227116,0.648726, 0.000000
pr_001080741,0.648726, 0.000000
pr_002115544,0.648726, 0.000000
pr_000896956,0.648726, 0.000000
pr_001711819,0.648726, 0.000000
pr_001981743,0.648726, 0.000000
pr_002136052,0.648726, 0.000000
pr_001847818,0.648726, 0.000000
pr_000292195,0.648726, 0.000000
pr_000732720,0.648726, 0.000000
pr_000285241,0.648726, 0.000000
pr_001116635,0.648726, 0.000000
pr_002066238,0.648726, 0.000000
pr_001960213,0.648726, 0.000000
pr_000298459,0.648726, 0.000000
pr_000722121,0.648726, 0.000000
pr_001845892,0.648726, 0.000000
pr_002178652,0.648726, 0.000000
pr_001104093,0.648726, 0.000000
pr_001166572,0.648726, 0.000000
pr_001959282,0.648726, 0.000000
pr_002236687,0.648726, 0.000000
pr_002186563,0.648726, 0.000000
pr_002075748,0.648726, 0.000000
pr_000939877,0.648726, 0.000000
pr_000708852,0.648726, 0.000000
pr_001019718,0.648726, 0.000000
pr_001879973,0.648726, 0.000000
us_000466702,0.648726, 0.000000
us_000525893,0.648726, 0.000000
us_000459442,0.648726, 0.000000
us_000580676,0.648726, 0.000000
pr_001083587,0.648726, 0.000013
pr_001034682,0.648726, 0.000145
pr_001159038,0.648726, 0.000178
pr_001044237,0.648726, 0.000230
pr_001033428,0.648726, 0.000528
us_000305341,0.648726, 0.003015
us_000533518,0.648726, 0.009758
pr_002126831,0.547280, 0.000000
pr_001879494,0.547280, 0.000000
pr_000730510,0.547280, 0.000000
pr_001904299,0.547280, 0.000001
pr_000654758,0.547280, 0.000001
pr_001096769,0.547280, 0.000001
pr_000628707,0.547280, 0.000001
pr_001691300,0.547280, 0.000001
pr_000558091,0.547280, 0.000001
pr_001163295,0.547280, 0.000001
pr_001087552,0.547280, 0.000001
pr_001394728,0.547280, 0.000001
pr_001394633,0.547280, 0.000001
pr_001159346,0.547280, 0.000001
pr_001126287,0.547280, 0.000001
pr_000561116,0.547280, 0.000001
pr_001616113,0.547280, 0.000001
pr_000560735,0.547280, 0.000001
pr_001115731,0.547280, 0.000001
pr_001855211,0.547280, 0.000001
pr_001161539,0.547280, 0.000001
pr_001680478,0.547280, 0.000001
pr_001124861,0.547280, 0.000001
pr_001394600,0.547280, 0.000001
pr_001905437,0.547280, 0.000001
pr_001590706,0.547280, 0.000001
pr_001678496,0.547280, 0.000001
pr_001093786,0.547280, 0.000001
pr_001949966,0.547280, 0.000001
pr_001676774,0.547280, 0.000001
pr_000569837,0.547280, 0.000342
pr_001155677,0.547280, 0.000471
us_000460654,0.547280, 0.191647
us_000460056,0.547280, 0.195860
us_000479569,0.547280, 0.218684
us_000463633,0.547280, 0.220912
us_000473890,0.547280, 0.226895
us_000503453,0.547280, 0.250948
us_000492041,0.547280, 0.263725
us_000551745,0.547280, 0.264529
us_000500384,0.547280, 0.271636
us_000386038,0.547280, 0.278972
us_000569865,0.547280, 0.280770
us_000566910,0.547280, 0.286714
us_000253881,0.547280, 0.304540
us_000570503,0.547280, 0.308389
us_000463411,0.547280, 0.309866
us_000465414,0.547280, 0.310923
us_000460723,0.547280, 0.311959
us_000490516,0.547280, 0.313342
us_000557395,0.547280, 0.314224
us_000501344,0.547280, 0.316504
us_000593532,0.547280, 0.318400
us_000576704,0.547280, 0.320465
us_000490378,0.547280, 0.321058
us_000464921,0.547280, 0.321909
us_000298120,0.547280, 0.327141
us_000522580,0.547280, 0.330647
us_000460245,0.547280, 0.332179
us_000541127,0.547280, 0.335247
us_000506326,0.547280, 0.335434
us_000538486,0.547280, 0.336274
us_000458642,0.547280, 0.336556
us_000541125,0.547280, 0.337074
us_000549587,0.547280, 0.337746
us_000501840,0.547280, 0.338721
us_000319428,0.547280, 0.339792
us_000502048,0.547280, 0.339796
us_000511566,0.547280, 0.340279
us_000350034,0.547280, 0.340279
us_000458813,0.547280, 0.340279
us_000536556,0.547280, 0.340382
us_000472442,0.547280, 0.340524
us_000472584,0.547280, 0.341297
us_000552106,0.547280, 0.343084
us_000549240,0.547280, 0.343918
us_000485064,0.547280, 0.344211
us_000563145,0.547280, 0.344879
us_000397051,0.547280, 0.346321
us_000344862,0.547280, 0.353674
us_000464750,0.547280, 0.355384
us_000472736,0.547280, 0.357077
us_000539648,0.547280, 0.357101
us_000491723,0.547280, 0.357101
us_000463368,0.547280, 0.357101
us_000458451,0.547280, 0.358237
us_000517406,0.547280, 0.358826
us_000530134,0.547280, 0.358826
us_000524832,0.547280, 0.359095
us_000534108,0.547280, 0.359444
us_000478389,0.547280, 0.362179
us_000574387,0.547280, 0.362979
us_000468504,0.547280, 0.363440
us_000529784,0.547280, 0.363440
us_000463358,0.547280, 0.363818
us_000493245,0.547280, 0.364759
us_000538410,0.547280, 0.364759
us_000496121,0.547280, 0.365804
us_000538310,0.547280, 0.366135
us_000552069,0.547280, 0.366546
us_000434636,0.547280, 0.366705
us_000496004,0.547280, 0.367568
us_000582626,0.547280, 0.367914
us_000550442,0.547280, 0.368341
us_000587339,0.547280, 0.368658
us_000269507,0.547280, 0.371340
us_000460505,0.547280, 0.371497
us_000516969,0.547280, 0.371497
us_000492959,0.547280, 0.371497
us_000529723,0.547280, 0.371863
us_000245391,0.547280, 0.373352
us_000529724,0.547280, 0.373658
us_000472686,0.547280, 0.373658
us_000472622,0.547280, 0.413731
us_000442757,0.547280, 0.434797
pr_000590672,0.437233, 0.000000
pr_001625297,0.437233, 0.000011
us_000339013,0.437233, 0.000064
us_000491824,0.437233, 0.000254
us_000479359,0.437233, 0.000298
us_000601118,0.437233, 0.000877
pr_001796595,0.437233, 0.001040
us_000470960,0.437233, 0.002106
us_000492668,0.437233, 0.005275
us_000468153,0.437233, 0.006399
pr_001780735,0.437233, 0.008934
us_000476183,0.437233, 0.010661
us_000473062,0.437233, 0.032186
us_000509853,0.437233, 0.124416
us_000520905,0.437233, 0.127188
us_000468951,0.437233, 0.130644
us_000575424,0.437233, 0.131332
us_000460508,0.437233, 0.133558
us_000464553,0.437233, 0.135073
us_000470663,0.437233, 0.136016
us_000536622,0.437233, 0.136216
us_000483677,0.437233, 0.137494
us_000502112,0.437233, 0.138013
us_000554756,0.437233, 0.138668
us_000534112,0.437233, 0.140086
us_000500344,0.437233, 0.140706
us_000582666,0.437233, 0.141088
us_000488593,0.437233, 0.143697
us_000498211,0.437233, 0.143814
us_000489111,0.437233, 0.144600
us_000483964,0.437233, 0.144600
us_000541142,0.437233, 0.144600
us_000473079,0.437233, 0.144765
us_000273404,0.437233, 0.144765
us_000525711,0.437233, 0.145234
us_000483832,0.437233, 0.145327
us_000463068,0.437233, 0.145335
us_000501018,0.437233, 0.145335
us_000491845,0.437233, 0.145335
us_000582319,0.437233, 0.145335
us_000530264,0.437233, 0.145335
us_000580008,0.437233, 0.145335
us_000502286,0.437233, 0.145431
us_000468496,0.437233, 0.145466
us_000487478,0.437233, 0.146006
us_000525988,0.437233, 0.146077
us_000550435,0.437233, 0.146077
us_000549747,0.437233, 0.146077
us_000597539,0.437233, 0.146077
us_000531601,0.437233, 0.146077
us_000530013,0.437233, 0.146077
us_000493292,0.437233, 0.146077
us_000582422,0.437233, 0.146077
us_000486599,0.437233, 0.146077
us_000554560,0.437233, 0.146077
us_000500219,0.437233, 0.146077
us_000490074,0.437233, 0.146077
us_000574034,0.437233, 0.146077
us_000496654,0.437233, 0.146077
us_000551413,0.437233, 0.146077
us_000527695,0.437233, 0.146077
us_000569731,0.437233, 0.146077
us_000441535,0.437233, 0.146077
us_000463535,0.437233, 0.146143
us_000550425,0.437233, 0.146475
us_000552351,0.437233, 0.146494
us_000574329,0.437233, 0.146591
us_000584532,0.437233, 0.146977
us_000534087,0.437233, 0.146977
us_000235625,0.437233, 0.146977
us_000587353,0.437233, 0.146977
us_000205879,0.437233, 0.146977
us_000553211,0.437233, 0.146977
us_000507183,0.437233, 0.148889
us_000538608,0.437233, 0.148895
us_000491633,0.437233, 0.148935
us_000547854,0.437233, 0.149091
us_000583301,0.437233, 0.149091
us_000582430,0.437233, 0.149091
us_000569732,0.437233, 0.149091
us_000502068,0.437233, 0.149091
us_000547864,0.437233, 0.149091
us_000520442,0.437233, 0.149091
us_000493234,0.437233, 0.149091
us_000535206,0.437233, 0.149091
us_000468028,0.437233, 0.149091
us_000547896,0.437233, 0.149091
us_000547676,0.437233, 0.149455
us_000468897,0.437233, 0.149881
us_000491846,0.437233, 0.149906
us_000481230,0.437233, 0.150085
us_000228692,0.437233, 0.150420
us_000502372,0.437233, 0.151321
us_000547353,0.437233, 0.151321
us_000560905,0.437233, 0.151652
us_000467429,0.437233, 0.151836
us_000534120,0.437233, 0.152297
us_000501792,0.437233, 0.152297
us_000028258,0.437233, 0.152387
us_000494590,0.437233, 0.152417
us_000496672,0.437233, 0.152444
us_000547423,0.437233, 0.153110
us_000563256,0.437233, 0.153110
us_000582517,0.437233, 0.153110
us_000552304,0.437233, 0.153110
us_000553080,0.437233, 0.153344
us_000565871,0.437233, 0.153468
us_000531737,0.437233, 0.153930
us_000547268,0.437233, 0.153930
us_000497162,0.437233, 0.153930
us_000525987,0.437233, 0.153930
us_000486505,0.437233, 0.154101
us_000535207,0.437233, 0.154890
us_000581063,0.437233, 0.154901
us_000423618,0.437233, 0.156619
us_000489950,0.437233, 0.156904
us_000521159,0.437233, 0.157551
us_000496754,0.437233, 0.157886
us_000535156,0.437233, 0.158042
us_000502435,0.437233, 0.158042
us_000533438,0.437233, 0.158042
us_000534055,0.437233, 0.158042
us_000531663,0.437233, 0.158115
us_000578928,0.437233, 0.159129
us_000465474,0.437233, 0.159370
us_000563498,0.437233, 0.159422
us_000468681,0.437233, 0.160011
us_000495882,0.437233, 0.160043
us_000422031,0.437233, 0.160111
us_000549650,0.437233, 0.160403
us_000566606,0.437233, 0.160403
us_000463350,0.437233, 0.160403
us_000501125,0.437233, 0.160403
us_000493262,0.437233, 0.160403
us_000586340,0.437233, 0.160850
us_000545189,0.437233, 0.161278
us_000464899,0.437233, 0.162620
us_000463864,0.437233, 0.162709
us_000470275,0.437233, 0.162720
us_000469704,0.437233, 0.162720
us_000499888,0.437233, 0.162720
us_000415527,0.437233, 0.162720
us_000460200,0.437233, 0.162720
us_000478422,0.437233, 0.162814
us_000546841,0.437233, 0.162814
us_000519816,0.437233, 0.162814
us_000478420,0.437233, 0.162814
us_000547033,0.437233, 0.162814
us_000547023,0.437233, 0.162814
us_000578254,0.437233, 0.162814
us_000484187,0.437233, 0.162814
us_000546571,0.437233, 0.162814
us_000561985,0.437233, 0.162834
us_000469706,0.437233, 0.162979
us_000242711,0.437233, 0.163065
us_000525689,0.437233, 0.163088
us_000579715,0.437233, 0.163262
us_000466552,0.437233, 0.163459
us_000468055,0.437233, 0.163549
us_000388685,0.437233, 0.164175
us_000464337,0.437233, 0.164297
us_000463159,0.437233, 0.164297
us_000511936,0.437233, 0.164326
us_000465382,0.437233, 0.164462
us_000532219,0.437233, 0.165101
us_000553309,0.437233, 0.165275
us_000539480,0.437233, 0.165275
us_000535121,0.437233, 0.165275
us_000549277,0.437233, 0.165275
us_000586155,0.437233, 0.165275
us_000500402,0.437233, 0.165275
us_000532178,0.437233, 0.165275
us_000535120,0.437233, 0.165275
us_000493329,0.437233, 0.165275
us_000500413,0.437233, 0.165275
us_000500469,0.437233, 0.165275
us_000596421,0.437233, 0.165275
us_000493994,0.437233, 0.165275
us_000587265,0.437233, 0.165275
us_000532241,0.437233, 0.165275
us_000587273,0.437233, 0.165275
us_000539344,0.437233, 0.165500
us_000467541,0.437233, 0.165769
us_000460776,0.437233, 0.165827
us_000415935,0.437233, 0.165869
us_000509693,0.437233, 0.166584
us_000532213,0.437233, 0.167071
us_000484923,0.437233, 0.167785
us_000491657,0.437233, 0.167785
us_000545300,0.437233, 0.167785
us_000493314,0.437233, 0.167785
us_000532681,0.437233, 0.167785
us_000548702,0.437233, 0.167785
us_000566691,0.437233, 0.167785
us_000465461,0.437233, 0.167785
us_000532739,0.437233, 0.167785
us_000569853,0.437233, 0.167785
us_000521165,0.437233, 0.167785
us_000538983,0.437233, 0.167785
us_000478481,0.437233, 0.167785
us_000565724,0.437233, 0.167785
us_000465436,0.437233, 0.167785
us_000539644,0.437233, 0.167785
us_000566819,0.437233, 0.167785
us_000570500,0.437233, 0.167785
us_000464998,0.437233, 0.167785
us_000532602,0.437233, 0.167785
us_000539627,0.437233, 0.167785
us_000585683,0.437233, 0.167785
us_000468812,0.437233, 0.167785
us_000468805,0.437233, 0.167785
us_000550439,0.437233, 0.167785
us_000530350,0.437233, 0.167785
us_000520539,0.437233, 0.167785
us_000546578,0.437233, 0.167785
us_000548709,0.437233, 0.167785
us_000566820,0.437233, 0.167785
us_000047362,0.437233, 0.167995
us_000482807,0.437233, 0.168052
us_000563254,0.437233, 0.168184
us_000527623,0.437233, 0.168324
us_000519845,0.437233, 0.168324
us_000023935,0.437233, 0.168412
us_000538921,0.437233, 0.168779
us_000469623,0.437233, 0.168807
us_000590679,0.437233, 0.168849
us_000526252,0.437233, 0.169585
us_000537449,0.437233, 0.170211
us_000528720,0.437233, 0.170344
us_000562034,0.437233, 0.170344
us_000533423,0.437233, 0.170344
us_000548133,0.437233, 0.170344
us_000565782,0.437233, 0.170344
us_000460685,0.437233, 0.170344
us_000460854,0.437233, 0.170344
us_000520947,0.437233, 0.170344
us_000538749,0.437233, 0.170344
us_000552793,0.437233, 0.170344
us_000533426,0.437233, 0.170344
us_000533926,0.437233, 0.170344
us_000521897,0.437233, 0.170344
us_000535261,0.437233, 0.170344
us_000493269,0.437233, 0.170344
us_000539492,0.437233, 0.170344
us_000535362,0.437233, 0.170344
us_000500635,0.437233, 0.170344
us_000464677,0.437233, 0.170344
us_000549664,0.437233, 0.170344
us_000552918,0.437233, 0.170344
