Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 294 | Insurance Associates (jp:294,idx:101)
Class Probability,Ex Count at BMU,BMU Map Loc
0.08333334,2.0,(16|8)
0.06976745,3.0,(18|6)
0.05555556,2.0,(7|14)
0.05555556,2.0,(9|14)
0.04617605,32.0,(29|22)
0.04000000,2.0,(29|21)
0.02739726,2.0,(7|20)
0.02531646,2.0,(11|7)
0.02343750,3.0,(17|5)
0.01117318,2.0,(5|22)
0.009523810,1.0,(11|4)
0.006622517,1.0,(10|12)
0.005882353,1.0,(24|17)
0.005780347,1.0,(16|4)
0.005347594,1.0,(14|8)
0.005128205,1.0,(13|8)
0.003508772,1.0,(25|16)
0.003424658,1.0,(14|6)
0.003246753,1.0,(29|20)
0.003154574,1.0,(11|9)
0.003134796,1.0,(15|7)
0.002092050,1.0,(20|28)
