Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 472 | Health Business Managed Care (jp:472,idx:207)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1759259,38.0,(1|13)
0.1025641,40.0,(35|19)
0.1025641,40.0,(35|20)
0.08333334,1.0,(7|13)
0.05681818,5.0,(5|16)
0.03703704,5.0,(5|15)
0.03448276,2.0,(2|16)
0.03092784,3.0,(46|16)
0.03086420,5.0,(4|15)
0.02958580,5.0,(3|15)
0.02898551,2.0,(12|23)
0.02500000,1.0,(22|0)
0.02500000,2.0,(30|1)
0.02083333,3.0,(2|14)
0.01923077,1.0,(5|19)
0.01818182,3.0,(6|14)
0.01754386,3.0,(3|20)
0.01754386,1.0,(4|21)
0.01652892,2.0,(7|44)
0.01542416,6.0,(45|16)
0.01449275,1.0,(3|21)
0.01369863,2.0,(29|49)
0.01351351,1.0,(1|14)
0.01351351,1.0,(4|12)
0.01162791,1.0,(24|47)
0.01129944,2.0,(16|39)
0.01083033,3.0,(4|14)
0.009708738,1.0,(10|49)
0.008695652,1.0,(5|14)
0.008583691,2.0,(16|38)
0.008210180,5.0,(44|17)
0.007812500,1.0,(47|17)
0.007042253,1.0,(4|13)
0.006535948,1.0,(8|34)
0.005586592,1.0,(2|15)
0.005235602,1.0,(45|15)
0.003952569,2.0,(46|19)
0.003773585,1.0,(25|49)
0.003584229,1.0,(44|16)
0.002898551,1.0,(12|10)
0.002785515,1.0,(5|12)
0.002785515,1.0,(6|13)
0.002577320,1.0,(11|49)
0.002053388,1.0,(27|19)
