Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 471 | Health Business Clinical Integration (jp:471,idx:206)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4623656,129.0,(44|16)
0.3341902,130.0,(45|16)
0.1570681,30.0,(45|15)
0.1443299,14.0,(46|16)
0.1029412,7.0,(45|17)
0.1022727,9.0,(5|16)
0.06557377,4.0,(4|16)
0.05263158,3.0,(4|21)
0.05263158,1.0,(44|15)
0.05217391,6.0,(5|14)
0.03703704,6.0,(4|15)
0.03703704,5.0,(5|15)
0.03249098,9.0,(4|14)
0.03100775,4.0,(3|13)
0.02941176,1.0,(1|19)
0.02777778,4.0,(2|14)
0.02702703,1.0,(49|21)
0.02564103,1.0,(1|22)
0.02424242,4.0,(6|14)
0.02339181,4.0,(3|20)
0.02325581,1.0,(3|14)
0.01960784,1.0,(23|2)
0.01941748,2.0,(10|49)
0.01898734,3.0,(0|20)
0.01785714,1.0,(14|1)
0.01754386,1.0,(2|17)
0.01550388,2.0,(1|18)
0.01351351,1.0,(4|12)
0.01324503,2.0,(5|17)
0.01190476,2.0,(2|10)
0.01183432,2.0,(3|15)
0.01098901,1.0,(3|11)
0.01092896,2.0,(3|35)
0.01075269,1.0,(4|17)
0.01063830,3.0,(2|12)
0.009523810,1.0,(46|35)
0.008474576,1.0,(2|19)
0.008000000,1.0,(0|18)
0.006849315,1.0,(29|49)
0.006711409,1.0,(2|20)
0.006578947,1.0,(9|48)
0.006451613,1.0,(19|8)
0.006211180,1.0,(2|13)
0.005988024,2.0,(6|12)
0.005747126,1.0,(26|0)
0.005494506,1.0,(24|3)
0.003367003,1.0,(2|49)
0.003086420,1.0,(46|17)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002976191,1.0,(28|2)
0.002785515,1.0,(5|12)
0.002785515,1.0,(6|13)
0.002631579,1.0,(1|12)
0.002439024,1.0,(36|19)
0.001748252,1.0,(8|42)
0.001610306,1.0,(9|12)
