Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 226 | Healthcare Litigation (jp:226,idx:50)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5849802,148.0,(6|18)
0.3571429,45.0,(5|18)
0.2860215,133.0,(5|20)
0.2860215,133.0,(6|19)
0.2142857,30.0,(4|20)
0.2037037,11.0,(4|19)
0.1956522,27.0,(4|18)
0.1923077,10.0,(5|19)
0.1324503,20.0,(5|17)
0.1262136,13.0,(10|49)
0.08602151,8.0,(4|17)
0.05000000,1.0,(1|20)
0.05000000,6.0,(3|18)
0.04950495,5.0,(3|19)
0.04678363,8.0,(3|20)
0.03846154,1.0,(2|22)
0.03846154,1.0,(11|48)
0.03703704,1.0,(9|35)
0.03703704,1.0,(10|34)
0.03508772,2.0,(2|17)
0.03508772,2.0,(4|21)
0.03409091,3.0,(5|16)
0.03389831,4.0,(2|19)
0.03333334,1.0,(33|2)
0.02702703,1.0,(3|16)
0.01941748,2.0,(9|34)
0.01851852,3.0,(4|15)
0.01818182,2.0,(10|45)
0.01785714,1.0,(2|18)
0.01724138,1.0,(9|25)
0.01503759,2.0,(7|47)
0.01481481,2.0,(5|15)
0.01449275,1.0,(3|21)
0.01351351,1.0,(10|25)
0.01333333,1.0,(6|15)
0.01250000,1.0,(30|1)
0.01162791,1.0,(11|47)
0.01162791,1.0,(12|48)
0.01083033,3.0,(29|4)
0.01075269,1.0,(17|1)
0.01020408,1.0,(3|17)
0.007827789,4.0,(27|5)
0.007751938,1.0,(3|13)
0.007751938,1.0,(14|2)
0.007604563,2.0,(10|23)
0.006711409,1.0,(2|20)
0.005952381,1.0,(2|10)
0.005263158,1.0,(17|7)
0.004405286,1.0,(7|0)
0.004405286,1.0,(7|1)
0.003610108,1.0,(4|14)
0.003597122,1.0,(15|47)
0.003546099,1.0,(2|12)
0.002873563,1.0,(37|5)
0.002680965,1.0,(8|3)
0.002421308,1.0,(22|3)
0.002341920,1.0,(23|32)
0.001610306,1.0,(9|12)
