Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 279 | Professional Liability (jp:279,idx:86)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4132492,131.0,(18|7)
0.1627907,7.0,(18|6)
0.1600000,4.0,(18|8)
0.1524548,59.0,(17|8)
0.1125000,9.0,(19|7)
0.05789474,11.0,(17|7)
0.05405406,4.0,(19|5)
0.04545455,3.0,(17|6)
0.04347826,2.0,(20|4)
0.04347826,2.0,(20|5)
0.04123711,4.0,(8|49)
0.04081633,2.0,(20|2)
0.03448276,1.0,(16|1)
0.03076923,2.0,(8|48)
0.02343750,3.0,(17|5)
0.02127660,2.0,(11|0)
0.01785714,1.0,(14|1)
0.01492537,1.0,(21|8)
0.01290323,2.0,(19|8)
0.01288660,5.0,(11|49)
0.01219512,1.0,(22|6)
0.01219512,2.0,(49|18)
0.01176471,1.0,(19|1)
0.009708738,1.0,(21|12)
0.009345794,1.0,(20|3)
0.009259259,1.0,(21|3)
0.009090909,1.0,(10|45)
0.008403362,2.0,(10|11)
0.007263923,3.0,(15|48)
0.006622517,1.0,(10|12)
0.006006006,2.0,(17|39)
0.004494382,2.0,(49|33)
0.004132231,1.0,(26|5)
0.003154574,1.0,(30|15)
0.003067485,1.0,(26|31)
0.002604167,1.0,(9|13)
