Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 473 | Health Business Non-Hospital (jp:473,idx:208)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2253086,73.0,(46|17)
0.2076923,81.0,(35|19)
0.2076923,81.0,(35|20)
0.09375000,3.0,(46|15)
0.05797102,4.0,(3|21)
0.05263158,1.0,(10|0)
0.04332130,12.0,(4|14)
0.03478261,4.0,(5|14)
0.03030303,5.0,(6|14)
0.02958580,5.0,(3|15)
0.02941176,2.0,(45|17)
0.02793296,5.0,(2|15)
0.02702703,1.0,(3|16)
0.02222222,3.0,(5|15)
0.01949861,7.0,(5|12)
0.01949861,7.0,(6|13)
0.01886792,2.0,(46|36)
0.01785714,1.0,(14|1)
0.01724138,1.0,(2|16)
0.01351351,1.0,(4|12)
0.01333333,1.0,(6|15)
0.01324503,2.0,(5|17)
0.01136364,1.0,(5|16)
0.01136364,1.0,(14|36)
0.01129944,2.0,(16|39)
0.01075269,1.0,(4|17)
0.01030928,1.0,(46|16)
0.009708738,2.0,(2|33)
0.008988764,4.0,(49|33)
0.008000000,1.0,(0|18)
0.007751938,1.0,(1|18)
0.007751938,1.0,(3|13)
0.007246377,1.0,(4|18)
0.007168459,2.0,(44|16)
0.007142857,1.0,(4|20)
0.007042253,1.0,(4|13)
0.006578947,1.0,(9|48)
0.006329114,1.0,(0|20)
0.006172840,1.0,(4|15)
0.005847953,1.0,(3|20)
0.005141388,2.0,(45|16)
0.004926108,3.0,(44|17)
0.004651163,1.0,(19|33)
0.004184100,1.0,(13|4)
0.003906250,1.0,(34|3)
0.003831418,1.0,(9|43)
0.003597122,2.0,(46|34)
0.003558719,1.0,(12|11)
0.003546099,1.0,(2|12)
0.002583979,1.0,(17|8)
0.002493766,1.0,(32|4)
0.001748252,1.0,(8|42)
0.001410437,1.0,(19|31)
