Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 312 | Health Business Antitrust (jp:312,idx:107)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2500000,1.0,(35|21)
0.1463415,6.0,(44|14)
0.1395349,12.0,(24|47)
0.1333333,2.0,(6|16)
0.08333334,1.0,(7|13)
0.05797102,4.0,(3|21)
0.05263158,1.0,(44|15)
0.04761905,1.0,(12|0)
0.03846154,2.0,(2|11)
0.03448276,2.0,(2|16)
0.03409091,3.0,(5|16)
0.03076923,2.0,(11|1)
0.03030303,1.0,(10|47)
0.02941176,2.0,(45|17)
0.02702703,1.0,(3|16)
0.02622577,23.0,(34|21)
0.02608696,3.0,(5|14)
0.02439024,2.0,(45|18)
0.01941748,2.0,(10|49)
0.01851852,4.0,(1|13)
0.01639344,1.0,(4|16)
0.01290323,2.0,(44|18)
0.01250000,1.0,(30|1)
0.01162791,1.0,(11|47)
0.01162791,1.0,(12|48)
0.01098901,1.0,(3|11)
0.01086957,1.0,(25|1)
0.01083033,3.0,(4|14)
0.01075269,1.0,(4|17)
0.01063830,3.0,(29|44)
0.01052632,2.0,(46|18)
0.01030928,1.0,(46|16)
0.009036144,3.0,(12|1)
0.009036144,3.0,(13|49)
0.008210180,5.0,(44|17)
0.008051530,5.0,(9|12)
0.007894737,3.0,(1|12)
0.007751938,1.0,(3|13)
0.007407407,1.0,(5|15)
0.006802721,2.0,(24|2)
0.006622517,1.0,(5|17)
0.006578947,1.0,(9|48)
0.006211180,1.0,(2|13)
0.006172840,1.0,(4|15)
0.006172840,2.0,(46|17)
0.005813953,1.0,(14|49)
0.005747126,1.0,(0|16)
0.005571031,2.0,(5|12)
0.005571031,2.0,(6|13)
0.005235602,1.0,(45|15)
0.005141388,2.0,(45|16)
0.005050505,2.0,(27|0)
0.005000000,1.0,(21|26)
0.005000000,1.0,(23|26)
0.004901961,1.0,(15|29)
0.004878049,1.0,(13|25)
0.004484305,1.0,(8|12)
0.004065040,1.0,(9|41)
0.004016064,1.0,(28|0)
0.003952569,1.0,(6|18)
0.002898551,1.0,(12|10)
0.002577320,1.0,(11|49)
0.002570694,1.0,(26|27)
0.002564103,1.0,(35|19)
0.002564103,1.0,(35|20)
0.002493766,1.0,(32|4)
0.001976285,1.0,(46|19)
0.001821494,1.0,(30|5)
0.001798561,1.0,(46|34)
0.0009425071,1.0,(25|12)
