Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 497 | Health Comp-Medicare-Medicaid (jp:497,idx:213)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04093567,7.0,(3|20)
0.03846154,1.0,(2|22)
0.03125000,1.0,(46|15)
0.02325581,1.0,(3|14)
0.01639344,1.0,(4|16)
0.01250000,1.0,(30|1)
0.01083033,3.0,(4|14)
0.01052632,2.0,(46|18)
0.007751938,1.0,(3|13)
0.006711409,1.0,(2|20)
0.006211180,1.0,(2|13)
0.005988024,2.0,(6|12)
0.005128205,2.0,(35|19)
0.005128205,2.0,(35|20)
0.004901961,1.0,(15|29)
0.004629630,1.0,(1|13)
0.003738318,2.0,(18|11)
0.003546099,1.0,(2|12)
0.002898551,1.0,(12|10)
0.002785515,1.0,(5|12)
0.002785515,1.0,(6|13)
0.002202643,1.0,(47|16)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.001642036,1.0,(44|17)
