Product ID : 2116 JPs covered : 277 : ERISA-Employee Benefits, 
pr_001065915,0.979270, 0.000000
pr_001127343,0.979270, 0.000000
pr_000825358,0.979270, 0.000000
pr_001042092,0.979270, 0.000000
pr_002005339,0.979270, 0.000000
pr_000971182,0.979270, 0.000002
pr_000250454,0.979270, 0.000002
pr_000315002,0.979270, 0.000002
pr_000402146,0.979270, 0.000002
pr_000865324,0.979270, 0.000002
pr_000765134,0.979270, 0.000012
pr_000216231,0.979270, 0.000030
us_000494081,0.979270, 0.059571
us_000515603,0.979270, 0.084795
us_000353478,0.979270, 1.336868
us_000503928,0.979270, 1.351191
us_000483757,0.979270, 1.446836
us_000509251,0.979270, 1.512804
us_000510849,0.979270, 1.533768
us_000538858,0.979270, 1.543384
us_000565501,0.979270, 1.553399
us_000112726,0.979270, 1.605613
us_000495838,0.979270, 1.640468
us_000540038,0.979270, 1.651617
us_000491059,0.979270, 1.656839
us_000575032,0.979270, 1.700596
us_000495792,0.979270, 1.711866
us_000362427,0.979270, 1.731457
us_000482556,0.979270, 1.750938
us_000547997,0.979270, 1.768659
us_000537242,0.979270, 1.776857
us_000013463,0.979270, 1.803453
us_000568768,0.979270, 1.812753
us_000496184,0.979270, 1.821691
us_000484447,0.979270, 1.824845
us_000540740,0.979270, 1.837602
us_000599311,0.979270, 1.845327
us_000582812,0.979270, 1.850263
us_000500677,0.979270, 1.850694
us_000484225,0.979270, 1.857281
us_000495024,0.979270, 1.888701
us_000578699,0.979270, 1.904241
us_000493404,0.979270, 1.905428
us_000501512,0.979270, 1.912101
us_000521781,0.979270, 1.917990
us_000531991,0.979270, 1.918406
us_000535267,0.979270, 1.921031
us_000563907,0.979270, 1.921412
us_000582320,0.979270, 1.927354
us_000575000,0.979270, 1.936139
us_000585723,0.979270, 1.942371
us_000398169,0.979270, 1.946033
us_000497993,0.979270, 1.950287
us_000557070,0.979270, 1.955020
us_000585650,0.979270, 1.956645
us_000585030,0.979270, 1.961671
us_000583865,0.979270, 1.964705
us_000533953,0.979270, 1.964866
us_000554996,0.979270, 1.970895
us_000581977,0.979270, 1.974517
us_000566923,0.979270, 1.974647
us_000580586,0.979270, 1.975040
us_000505245,0.979270, 1.979496
us_000509500,0.979270, 1.985584
us_000584190,0.979270, 1.986423
us_000579272,0.979270, 1.988571
us_000518754,0.979270, 1.991088
us_000578205,0.979270, 1.993352
us_000431304,0.979270, 2.001098
us_000540027,0.979270, 2.001915
us_000530125,0.979270, 2.014127
us_000468298,0.979270, 2.016652
us_000521459,0.979270, 2.019487
us_000557042,0.979270, 2.027107
us_000458629,0.979270, 2.031589
us_000481454,0.979270, 2.031995
us_000499782,0.979270, 2.039763
us_000549712,0.979270, 2.044810
us_000582246,0.979270, 2.053681
us_000504917,0.979270, 2.054776
us_000502164,0.979270, 2.056706
us_000598287,0.979270, 2.058556
us_000479817,0.979270, 2.059998
us_000533391,0.979270, 2.060145
us_000408766,0.979270, 2.063237
us_000560522,0.979270, 2.064957
us_000500950,0.979270, 2.065076
us_000504076,0.979270, 2.067164
us_000550147,0.979270, 2.067759
us_000572291,0.979270, 2.068360
us_000585955,0.979270, 2.071794
us_000514349,0.979270, 2.074920
us_000565117,0.979270, 2.076502
us_000539411,0.979270, 2.077309
us_000506031,0.979270, 2.078989
us_000546649,0.979270, 2.080001
us_000591095,0.979270, 2.080888
us_000519637,0.979270, 2.082924
us_000564816,0.979270, 2.087404
us_000482399,0.979270, 2.087669
us_000558146,0.979270, 2.089601
us_000540260,0.979270, 2.098558
us_000533283,0.979270, 2.099081
us_000549695,0.979270, 2.099923
us_000556328,0.979270, 2.105944
us_000503901,0.979270, 2.108585
us_000400033,0.979270, 2.114690
us_000461721,0.979270, 2.123231
us_000544412,0.979270, 2.125217
us_000460055,0.979270, 2.135878
us_000339025,0.979270, 2.143084
us_000564071,0.979270, 2.143275
us_000469482,0.979270, 2.145013
us_000503960,0.979270, 2.146729
us_000583878,0.979270, 2.147014
us_000556213,0.979270, 2.149149
us_000517565,0.979270, 2.149266
us_000519141,0.979270, 2.159135
us_000611036,0.979270, 2.162823
us_000556304,0.979270, 2.170063
us_000533959,0.979270, 2.174806
us_000530509,0.979270, 2.180296
us_000586910,0.979270, 2.181565
us_000536991,0.979270, 2.185468
us_000485829,0.979270, 2.185708
us_000565824,0.979270, 2.187242
us_000502779,0.979270, 2.188081
us_000549123,0.979270, 2.188081
us_000535886,0.979270, 2.191305
us_000502781,0.979270, 2.191934
us_000482713,0.979270, 2.192582
us_000553889,0.979270, 2.192582
us_000483775,0.979270, 2.193236
us_000551879,0.979270, 2.211667
us_000520542,0.979270, 2.216241
us_000561062,0.979270, 2.217460
us_000496501,0.979270, 2.217640
us_000470986,0.979270, 2.224646
us_000483402,0.979270, 2.228903
us_000501876,0.979270, 2.229042
us_000478076,0.979270, 2.230997
us_000487798,0.979270, 2.231972
us_000518577,0.979270, 2.234771
us_000554342,0.979270, 2.234771
us_000469969,0.979270, 2.237744
us_000561243,0.979270, 2.237785
us_000539987,0.979270, 2.239330
us_000478210,0.979270, 2.239646
us_000482166,0.979270, 2.239646
us_000481396,0.979270, 2.239646
us_000539319,0.979270, 2.239646
us_000479863,0.979270, 2.239646
us_000484258,0.979270, 2.240965
us_000464342,0.979270, 2.246463
us_000528177,0.979270, 2.252951
us_000499212,0.979270, 2.253741
us_000479238,0.979270, 2.260741
us_000518043,0.979270, 2.263923
us_000011844,0.979270, 2.268263
us_000476853,0.979270, 2.269571
us_000540383,0.979270, 2.269671
us_000500267,0.979270, 2.272488
us_000551882,0.979270, 2.274821
us_000472807,0.979270, 2.275744
us_000534700,0.979270, 2.276351
us_000521571,0.979270, 2.276717
us_000553704,0.979270, 2.279995
us_000540199,0.979270, 2.285376
us_000490860,0.979270, 2.298933
us_000503644,0.979270, 2.315023
us_000471028,0.979270, 2.321454
us_000459786,0.979270, 2.344185
us_000480522,0.979270, 2.363730
us_000482292,0.979270, 2.367517
us_000476957,0.979270, 2.457655
pr_000383133,0.918449, 0.000000
us_000544812,0.918449, 1.406701
us_000498639,0.918449, 2.611270
us_000550491,0.918449, 2.661560
us_000179555,0.918449, 2.668286
us_000588098,0.918449, 2.719491
us_000535278,0.918449, 2.806121
us_000474043,0.918449, 2.900356
us_000488184,0.918449, 3.032360
us_000538562,0.918449, 3.063539
us_000499848,0.918449, 3.067356
us_000528268,0.918449, 3.073292
us_000192552,0.918449, 3.112177
us_000590879,0.918449, 3.117926
us_000542674,0.918449, 3.163557
us_000598855,0.918449, 3.166799
us_000562359,0.918449, 3.177483
us_000500856,0.918449, 3.411452
pr_001153019,0.817193, 0.000000
pr_001674097,0.817193, 0.000000
us_000529431,0.817193, 0.000000
us_000558958,0.817193, 0.000000
us_000559162,0.817193, 0.000454
us_000610956,0.817193, 0.001725
us_000526796,0.817193, 0.020373
us_000526544,0.817193, 0.027967
us_000517571,0.817193, 0.037160
us_000545309,0.817193, 0.037391
us_000520052,0.817193, 0.057234
us_000484126,0.817193, 0.064434
us_000502798,0.817193, 0.065032
us_000567172,0.817193, 0.109136
us_000515762,0.817193, 0.153005
us_000483725,0.817193, 0.363019
us_000519731,0.750931, 0.000012
us_000534065,0.750931, 0.048320
us_000492790,0.750931, 0.084733
us_000468074,0.750931, 2.062093
us_000462433,0.750931, 2.270882
us_000476392,0.750931, 2.281631
us_000468533,0.750931, 2.302365
us_000529561,0.750931, 2.328199
us_000529558,0.750931, 2.425229
us_000575828,0.750931, 2.448112
us_000519182,0.643865, 0.000004
pr_002052258,0.643865, 0.000010
pr_000410567,0.643865, 0.000232
us_000500668,0.643865, 0.000990
us_000596158,0.643865, 0.013424
us_000501734,0.643865, 0.031248
us_000478295,0.643865, 1.550014
us_000480110,0.643865, 2.020654
us_000507274,0.643865, 2.049726
us_000520316,0.643865, 2.093015
us_000477816,0.643865, 2.125984
us_000471243,0.499037, 0.000000
us_000472338,0.499037, 0.000000
us_000515758,0.499037, 0.000000
pr_000735974,0.499037, 0.000001
pr_002006777,0.499037, 0.000001
us_000525240,0.499037, 0.000001
us_000464409,0.499037, 0.000002
us_000541449,0.499037, 0.000002
us_000539301,0.499037, 0.000002
pr_000750203,0.499037, 0.000004
pr_001894874,0.499037, 0.000006
us_000537888,0.499037, 0.000009
pr_002066217,0.499037, 0.000014
us_000510426,0.499037, 0.000023
us_000518842,0.499037, 0.000030
pr_001930435,0.499037, 0.000036
pr_001963351,0.499037, 0.000036
us_000537897,0.499037, 0.000061
us_000537922,0.499037, 0.000061
pr_001884506,0.499037, 0.000087
us_000503686,0.499037, 0.000159
us_000519328,0.499037, 0.000248
us_000441576,0.499037, 0.000263
us_000508799,0.499037, 0.000349
us_000508831,0.499037, 0.000349
us_000512067,0.499037, 0.000349
pr_001021085,0.499037, 0.000371
us_000521577,0.499037, 0.000510
us_000550742,0.499037, 0.000547
pr_000791139,0.499037, 0.000562
pr_001089198,0.499037, 0.000562
pr_000822658,0.499037, 0.000562
pr_000744957,0.499037, 0.000610
us_000484930,0.499037, 0.000615
pr_000886452,0.499037, 0.000629
pr_000880013,0.499037, 0.000629
us_000463914,0.499037, 0.000642
pr_000274758,0.499037, 0.000660
us_000542656,0.499037, 0.000807
pr_000289167,0.499037, 0.000914
pr_001611410,0.499037, 0.000931
us_000466827,0.499037, 0.000948
us_000539375,0.499037, 0.000987
pr_000562899,0.499037, 0.001170
us_000467129,0.499037, 0.001461
us_000599052,0.499037, 0.002507
us_000509297,0.499037, 0.003076
us_000486085,0.499037, 0.003112
us_000520640,0.499037, 0.003294
us_000492918,0.499037, 0.003344
us_000543433,0.499037, 0.003416
pr_001018053,0.499037, 0.003455
us_000535835,0.499037, 0.003694
us_000537949,0.499037, 0.005143
us_000106058,0.499037, 0.005842
us_000580820,0.499037, 0.007428
us_000559191,0.499037, 0.007515
us_000515699,0.499037, 0.007522
us_000542328,0.499037, 0.007790
us_000598055,0.499037, 0.008061
us_000506858,0.499037, 0.008871
us_000568739,0.499037, 0.010266
us_000567553,0.499037, 0.010913
us_000568680,0.499037, 0.011957
us_000470418,0.499037, 0.012760
us_000533657,0.499037, 0.012852
us_000542961,0.499037, 0.014734
us_000487783,0.499037, 0.017237
us_000498982,0.499037, 0.017759
us_000557514,0.499037, 0.017989
us_000566715,0.499037, 0.019626
us_000575454,0.499037, 0.020177
us_000163426,0.499037, 0.023441
us_000480432,0.499037, 0.026936
us_000472790,0.499037, 0.035748
us_000589732,0.499037, 0.043366
us_000525393,0.499037, 0.044941
us_000568938,0.499037, 0.050226
us_000480335,0.499037, 0.050962
us_000495291,0.499037, 0.056536
us_000589275,0.499037, 0.073321
us_000579268,0.499037, 0.081077
us_000494628,0.499037, 0.103556
us_000495488,0.499037, 0.162111
us_000482659,0.499037, 0.169227
us_000553948,0.499037, 0.228592
us_000485813,0.399821, 0.000000
us_000475127,0.399821, 0.000000
us_000474447,0.399821, 0.000111
us_000488042,0.399821, 0.000111
us_000604960,0.399821, 0.000668
us_000584632,0.399821, 0.001333
us_000563454,0.399821, 1.253696
us_000409714,0.399821, 1.270866
us_000498342,0.399821, 1.274581
us_000544703,0.399821, 1.286093
us_000206873,0.399821, 1.288934
us_000484204,0.399821, 1.294463
us_000552372,0.399821, 1.308626
us_000447593,0.399821, 1.312938
us_000480401,0.399821, 1.313877
us_000613028,0.399821, 1.315337
us_000617506,0.399821, 1.315611
us_000589496,0.399821, 1.318101
us_000528347,0.399821, 1.318339
us_000477026,0.399821, 1.319884
us_000478495,0.399821, 1.322347
us_000526533,0.399821, 1.335332
us_000483781,0.399821, 1.335405
us_000591824,0.399821, 1.338411
us_000517658,0.399821, 1.339135
us_000481874,0.399821, 1.340552
us_000604616,0.399821, 1.345332
us_000510148,0.399821, 1.347705
us_000482642,0.399821, 1.347727
us_000481757,0.399821, 1.347961
us_000527911,0.399821, 1.348675
us_000607056,0.399821, 1.351118
us_000591068,0.399821, 1.351607
us_000481639,0.399821, 1.353354
us_000493760,0.399821, 1.355018
us_000518586,0.399821, 1.355641
us_000606356,0.399821, 1.355727
us_000546115,0.399821, 1.358476
us_000473796,0.399821, 1.359824
us_000563277,0.399821, 1.361462
us_000554494,0.399821, 1.364870
us_000559828,0.399821, 1.366244
us_000499627,0.399821, 1.367979
us_000517133,0.399821, 1.368996
us_000469768,0.399821, 1.377139
us_000469401,0.399821, 1.377693
us_000606086,0.399821, 1.377983
us_000193254,0.399821, 1.378487
us_000359928,0.399821, 1.378498
us_000481851,0.399821, 1.378638
us_000481802,0.399821, 1.378638
us_000481168,0.399821, 1.378638
us_000589706,0.399821, 1.379373
us_000458983,0.399821, 1.379381
us_000579401,0.399821, 1.380614
us_000529079,0.399821, 1.383227
us_000505914,0.399821, 1.385659
us_000589403,0.399821, 1.386693
us_000482824,0.399821, 1.387773
us_000499511,0.399821, 1.387773
us_000499342,0.399821, 1.387773
us_000481751,0.399821, 1.387773
us_000482745,0.399821, 1.387773
us_000481747,0.399821, 1.391428
us_000493041,0.399821, 1.396621
us_000613609,0.399821, 1.408215
us_000482837,0.399821, 1.424150
us_000591998,0.399821, 1.427095
us_000482843,0.399821, 1.437905
us_000588169,0.399821, 1.473544
us_000526295,0.399821, 1.540064
pr_000957355,0.217630, 0.000000
pr_000923741,0.217630, 0.000000
pr_000748374,0.217630, 0.000000
pr_000877501,0.217630, 0.000000
pr_001132430,0.217630, 0.000000
pr_000999325,0.217630, 0.000000
pr_000758461,0.217630, 0.000000
pr_001409947,0.217630, 0.000000
pr_000994641,0.217630, 0.000000
pr_000920552,0.217630, 0.000000
pr_000377025,0.217630, 0.000000
pr_001909248,0.217630, 0.000000
pr_000213405,0.217630, 0.000000
pr_000069777,0.217630, 0.000000
pr_000955807,0.217630, 0.000000
pr_000113443,0.217630, 0.000000
pr_000782585,0.217630, 0.000000
us_000600445,0.217630, 0.000001
us_000600259,0.217630, 0.000011
pr_001024597,0.217630, 0.000012
pr_001879776,0.217630, 0.000028
pr_001133101,0.217630, 0.000168
us_000479505,0.217630, 0.023417
us_000594943,0.217630, 1.092002
us_000580787,0.217630, 1.263221
us_000467707,0.217630, 1.265091
us_000537890,0.217630, 1.269817
us_000495101,0.217630, 1.273930
us_000127180,0.217630, 1.280527
us_000522991,0.217630, 1.283429
us_000486075,0.217630, 1.285481
us_000563160,0.217630, 1.304090
us_000568951,0.217630, 1.311048
us_000615317,0.217630, 1.333672
us_000530454,0.217630, 1.346855
us_000471736,0.217630, 1.350779
us_000465724,0.217630, 1.353044
us_000568299,0.217630, 1.353368
us_000523040,0.217630, 1.363145
us_000491490,0.217630, 1.376500
us_000593583,0.217630, 1.382784
us_000598031,0.217630, 1.401765
us_000593616,0.217630, 1.411876
us_000576626,0.217630, 1.420908
us_000503474,0.217630, 1.443499
us_000576422,0.217630, 1.458316
us_000497984,0.217630, 1.465456
us_000474042,0.217630, 1.472914
us_000568015,0.217630, 1.473473
us_000518791,0.217630, 1.514001
us_000192235,0.217630, 1.519357
us_000536303,0.217630, 1.522268
us_000477007,0.217630, 1.640487
pr_000815375,0.174944, 0.000000
us_000498262,0.174944, 0.000001
us_000259105,0.174944, 0.000001
us_000474263,0.174944, 0.000001
us_000458996,0.174944, 0.000001
us_000478674,0.174944, 0.000001
us_000550551,0.174944, 0.000001
us_000127683,0.174944, 0.000001
us_000458766,0.174944, 0.000001
us_000458557,0.174944, 0.000001
us_000477716,0.174944, 0.000001
us_000476950,0.174944, 0.000001
us_000488997,0.174944, 0.000001
us_000459719,0.174944, 0.000001
us_000459865,0.174944, 0.000001
us_000485510,0.174944, 0.000001
us_000051293,0.174944, 0.000001
us_000474761,0.174944, 0.000001
us_000458685,0.174944, 0.000001
us_000222681,0.174944, 0.000001
us_000472371,0.174944, 0.000001
us_000464555,0.174944, 0.000001
us_000563890,0.174944, 0.000001
us_000503609,0.174944, 0.000001
us_000500533,0.174944, 0.000001
us_000564950,0.174944, 0.000001
us_000483211,0.174944, 0.000001
us_000118389,0.174944, 0.000001
us_000493164,0.174944, 0.000001
us_000506662,0.174944, 0.000001
us_000506035,0.174944, 0.000002
pr_000762444,0.174944, 0.000003
pr_000765291,0.174944, 0.000006
us_000492365,0.174944, 0.000014
us_000481970,0.174944, 0.000014
us_000555788,0.174944, 0.000014
us_000564083,0.174944, 0.000014
us_000533126,0.174944, 0.000015
us_000613819,0.174944, 0.000027
us_000452165,0.174944, 0.000030
pr_001875570,0.174944, 0.000037
us_000550195,0.174944, 0.000038
us_000591898,0.174944, 0.000060
pr_000290742,0.174944, 0.000121
us_000480138,0.174944, 0.000397
pr_002081041,0.174944, 0.000433
us_000562944,0.174944, 0.001115
us_000471675,0.174944, 0.001117
us_000493938,0.174944, 0.001642
us_000230803,0.174944, 0.002455
us_000481214,0.174944, 0.002467
us_000589824,0.174944, 0.003105
us_000590075,0.174944, 0.006217
us_000591738,0.174944, 0.008062
us_000528381,0.174944, 0.008178
us_000564004,0.174944, 0.011864
us_000581121,0.174944, 0.016336
us_000518874,0.174944, 0.017066
us_000529065,0.174944, 0.017811
us_000529401,0.174944, 0.019960
us_000563683,0.174944, 0.022533
us_000530869,0.174944, 0.031560
us_000512515,0.174944, 0.076988
us_000504308,0.174944, 0.096200
us_000458943,0.174944, 8.278928
