Product ID : 1025 # of JPs covered : 1 : 138 : Tax Law, 
us_000596540,0.478655, 0.000011
us_000589082,0.478655, 0.000011
pr_000599774,0.478655, 0.000015
pr_001766376,0.478655, 0.000018
pr_000780655,0.478655, 0.000036
pr_000874465,0.478655, 0.000042
pr_000568541,0.478655, 0.000438
pr_001033664,0.478655, 0.000593
us_000536254,0.478655, 0.000842
us_000520424,0.478655, 0.001735
pr_001035060,0.478655, 0.007421
us_000513736,0.478655, 0.015975
us_000594048,0.478655, 0.102720
us_000591288,0.478655, 0.749786
us_000553841,0.478655, 1.015027
us_000580160,0.478655, 1.054533
us_000558321,0.478655, 1.143865
us_000482275,0.478655, 1.160819
us_000489352,0.478655, 1.167139
us_000550871,0.478655, 1.170438
us_000572235,0.478655, 1.174709
us_000491038,0.478655, 1.176070
us_000572362,0.478655, 1.184484
us_000572261,0.478655, 1.191278
us_000489362,0.478655, 1.196926
us_000559032,0.478655, 1.198985
us_000513755,0.478655, 1.205431
us_000502826,0.478655, 1.207224
us_000473782,0.478655, 1.209854
us_000473823,0.478655, 1.213660
us_000572265,0.478655, 1.218083
us_000587517,0.478655, 1.218887
us_000499320,0.478655, 1.227151
us_000513712,0.478655, 1.231944
us_000489364,0.478655, 1.233383
us_000591292,0.478655, 1.239773
us_000489359,0.478655, 1.257432
us_000559733,0.478655, 1.259321
us_000489405,0.478655, 1.264769
us_000586719,0.478655, 1.278004
us_000503628,0.478655, 1.313097
us_000494740,0.478655, 1.520704
us_000550838,0.478655, 1.882000
us_000559488,0.478655, 2.129156
us_000572371,0.478655, 2.330307
us_000523221,0.478655, 2.445294
us_000523225,0.478655, 2.795187
pr_000246412,0.476966, 0.000002
pr_000942547,0.476966, 0.000010
pr_000874152,0.476966, 0.000013
pr_001736023,0.476966, 0.000017
pr_000818648,0.476966, 0.000020
pr_001032106,0.476966, 0.000025
pr_001697892,0.476966, 0.000028
pr_001108927,0.476966, 0.000038
pr_000099975,0.476966, 0.000060
pr_000817744,0.476966, 0.000130
pr_001719907,0.476966, 0.000136
pr_000381974,0.476966, 0.000149
pr_000379979,0.476966, 0.000188
pr_000638727,0.476966, 0.000200
pr_001853578,0.476966, 0.000643
us_000565489,0.476966, 0.000955
us_000560836,0.476966, 0.001469
us_000580409,0.476966, 0.001478
us_000538926,0.476966, 0.004805
us_000573811,0.476966, 0.551767
us_000591873,0.476966, 0.613942
us_000583360,0.476966, 0.856269
us_000474578,0.476966, 0.871556
us_000577596,0.476966, 0.919728
us_000596716,0.476966, 0.974368
us_000577623,0.476966, 0.987637
us_000546913,0.476966, 1.077441
us_000581934,0.476966, 1.146290
us_000546900,0.476966, 1.182590
us_000560730,0.476966, 1.622135
us_000614928,0.476966, 2.313419
us_000512698,0.444807, 0.000000
us_000522941,0.444807, 0.000000
us_000512316,0.444807, 0.000000
us_000513252,0.444807, 0.000000
us_000571953,0.444807, 0.000000
us_000594573,0.444807, 0.000000
us_000532443,0.444807, 0.000000
us_000520982,0.444807, 0.000000
pr_001899361,0.444807, 0.000001
pr_001907189,0.444807, 0.000001
pr_000396952,0.444807, 0.000001
us_000540020,0.444807, 0.000002
us_000463513,0.444807, 0.000003
us_000527444,0.444807, 0.000003
pr_000173069,0.444807, 0.000006
us_000581659,0.444807, 0.000011
us_000521772,0.444807, 0.000021
us_000507143,0.444807, 0.000021
pr_001899606,0.444807, 0.000037
us_000535516,0.444807, 0.000038
pr_001056280,0.444807, 0.000039
pr_000843290,0.444807, 0.000043
us_000523968,0.444807, 0.000046
us_000503166,0.444807, 0.000049
pr_001795552,0.444807, 0.000051
us_000540203,0.444807, 0.000056
us_000539967,0.444807, 0.000056
us_000528914,0.444807, 0.000056
us_000564390,0.444807, 0.000056
us_000543918,0.444807, 0.000056
pr_000845328,0.444807, 0.000072
pr_000992470,0.444807, 0.000072
pr_000638202,0.444807, 0.000072
pr_000901473,0.444807, 0.000072
pr_000996895,0.444807, 0.000072
pr_000836092,0.444807, 0.000072
pr_000817973,0.444807, 0.000072
pr_000519322,0.444807, 0.000072
pr_000393702,0.444807, 0.000072
pr_000287459,0.444807, 0.000072
pr_000567769,0.444807, 0.000078
pr_000911151,0.444807, 0.000085
pr_000393930,0.444807, 0.000085
pr_000840735,0.444807, 0.000085
pr_000827660,0.444807, 0.000085
us_000503763,0.444807, 0.000086
us_000521706,0.444807, 0.000087
us_000496640,0.444807, 0.000089
pr_000569416,0.444807, 0.000110
pr_001036151,0.444807, 0.000110
pr_001147420,0.444807, 0.000110
pr_000362588,0.444807, 0.000114
pr_000405340,0.444807, 0.000122
pr_000818443,0.444807, 0.000123
pr_001156502,0.444807, 0.000123
pr_000559292,0.444807, 0.000123
pr_000643799,0.444807, 0.000126
pr_001151497,0.444807, 0.000126
pr_001679789,0.444807, 0.000157
pr_000368754,0.444807, 0.000170
pr_000643991,0.444807, 0.000195
pr_001148828,0.444807, 0.000196
pr_000644574,0.444807, 0.000201
pr_000363584,0.444807, 0.000208
pr_001149493,0.444807, 0.000211
pr_001146425,0.444807, 0.000217
pr_001025301,0.444807, 0.000242
pr_001148106,0.444807, 0.000258
pr_000816748,0.444807, 0.000277
pr_000383305,0.444807, 0.000298
pr_000089278,0.444807, 0.000325
pr_000394013,0.444807, 0.000327
pr_001148630,0.444807, 0.000365
pr_000816964,0.444807, 0.000378
pr_000376493,0.444807, 0.000380
pr_001739915,0.444807, 0.000402
pr_000393620,0.444807, 0.000412
pr_000781835,0.444807, 0.000416
pr_000821965,0.444807, 0.000424
pr_000872531,0.444807, 0.000424
pr_001149669,0.444807, 0.000435
pr_001089542,0.444807, 0.000449
pr_000750931,0.444807, 0.000449
pr_000961891,0.444807, 0.000449
pr_000823781,0.444807, 0.000449
pr_000655596,0.444807, 0.000449
pr_001127848,0.444807, 0.000449
pr_001410297,0.444807, 0.000449
pr_000841315,0.444807, 0.000450
pr_000622291,0.444807, 0.000466
pr_001673589,0.444807, 0.000472
pr_001146818,0.444807, 0.000515
pr_002071238,0.444807, 0.000522
pr_000395368,0.444807, 0.000615
pr_000512838,0.444807, 0.000619
pr_000888672,0.444807, 0.000660
pr_000394395,0.444807, 0.000669
pr_000911143,0.444807, 0.000801
pr_000932121,0.444807, 0.000999
us_000493042,0.444807, 0.001067
pr_000396566,0.444807, 0.001300
pr_000347959,0.444807, 0.001351
us_000465967,0.444807, 0.001658
pr_001064873,0.444807, 0.001942
pr_001412940,0.444807, 0.003275
us_000520396,0.444807, 0.003548
us_000520377,0.444807, 0.006454
us_000591568,0.444807, 0.024226
us_000593371,0.444807, 0.175503
us_000597179,0.444807, 3.753362
us_000596935,0.444807, 3.763901
us_000543715,0.379180, 0.000000
us_000565771,0.379180, 0.000000
pr_000839794,0.379180, 0.000002
pr_000255516,0.379180, 0.000013
pr_000005092,0.379180, 0.000013
pr_000633155,0.379180, 0.000017
pr_000823888,0.379180, 0.000022
pr_000310247,0.379180, 0.000042
pr_000027542,0.379180, 0.000053
pr_001056512,0.379180, 0.000067
pr_000348786,0.379180, 0.000067
us_000610545,0.379180, 0.000079
us_000467097,0.379180, 0.000901
us_000592358,0.379180, 0.001613
us_000554106,0.379180, 0.002705
us_000574941,0.379180, 0.003312
us_000565322,0.379180, 0.006035
us_000538492,0.379180, 0.007249
us_000557446,0.264292, 0.000000
us_000554999,0.264292, 0.000000
us_000528142,0.264292, 0.000000
us_000503770,0.264292, 0.000000
pr_000715733,0.264292, 0.000001
pr_001917739,0.264292, 0.000002
pr_001982605,0.264292, 0.000002
pr_000788812,0.264292, 0.000002
pr_001922608,0.264292, 0.000002
pr_001593166,0.264292, 0.000002
pr_001072883,0.264292, 0.000002
pr_000690490,0.264292, 0.000002
pr_002225998,0.264292, 0.000002
pr_000866125,0.264292, 0.000002
pr_001681274,0.264292, 0.000002
pr_001963255,0.264292, 0.000002
pr_000786016,0.264292, 0.000002
pr_001110356,0.264292, 0.000002
pr_001759979,0.264292, 0.000002
pr_000651486,0.264292, 0.000002
pr_001946893,0.264292, 0.000002
pr_000779960,0.264292, 0.000008
pr_000940324,0.264292, 0.000008
pr_000860763,0.264292, 0.000008
pr_001951829,0.264292, 0.000008
us_000599048,0.264292, 0.000009
pr_000750522,0.264292, 0.000015
pr_001094797,0.264292, 0.000046
us_000582581,0.264292, 0.000130
pr_000647733,0.264292, 0.000173
pr_000910324,0.264292, 0.000196
pr_000369362,0.264292, 0.000209
pr_000993966,0.264292, 0.000209
pr_000362699,0.264292, 0.000393
us_000489909,0.264292, 0.018866
us_000587549,0.264292, 0.030736
us_000472338,0.242505, 0.000000
us_000471243,0.242505, 0.000000
us_000515758,0.242505, 0.000000
pr_000735974,0.242505, 0.000001
pr_002006777,0.242505, 0.000001
us_000525240,0.242505, 0.000001
us_000464409,0.242505, 0.000002
us_000539301,0.242505, 0.000002
us_000541449,0.242505, 0.000002
pr_000750203,0.242505, 0.000004
pr_001894874,0.242505, 0.000006
us_000537888,0.242505, 0.000009
pr_002066217,0.242505, 0.000014
us_000510426,0.242505, 0.000023
us_000518842,0.242505, 0.000030
pr_001963351,0.242505, 0.000036
pr_001930435,0.242505, 0.000036
us_000537897,0.242505, 0.000061
us_000537922,0.242505, 0.000061
pr_001884506,0.242505, 0.000087
us_000503686,0.242505, 0.000159
us_000519328,0.242505, 0.000248
us_000441576,0.242505, 0.000263
us_000508831,0.242505, 0.000349
us_000512067,0.242505, 0.000349
us_000508799,0.242505, 0.000349
pr_001021085,0.242505, 0.000371
us_000521577,0.242505, 0.000510
us_000550742,0.242505, 0.000547
pr_000791139,0.242505, 0.000562
pr_001089198,0.242505, 0.000562
pr_000822658,0.242505, 0.000562
pr_000744957,0.242505, 0.000610
us_000484930,0.242505, 0.000615
pr_000886452,0.242505, 0.000629
pr_000880013,0.242505, 0.000629
us_000463914,0.242505, 0.000642
pr_000274758,0.242505, 0.000660
us_000542656,0.242505, 0.000807
pr_000289167,0.242505, 0.000914
pr_001611410,0.242505, 0.000931
us_000466827,0.242505, 0.000948
us_000539375,0.242505, 0.000987
pr_000562899,0.242505, 0.001170
us_000467129,0.242505, 0.001461
us_000599052,0.242505, 0.002507
us_000509297,0.242505, 0.003076
us_000486085,0.242505, 0.003112
us_000520640,0.242505, 0.003294
us_000492918,0.242505, 0.003344
us_000543433,0.242505, 0.003416
pr_001018053,0.242505, 0.003455
us_000535835,0.242505, 0.003694
us_000537949,0.242505, 0.005143
us_000106058,0.242505, 0.005842
us_000580820,0.242505, 0.007428
us_000559191,0.242505, 0.007515
us_000515699,0.242505, 0.007522
us_000542328,0.242505, 0.007790
us_000598055,0.242505, 0.008061
us_000506858,0.242505, 0.008871
us_000568739,0.242505, 0.010266
us_000567553,0.242505, 0.010913
us_000568680,0.242505, 0.011957
us_000470418,0.242505, 0.012760
us_000533657,0.242505, 0.012852
us_000542961,0.242505, 0.014734
us_000487783,0.242505, 0.017237
us_000498982,0.242505, 0.017759
us_000557514,0.242505, 0.017989
us_000566715,0.242505, 0.019626
us_000575454,0.242505, 0.020177
us_000163426,0.242505, 0.023441
us_000480432,0.242505, 0.026936
us_000472790,0.242505, 0.035748
us_000589732,0.242505, 0.043366
us_000525393,0.242505, 0.044941
us_000568938,0.242505, 0.050226
us_000480335,0.242505, 0.050962
us_000495291,0.242505, 0.056536
us_000589275,0.242505, 0.073321
us_000579268,0.242505, 0.081077
us_000494628,0.242505, 0.103556
us_000495488,0.242505, 0.162111
us_000482659,0.242505, 0.169227
us_000553948,0.242505, 0.228592
us_000553041,0.184285, 0.000000
us_000552308,0.184285, 0.000000
pr_001644419,0.184285, 0.000000
us_000567686,0.184285, 0.000000
us_000534668,0.184285, 0.000000
us_000567680,0.184285, 0.000000
us_000571706,0.184285, 0.000000
us_000553099,0.184285, 0.000000
us_000552105,0.184285, 0.000000
us_000552103,0.184285, 0.000000
us_000534696,0.184285, 0.000000
us_000503598,0.184285, 0.000000
us_000498930,0.184285, 0.000000
us_000523009,0.184285, 0.000000
us_000528890,0.184285, 0.000000
us_000504446,0.184285, 0.000000
us_000555385,0.184285, 0.000000
us_000489506,0.184285, 0.000000
us_000498541,0.184285, 0.000000
us_000498444,0.184285, 0.000000
pr_000594926,0.184285, 0.000002
pr_000888948,0.184285, 0.000002
pr_001071050,0.184285, 0.000003
pr_000837717,0.184285, 0.000004
pr_001070843,0.184285, 0.000007
pr_001111011,0.184285, 0.000010
pr_001816886,0.184285, 0.000010
pr_000945480,0.184285, 0.000017
pr_000737528,0.184285, 0.000019
pr_001671998,0.184285, 0.000020
pr_000563130,0.184285, 0.000028
pr_001705915,0.184285, 0.000039
us_000606569,0.184285, 0.000044
us_000599477,0.184285, 0.000112
us_000460541,0.184285, 0.000675
us_000478077,0.184285, 0.000705
us_000536994,0.184285, 0.000879
us_000542906,0.184285, 0.000909
us_000503156,0.184285, 0.001068
us_000475086,0.184285, 0.001075
us_000514786,0.184285, 0.001088
us_000496794,0.184285, 0.001132
us_000594844,0.184285, 0.001325
us_000550677,0.184285, 0.001611
us_000498933,0.184285, 0.001893
us_000478617,0.184285, 0.001925
us_000577298,0.184285, 0.002137
us_000497079,0.184285, 0.002565
us_000516751,0.184285, 0.002677
us_000478183,0.184285, 0.003127
us_000542089,0.184285, 0.003305
us_000501803,0.184285, 0.003769
us_000614369,0.184285, 0.004512
us_000505246,0.184285, 0.006259
us_000499614,0.184285, 0.007320
us_000542579,0.184285, 0.009862
us_000483650,0.184285, 0.010035
us_000477095,0.184285, 0.010301
us_000566346,0.184285, 0.010845
us_000562589,0.184285, 0.015323
us_000475890,0.184285, 0.015475
us_000565017,0.184285, 0.017221
us_000582549,0.184285, 0.018585
us_000546377,0.184285, 0.021337
us_000575308,0.184285, 0.026354
us_000469801,0.184285, 0.030733
us_000538390,0.184285, 0.031518
us_000463636,0.184285, 0.034271
us_000587536,0.184285, 0.065471
us_000314503,0.184285, 0.127623
us_000529455,0.184285, 6.773587
us_000587547,0.184285, 8.514680
pr_000910839,0.160288, 0.000000
pr_000302519,0.160288, 0.000000
pr_000425469,0.160288, 0.000000
us_000167894,0.160288, 0.000025
pr_001991955,0.160288, 0.000030
us_000519800,0.160288, 0.000888
us_000480695,0.160288, 0.001656
us_000482836,0.160288, 0.002256
us_000494215,0.160288, 0.979799
us_000544738,0.160288, 1.362221
us_000471771,0.160288, 1.407438
us_000520485,0.160288, 1.563723
us_000570821,0.160288, 1.586864
us_000576146,0.160288, 1.656440
us_000527863,0.160288, 1.656609
us_000615169,0.160288, 1.657054
us_000592056,0.160288, 1.661077
us_000615166,0.160288, 1.681466
us_000575708,0.160288, 1.714961
us_000575921,0.160288, 1.718476
us_000586916,0.160288, 1.723893
us_000543978,0.160288, 1.747464
us_000544113,0.160288, 1.761783
us_000476564,0.160288, 1.783239
us_000460701,0.160288, 1.798103
us_000535592,0.160288, 1.801690
us_000557283,0.160288, 1.805964
us_000543947,0.160288, 1.806666
us_000559807,0.160288, 1.808194
us_000520305,0.160288, 1.814866
us_000560234,0.160288, 1.816974
us_000564404,0.160288, 1.824600
us_000461160,0.160288, 1.829728
us_000560076,0.160288, 1.839639
us_000568331,0.160288, 1.846796
us_000590490,0.160288, 1.858232
us_000537986,0.160288, 1.862575
us_000473953,0.160288, 1.881349
us_000458470,0.160288, 1.883331
us_000522451,0.160288, 1.883978
us_000553978,0.160288, 1.886208
us_000563705,0.160288, 1.886350
us_000537751,0.160288, 1.886459
us_000474285,0.160288, 1.887607
us_000590504,0.160288, 1.889716
us_000056829,0.160288, 1.893985
us_000516946,0.160288, 1.896547
us_000539209,0.160288, 1.897023
us_000464115,0.160288, 1.899472
us_000563874,0.160288, 1.900765
us_000577367,0.160288, 1.900961
us_000246248,0.160288, 1.902084
us_000539449,0.160288, 1.907507
us_000541532,0.160288, 1.909071
us_000537621,0.160288, 1.910988
us_000473883,0.160288, 1.911364
us_000564287,0.160288, 1.915026
us_000473882,0.160288, 1.915167
us_000183857,0.160288, 1.920465
us_000597857,0.160288, 1.923410
us_000540209,0.160288, 1.924721
us_000573901,0.160288, 1.933454
us_000516658,0.160288, 1.946338
us_000577460,0.160288, 1.946498
us_000580002,0.160288, 1.961458
us_000580190,0.160288, 1.963426
us_000555892,0.160288, 1.964622
us_000603583,0.160288, 1.972453
us_000593479,0.160288, 1.978392
us_000551673,0.160288, 1.981370
us_000553046,0.160288, 1.983863
us_000615899,0.160288, 1.986351
us_000477203,0.160288, 1.991254
us_000597884,0.160288, 1.992433
us_000551165,0.160288, 1.997852
us_000524172,0.160288, 1.998047
us_000481280,0.160288, 2.004768
us_000611605,0.160288, 2.008747
us_000556183,0.160288, 2.012877
us_000531963,0.160288, 2.015443
us_000527634,0.160288, 2.018475
us_000567087,0.160288, 2.020171
us_000471445,0.160288, 2.028144
us_000481829,0.160288, 2.028590
us_000525158,0.160288, 2.028608
us_000532148,0.160288, 2.031219
us_000562980,0.160288, 2.031414
us_000548938,0.160288, 2.036629
us_000545913,0.160288, 2.038094
us_000527060,0.160288, 2.040799
us_000593266,0.160288, 2.041840
us_000527243,0.160288, 2.042846
us_000527215,0.160288, 2.042846
us_000545915,0.160288, 2.042846
us_000549124,0.160288, 2.042846
us_000608662,0.160288, 2.045667
us_000539784,0.160288, 2.048678
us_000524229,0.160288, 2.052856
us_000516390,0.160288, 2.053112
us_000565018,0.160288, 2.061808
us_000473478,0.160288, 2.063275
us_000608468,0.160288, 2.065517
us_000226537,0.160288, 2.067073
us_000526835,0.160288, 2.067300
us_000546299,0.160288, 2.071085
us_000521973,0.160288, 2.078067
us_000528421,0.160288, 2.109803
us_000476143,0.160288, 2.124473
us_000537027,0.160288, 2.145694
us_000471318,0.160288, 2.223337
us_000320817,0.160288, 2.291109
us_000576051,0.160288, 2.438125
us_000519323,0.160288, 3.202543
us_000382474,0.160288, 4.983811
pr_002039524,0.112549, 0.000000
pr_001672417,0.112549, 0.000000
pr_001148870,0.112549, 0.000000
pr_001150057,0.112549, 0.000000
pr_000910683,0.112549, 0.000000
pr_001111551,0.112549, 0.000000
pr_001672730,0.112549, 0.000000
pr_001673512,0.112549, 0.000000
pr_001616132,0.112549, 0.000000
pr_001783404,0.112549, 0.000000
pr_000649625,0.112549, 0.000000
pr_001060666,0.112549, 0.000000
pr_001155841,0.112549, 0.000000
pr_001739917,0.112549, 0.000000
pr_001671950,0.112549, 0.000000
pr_002025652,0.112549, 0.000000
pr_001999219,0.112549, 0.000000
pr_001166457,0.112549, 0.000000
pr_000910883,0.112549, 0.000000
pr_001613278,0.112549, 0.000000
pr_001045030,0.112549, 0.000000
pr_000815900,0.112549, 0.000000
pr_001034329,0.112549, 0.000000
pr_001872460,0.112549, 0.000000
pr_001583155,0.112549, 0.000000
pr_001714824,0.112549, 0.000000
pr_000558459,0.112549, 0.000000
pr_000559910,0.112549, 0.000000
pr_001774371,0.112549, 0.000000
pr_001149528,0.112549, 0.000000
pr_001001387,0.112549, 0.000000
pr_001942352,0.112549, 0.000000
pr_001621799,0.112549, 0.000000
pr_001874839,0.112549, 0.000000
pr_001129107,0.112549, 0.000000
pr_001677592,0.112549, 0.000000
pr_001789883,0.112549, 0.000000
pr_001150788,0.112549, 0.000000
pr_000751459,0.112549, 0.000000
pr_001157458,0.112549, 0.000000
pr_001671972,0.112549, 0.000000
pr_002041960,0.112549, 0.000000
pr_000632568,0.112549, 0.000000
pr_001613448,0.112549, 0.000000
pr_000767326,0.112549, 0.000000
pr_001897351,0.112549, 0.000000
pr_001149519,0.112549, 0.000000
pr_001706857,0.112549, 0.000000
pr_000633015,0.112549, 0.000000
pr_001389971,0.112549, 0.000000
pr_001781371,0.112549, 0.000000
pr_001060671,0.112549, 0.000000
pr_001155943,0.112549, 0.000000
pr_001159632,0.112549, 0.000000
pr_001673397,0.112549, 0.000000
pr_000821643,0.112549, 0.000000
pr_001029891,0.112549, 0.000000
pr_001687803,0.112549, 0.000033
pr_000584116,0.112549, 0.000199
us_000526379,0.112549, 0.185811
us_000572087,0.112549, 0.233255
us_000510947,0.112549, 0.235687
us_000590206,0.112549, 0.238603
us_000483721,0.112549, 0.239681
us_000490142,0.112549, 0.244256
us_000310186,0.112549, 0.245760
us_000313437,0.112549, 0.247781
us_000580968,0.112549, 0.248736
us_000566558,0.112549, 0.250016
us_000571845,0.112549, 0.250583
us_000595285,0.112549, 0.250957
us_000545765,0.112549, 0.251047
us_000573969,0.112549, 0.251952
us_000568415,0.112549, 0.252936
us_000580927,0.112549, 0.253502
us_000515910,0.112549, 0.255056
us_000492303,0.112549, 0.255616
us_000574302,0.112549, 0.256332
us_000581970,0.112549, 0.256459
us_000568519,0.112549, 0.256711
us_000526889,0.112549, 0.257373
us_000615414,0.112549, 0.258501
us_000587430,0.112549, 0.259092
us_000574677,0.112549, 0.262210
us_000539779,0.112549, 0.262361
us_000580733,0.112549, 0.262601
us_000595191,0.112549, 0.262978
us_000546503,0.112549, 0.263034
us_000614363,0.112549, 0.263328
us_000562256,0.112549, 0.263574
us_000494398,0.112549, 0.265075
us_000565034,0.112549, 0.265082
us_000490038,0.112549, 0.265397
us_000568574,0.112549, 0.265629
us_000516330,0.112549, 0.266935
us_000574095,0.112549, 0.266953
us_000494568,0.112549, 0.268010
us_000496402,0.112549, 0.268451
us_000589951,0.112549, 0.268652
us_000508849,0.112549, 0.269108
us_000614628,0.112549, 0.269249
us_000547505,0.112549, 0.269883
us_000615064,0.112549, 0.270225
us_000500049,0.112549, 0.270980
us_000589989,0.112549, 0.271080
us_000279398,0.112549, 0.271283
us_000615919,0.112549, 0.271806
us_000588334,0.112549, 0.271843
us_000615571,0.112549, 0.272077
us_000485270,0.112549, 0.272358
us_000578858,0.112549, 0.272544
us_000587362,0.112549, 0.272599
us_000584408,0.112549, 0.272638
us_000588229,0.112549, 0.272876
us_000561986,0.112549, 0.273014
us_000544529,0.112549, 0.273379
us_000570888,0.112549, 0.273441
us_000498721,0.112549, 0.273792
us_000567870,0.112549, 0.273954
us_000568573,0.112549, 0.273981
us_000591595,0.112549, 0.274023
us_000193274,0.112549, 0.274490
us_000574340,0.112549, 0.274954
us_000542175,0.112549, 0.275486
us_000571923,0.112549, 0.275748
us_000559048,0.112549, 0.275934
us_000572806,0.112549, 0.276279
us_000571307,0.112549, 0.276299
us_000571966,0.112549, 0.276575
us_000571967,0.112549, 0.276575
us_000571859,0.112549, 0.276575
us_000587465,0.112549, 0.276575
us_000615700,0.112549, 0.276852
us_000588230,0.112549, 0.276852
us_000495767,0.112549, 0.276865
us_000485366,0.112549, 0.277003
us_000569016,0.112549, 0.277176
us_000589721,0.112549, 0.277738
us_000571947,0.112549, 0.277772
us_000571948,0.112549, 0.277772
us_000545061,0.112549, 0.278216
us_000572885,0.112549, 0.278633
us_000466530,0.112549, 0.279572
us_000577848,0.112549, 0.281756
us_000517165,0.112549, 0.282098
us_000540751,0.112549, 0.282390
us_000526490,0.112549, 0.282861
us_000587592,0.112549, 0.282864
us_000542177,0.112549, 0.283258
us_000535290,0.112549, 0.283698
us_000522655,0.112549, 0.284199
us_000510901,0.112549, 0.285281
us_000491520,0.112549, 0.285563
us_000595703,0.112549, 0.285623
us_000568368,0.112549, 0.285732
us_000567573,0.112549, 0.285732
