Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 472 | Health Business Managed Care (jp:472,idx:207)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1262458,38.0,(6|13)
0.05882353,6.0,(8|18)
0.04929578,7.0,(12|15)
0.04000000,2.0,(1|38)
0.03664922,7.0,(7|17)
0.03296703,3.0,(9|15)
0.03125000,1.0,(34|9)
0.03105590,5.0,(8|16)
0.02857143,1.0,(7|14)
0.02310924,11.0,(9|14)
0.02183406,5.0,(11|14)
0.02097902,3.0,(10|10)
0.02054795,6.0,(10|16)
0.02027027,3.0,(8|19)
0.01960784,2.0,(10|13)
0.01818182,3.0,(12|17)
0.01724138,1.0,(10|12)
0.01648352,3.0,(10|14)
0.01351351,1.0,(6|16)
0.01342282,2.0,(11|16)
0.01329787,5.0,(6|14)
0.01265823,2.0,(8|14)
0.01204819,2.0,(8|49)
0.01176471,1.0,(6|15)
0.01176471,1.0,(11|17)
0.01081081,2.0,(7|18)
0.01030928,2.0,(28|20)
0.01000000,2.0,(8|17)
0.009569378,2.0,(8|10)
0.009523810,2.0,(8|41)
0.009345794,1.0,(11|19)
0.008695652,1.0,(7|11)
0.008264462,1.0,(6|12)
0.008064516,1.0,(5|16)
0.007692308,2.0,(10|20)
0.007434944,2.0,(21|4)
0.007092198,2.0,(8|40)
0.006666667,1.0,(12|16)
0.006410256,1.0,(11|18)
0.006329114,1.0,(10|18)
0.005988024,1.0,(10|17)
0.005714286,1.0,(41|43)
0.005649718,1.0,(22|43)
0.005154639,1.0,(39|48)
0.004854369,1.0,(11|12)
0.004566210,1.0,(11|15)
0.004444445,1.0,(14|14)
0.004347826,1.0,(7|47)
0.003636364,1.0,(15|12)
0.003577817,2.0,(36|3)
0.003144654,1.0,(18|1)
0.003003003,1.0,(29|24)
0.002785515,1.0,(6|17)
0.002617801,1.0,(7|41)
0.002352941,1.0,(35|9)
0.002183406,1.0,(28|19)
