Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 312 | Health Business Antitrust (jp:312,idx:107)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1362126,41.0,(6|13)
0.04500000,9.0,(8|17)
0.03726708,6.0,(8|16)
0.03529412,3.0,(6|15)
0.03529412,3.0,(8|15)
0.02941176,3.0,(10|13)
0.02197802,2.0,(9|15)
0.02183406,5.0,(11|14)
0.01826484,4.0,(11|15)
0.01724138,1.0,(10|12)
0.01612903,2.0,(5|16)
0.01612903,1.0,(10|11)
0.01351351,1.0,(6|16)
0.01298701,2.0,(44|0)
0.01149425,1.0,(21|45)
0.01086957,1.0,(28|4)
0.01081081,2.0,(7|18)
0.01050420,5.0,(9|14)
0.009803922,1.0,(8|18)
0.009569378,2.0,(8|10)
0.009569378,2.0,(11|48)
0.009433962,1.0,(4|2)
0.009433962,3.0,(18|1)
0.009345794,1.0,(37|36)
0.009259259,1.0,(9|13)
0.009259259,2.0,(17|2)
0.008000000,1.0,(11|20)
0.007978723,3.0,(6|14)
0.007751938,1.0,(21|46)
0.007575758,2.0,(11|11)
0.006756757,1.0,(8|19)
0.006622517,1.0,(16|1)
0.006451613,1.0,(13|40)
0.006329114,1.0,(10|19)
0.006116208,2.0,(23|47)
0.005988024,1.0,(11|13)
0.005952381,1.0,(9|2)
0.005494506,1.0,(10|14)
0.005434783,1.0,(10|26)
0.005291005,1.0,(44|1)
0.005263158,1.0,(22|8)
0.005235602,1.0,(7|17)
0.005235602,1.0,(25|28)
0.004694836,1.0,(8|20)
0.004444445,1.0,(14|14)
0.004424779,1.0,(15|44)
0.004329004,1.0,(42|40)
0.004166667,1.0,(26|3)
0.004115226,1.0,(2|46)
0.004081632,1.0,(15|0)
0.003717472,1.0,(21|4)
0.003649635,1.0,(7|15)
0.003636364,1.0,(15|12)
0.003424658,1.0,(10|16)
0.003344482,1.0,(10|43)
0.003300330,1.0,(7|4)
0.002785515,1.0,(6|17)
0.002577320,1.0,(34|29)
0.002309469,1.0,(40|45)
0.001876173,1.0,(6|36)
