Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 471 | Health Business Clinical Integration (jp:471,idx:206)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4568245,164.0,(6|17)
0.3378378,25.0,(6|16)
0.3298429,63.0,(7|17)
0.2500000,5.0,(5|17)
0.2500000,5.0,(6|18)
0.1578947,3.0,(9|22)
0.1500000,6.0,(7|16)
0.05714286,2.0,(7|14)
0.04672897,5.0,(11|19)
0.04395605,8.0,(10|14)
0.04347826,7.0,(8|16)
0.03921569,4.0,(10|13)
0.03296703,3.0,(9|15)
0.03125000,1.0,(4|15)
0.03125000,1.0,(5|14)
0.02731092,13.0,(9|14)
0.02702703,5.0,(7|18)
0.02702703,3.0,(14|15)
0.02666667,4.0,(12|16)
0.02651515,7.0,(11|11)
0.02439024,4.0,(14|16)
0.02400000,3.0,(11|20)
0.02298851,2.0,(30|26)
0.02272727,1.0,(15|3)
0.02183406,5.0,(11|14)
0.02181818,6.0,(15|12)
0.02142857,3.0,(12|21)
0.01826484,4.0,(11|15)
0.01818182,2.0,(15|13)
0.01796407,3.0,(11|13)
0.01612903,1.0,(10|11)
0.01503759,2.0,(11|22)
0.01470588,1.0,(9|16)
0.01456311,3.0,(11|12)
0.01408451,2.0,(12|15)
0.01398601,2.0,(10|10)
0.01333333,1.0,(32|19)
0.01282051,2.0,(10|22)
0.01265823,2.0,(10|18)
0.01212121,2.0,(12|17)
0.01169591,2.0,(12|20)
0.01098901,1.0,(14|13)
0.009708738,2.0,(12|19)
0.009569378,2.0,(8|10)
0.009433962,3.0,(18|1)
0.009345794,1.0,(14|17)
0.009259259,1.0,(9|13)
0.009259259,2.0,(17|2)
0.009174312,1.0,(44|4)
0.008264462,1.0,(6|12)
0.008064516,1.0,(5|16)
0.007462686,1.0,(26|19)
0.006993007,1.0,(10|15)
0.006410256,1.0,(11|18)
0.006410256,1.0,(25|49)
0.006329114,1.0,(8|14)
0.006329114,1.0,(10|19)
0.006134969,1.0,(9|17)
0.005934718,2.0,(12|1)
0.005847953,1.0,(9|46)
0.005714286,1.0,(11|21)
0.005681818,1.0,(11|2)
0.005000000,1.0,(8|17)
0.004950495,1.0,(9|21)
0.004310345,1.0,(6|48)
0.004081632,1.0,(15|0)
0.003424658,1.0,(10|16)
0.003355705,1.0,(22|45)
0.003003003,1.0,(29|24)
0.002309469,1.0,(40|45)
0.001956947,1.0,(20|26)
0.001876173,1.0,(6|36)
