Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 469 | Health Business Physician Groups (jp:469,idx:204)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3354430,53.0,(8|14)
0.05882353,5.0,(8|15)
0.05000000,1.0,(8|9)
0.04411765,21.0,(9|14)
0.03726708,6.0,(8|16)
0.03225806,2.0,(10|11)
0.01600000,2.0,(11|20)
0.01435407,3.0,(8|10)
0.01310044,3.0,(11|14)
0.01242236,2.0,(8|2)
0.01081081,2.0,(7|18)
0.01027397,3.0,(10|16)
0.009803922,1.0,(10|13)
0.009756098,2.0,(14|12)
0.009345794,1.0,(37|36)
0.008928572,1.0,(10|21)
0.008888889,2.0,(14|14)
0.008264462,1.0,(6|12)
0.008064516,1.0,(5|16)
0.007518797,1.0,(11|22)
0.007434944,2.0,(21|4)
0.007299270,2.0,(7|15)
0.007117438,2.0,(23|8)
0.006849315,1.0,(16|48)
0.006711409,1.0,(11|16)
0.006666667,1.0,(12|16)
0.006134969,1.0,(9|17)
0.005988024,1.0,(10|17)
0.005952381,1.0,(9|2)
0.005847953,1.0,(12|20)
0.005494506,1.0,(10|14)
0.004950495,1.0,(9|21)
0.004878049,2.0,(4|31)
0.004854369,1.0,(11|12)
0.004807692,1.0,(22|4)
0.004784689,1.0,(11|48)
0.004694836,1.0,(8|20)
0.004566210,1.0,(30|34)
0.004566210,1.0,(34|41)
0.004366812,1.0,(40|1)
0.004273504,1.0,(9|34)
0.004273504,1.0,(11|44)
0.003913894,2.0,(8|48)
0.003787879,1.0,(11|11)
0.003496503,1.0,(12|48)
0.003448276,1.0,(12|13)
0.002732240,1.0,(5|44)
0.002624672,2.0,(23|2)
0.002583979,1.0,(23|20)
