Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 497 | Health Comp-Medicare-Medicaid (jp:497,idx:213)
Class Probability,Ex Count at BMU,BMU Map Loc
0.05000000,2.0,(7|16)
0.02097902,3.0,(10|15)
0.02013423,3.0,(11|16)
0.01379310,2.0,(44|6)
0.01260504,6.0,(9|14)
0.01234568,1.0,(39|1)
0.01226994,2.0,(9|17)
0.009803922,1.0,(10|13)
0.009132420,2.0,(11|15)
0.006666667,1.0,(12|16)
0.006578947,1.0,(12|12)
0.006329114,1.0,(8|14)
0.005494506,1.0,(10|14)
0.004950495,1.0,(9|21)
0.004784689,1.0,(8|10)
0.003717472,1.0,(21|4)
0.003636364,1.0,(15|12)
0.003448276,1.0,(12|13)
0.003355705,1.0,(22|45)
0.002309469,1.0,(40|45)
0.002183406,1.0,(28|19)
