Product ID : 2112 # of JPs covered : 1 : 329 : Bankruptcy-Asset-Sales, 
us_000524064,1.000000, 3.079230
us_000523081,1.000000, 3.096975
us_000502627,1.000000, 3.197561
us_000484626,0.771693, 2.488626
us_000525818,0.771693, 2.625581
us_000484877,0.771693, 2.655477
us_000484887,0.771693, 2.686118
us_000517000,0.771693, 2.755987
us_000515610,0.771693, 2.914133
us_000536995,0.771693, 2.921868
us_000471596,0.725237, 0.698723
us_000520280,0.725237, 0.699026
us_000505621,0.725237, 0.712115
us_000489895,0.725237, 0.728545
us_000592287,0.725237, 0.730478
us_000502094,0.725237, 0.731956
us_000504540,0.725237, 0.732583
us_000459401,0.725237, 0.736769
us_000473580,0.725237, 0.745737
us_000473468,0.725237, 0.757056
us_000516919,0.725237, 0.772325
us_000539400,0.725237, 0.799789
us_000383464,0.725237, 0.801319
us_000502616,0.725237, 0.805002
us_000295977,0.725237, 0.809365
us_000508313,0.725237, 0.814825
us_000519908,0.725237, 0.815960
us_000605221,0.725237, 0.825111
us_000495964,0.725237, 0.829383
us_000197413,0.725237, 0.830879
us_000500231,0.725237, 0.832600
us_000497349,0.725237, 0.833497
us_000478884,0.725237, 0.836663
us_000494530,0.725237, 0.836801
us_000502556,0.725237, 0.837035
us_000523687,0.725237, 0.837035
us_000176699,0.725237, 0.840172
us_000520585,0.725237, 0.841132
us_000582612,0.725237, 0.841538
us_000494726,0.725237, 0.842415
us_000517978,0.725237, 0.845499
us_000509403,0.725237, 0.847769
us_000572140,0.725237, 0.852708
us_000508634,0.725237, 0.854555
us_000523092,0.725237, 0.854987
us_000555326,0.725237, 0.858016
us_000497125,0.725237, 0.858756
us_000559255,0.725237, 0.859260
us_000539486,0.725237, 0.868815
us_000501167,0.725237, 0.868815
us_000497042,0.725237, 0.868815
us_000500556,0.725237, 0.868815
us_000561283,0.725237, 0.872316
us_000499498,0.725237, 0.877232
us_000538361,0.725237, 0.877232
us_000517977,0.725237, 0.877232
us_000473549,0.725237, 0.877232
us_000502513,0.725237, 0.877232
us_000523501,0.725237, 0.877232
us_000539204,0.725237, 0.877232
us_000516600,0.725237, 0.877232
us_000499934,0.725237, 0.877232
us_000497164,0.725237, 0.877232
us_000555861,0.725237, 0.878170
us_000521972,0.725237, 0.886382
us_000494630,0.725237, 0.886505
us_000517422,0.725237, 0.891775
us_000571285,0.725237, 0.892741
us_000527995,0.725237, 0.896425
us_000617492,0.725237, 0.896990
us_000613181,0.725237, 0.898088
us_000594157,0.725237, 0.906416
us_000607026,0.725237, 0.907443
us_000516999,0.725237, 0.909141
us_000573361,0.725237, 0.910219
us_000496207,0.725237, 0.911816
us_000617507,0.725237, 0.913082
us_000521737,0.725237, 0.921748
us_000573277,0.725237, 0.922121
us_000488992,0.725237, 0.925157
us_000485631,0.725237, 0.925157
us_000590916,0.725237, 0.925414
us_000497912,0.725237, 0.925512
us_000494838,0.725237, 0.932531
us_000601009,0.725237, 0.932908
us_000580918,0.725237, 0.935015
us_000153982,0.725237, 0.937970
us_000606694,0.725237, 0.937970
us_000485827,0.725237, 0.939288
us_000605959,0.725237, 0.942202
us_000601008,0.725237, 0.944673
us_000580045,0.725237, 0.945549
us_000458807,0.725237, 0.945549
us_000581203,0.725237, 0.945549
us_000600419,0.725237, 0.946435
us_000607654,0.725237, 0.948730
us_000602360,0.725237, 0.949254
us_000497832,0.725237, 0.955465
us_000515393,0.725237, 0.965268
us_000501564,0.725237, 0.966702
us_000501063,0.725237, 0.966702
us_000500934,0.725237, 0.966702
us_000527608,0.725237, 0.978158
us_000523058,0.725237, 0.978167
us_000516159,0.725237, 0.978167
us_000503652,0.725237, 0.978167
us_000500094,0.725237, 0.978167
us_000499230,0.725237, 0.978167
us_000523591,0.725237, 0.978167
us_000517959,0.725237, 0.978167
us_000523389,0.725237, 0.978167
us_000522880,0.725237, 0.978167
us_000538473,0.725237, 0.978167
us_000497461,0.725237, 0.978167
us_000516871,0.725237, 0.978167
us_000517578,0.725237, 0.978167
us_000612255,0.725237, 0.978167
pr_001032386,0.725237, 0.991056
us_000484844,0.725237, 1.012581
us_000054987,0.725237, 1.037839
us_000538488,0.725237, 1.088561
us_000539700,0.725237, 1.358536
pr_001117336,0.567936, 0.000001
us_000484740,0.567936, 0.038569
us_000463362,0.567936, 3.437291
us_000495614,0.567936, 3.733348
us_000494954,0.567936, 3.786176
us_000576951,0.567936, 3.922237
us_000540594,0.567936, 3.990994
us_000494794,0.567936, 4.018619
us_000522068,0.567936, 4.085480
us_000517137,0.567936, 4.113553
us_000516904,0.567936, 4.172709
us_000503228,0.567936, 4.174875
us_000487806,0.567936, 4.180322
us_000547172,0.567936, 4.217636
us_000515609,0.567936, 4.235786
us_000468498,0.567936, 4.322466
pr_001129814,0.433214, 0.000000
pr_001130253,0.433214, 0.000000
pr_001401058,0.433214, 0.000000
pr_001126350,0.433214, 0.000000
pr_001130343,0.433214, 0.000000
pr_001014452,0.433214, 0.000000
pr_001128564,0.433214, 0.000000
pr_000553631,0.433214, 0.000000
pr_000979388,0.433214, 0.000000
pr_001126527,0.433214, 0.000000
pr_001128467,0.433214, 0.000000
pr_000979316,0.433214, 0.000000
pr_001128274,0.433214, 0.000000
us_000558652,0.433214, 0.000000
us_000542920,0.433214, 0.000000
us_000553651,0.433214, 0.000000
pr_001612512,0.433214, 0.000000
pr_000689893,0.433214, 0.000000
pr_001661875,0.433214, 0.000003
pr_001056907,0.433214, 0.000003
pr_000733337,0.433214, 0.000003
pr_001682170,0.433214, 0.000003
pr_000626543,0.433214, 0.000003
pr_001008637,0.433214, 0.000004
pr_002095344,0.433214, 0.000004
us_000537309,0.433214, 0.000006
pr_000526777,0.433214, 0.000007
pr_001013248,0.433214, 0.000007
pr_001033568,0.433214, 0.000012
pr_000847702,0.433214, 0.000015
pr_002062722,0.433214, 0.000019
pr_001999429,0.433214, 0.000020
pr_000633068,0.433214, 0.000026
us_000597549,0.433214, 0.000044
us_000551173,0.433214, 0.000098
us_000542916,0.433214, 0.000543
us_000476765,0.433214, 0.000860
us_000546502,0.433214, 0.001415
us_000594803,0.433214, 0.002058
us_000483853,0.433214, 0.003330
us_000478803,0.433214, 0.016506
us_000545942,0.433214, 0.032574
us_000537082,0.433214, 0.038749
us_000497706,0.433214, 0.065039
us_000531618,0.433214, 4.458370
us_000491042,0.433214, 4.718196
pr_000777289,0.314015, 0.000090
us_000536014,0.314015, 0.002322
us_000509201,0.314015, 0.002322
us_000510781,0.314015, 0.002322
us_000509618,0.314015, 0.002322
us_000484899,0.314015, 0.058286
us_000502329,0.314015, 2.886946
us_000540035,0.029067, 0.000000
pr_000651906,0.029067, 0.000002
us_000512920,0.029067, 0.000019
pr_001149774,0.029067, 0.000088
us_000501143,0.029067, 0.000103
us_000498349,0.029067, 0.000103
us_000502654,0.029067, 0.000103
pr_000903050,0.029067, 0.000117
pr_001806616,0.029067, 0.000128
pr_000930785,0.029067, 0.000151
pr_000874577,0.029067, 0.000151
pr_001134915,0.029067, 0.000154
pr_002077351,0.029067, 0.000154
pr_001961003,0.029067, 0.000154
pr_001029050,0.029067, 0.000246
pr_000627459,0.029067, 0.000430
us_000500588,0.029067, 0.000507
us_000522052,0.029067, 0.000673
us_000610450,0.029067, 0.000689
us_000594830,0.029067, 0.000693
us_000612430,0.029067, 0.000733
pr_000756997,0.029067, 0.001035
us_000588669,0.029067, 0.001129
us_000577052,0.029067, 0.001609
us_000610119,0.029067, 0.002575
us_000609931,0.029067, 0.002576
us_000609127,0.029067, 0.002666
us_000614799,0.029067, 0.003224
us_000555086,0.029067, 0.003426
us_000609010,0.029067, 0.004445
pr_002230237,0.029067, 0.007885
us_000552066,0.029067, 0.012105
us_000607956,0.029067, 0.061227
us_000601185,0.029067, 0.080645
us_000531682,0.029067, 2.149151
us_000523277,0.029067, 2.308396
us_000532872,0.029067, 2.335972
us_000504410,0.029067, 2.907133
