Product ID : 2096 JPs covered : 293 : Insurance Coverage, 
us_000534668,0.830516, 0.000000
us_000552103,0.830516, 0.000000
us_000567680,0.830516, 0.000000
us_000552105,0.830516, 0.000000
us_000567686,0.830516, 0.000000
us_000534696,0.830516, 0.000000
us_000571706,0.830516, 0.000000
us_000553099,0.830516, 0.000000
us_000503598,0.830516, 0.000000
us_000504446,0.830516, 0.000000
us_000528890,0.830516, 0.000000
us_000523009,0.830516, 0.000000
us_000555385,0.830516, 0.000000
us_000498541,0.830516, 0.000000
us_000498930,0.830516, 0.000000
us_000489506,0.830516, 0.000000
us_000498444,0.830516, 0.000000
pr_000888948,0.830516, 0.000002
pr_000594926,0.830516, 0.000002
pr_001071050,0.830516, 0.000003
pr_000837717,0.830516, 0.000004
pr_001070843,0.830516, 0.000007
pr_001111011,0.830516, 0.000010
pr_001816886,0.830516, 0.000010
pr_000945480,0.830516, 0.000017
pr_000737528,0.830516, 0.000019
pr_001671998,0.830516, 0.000020
pr_000563130,0.830516, 0.000028
pr_001705915,0.830516, 0.000039
us_000606569,0.830516, 0.000044
us_000599477,0.830516, 0.000112
us_000460541,0.830516, 0.000675
us_000478077,0.830516, 0.000705
us_000536994,0.830516, 0.000879
us_000542906,0.830516, 0.000909
us_000503156,0.830516, 0.001068
us_000475086,0.830516, 0.001075
us_000514786,0.830516, 0.001088
us_000496794,0.830516, 0.001132
us_000594844,0.830516, 0.001325
us_000550677,0.830516, 0.001611
us_000498933,0.830516, 0.001893
us_000478617,0.830516, 0.001925
us_000577298,0.830516, 0.002137
us_000497079,0.830516, 0.002565
us_000516751,0.830516, 0.002677
us_000478183,0.830516, 0.003127
us_000542089,0.830516, 0.003305
us_000501803,0.830516, 0.003769
us_000614369,0.830516, 0.004512
us_000505246,0.830516, 0.006259
us_000499614,0.830516, 0.007320
us_000542579,0.830516, 0.009862
us_000483650,0.830516, 0.010035
us_000477095,0.830516, 0.010301
us_000566346,0.830516, 0.010845
us_000562589,0.830516, 0.015323
us_000475890,0.830516, 0.015475
us_000565017,0.830516, 0.017221
us_000582549,0.830516, 0.018585
us_000546377,0.830516, 0.021337
us_000575308,0.830516, 0.026354
us_000469801,0.830516, 0.030733
us_000538390,0.830516, 0.031518
us_000463636,0.830516, 0.034271
us_000587536,0.830516, 0.065471
us_000314503,0.830516, 0.127623
us_000529455,0.830516, 6.773587
us_000587547,0.830516, 8.514680
us_000603156,0.633625, 0.000000
us_000565566,0.633625, 0.000000
us_000542255,0.633625, 0.000000
us_000562671,0.633625, 0.000000
us_000529708,0.633625, 0.000000
us_000562670,0.633625, 0.000000
us_000569767,0.633625, 0.000000
us_000463080,0.633625, 0.000004
pr_002054777,0.633625, 0.000020
pr_001600235,0.633625, 0.000022
pr_000758954,0.633625, 0.000035
pr_001017725,0.633625, 0.000035
pr_000745644,0.633625, 0.000035
pr_000898352,0.633625, 0.000035
pr_000879860,0.633625, 0.000103
pr_000909790,0.633625, 0.000129
pr_001814048,0.633625, 0.000159
pr_001016663,0.633625, 0.000421
pr_001120228,0.633625, 0.000466
us_000583818,0.633625, 0.000595
pr_001740691,0.633625, 0.001424
us_000567550,0.633625, 0.073960
pr_000912272,0.607211, 0.000002
pr_000711509,0.607211, 0.000007
pr_000440559,0.607211, 0.000012
pr_000945378,0.607211, 0.000075
pr_001607486,0.607211, 0.000078
pr_000654239,0.607211, 0.000107
pr_000166903,0.607211, 0.000143
pr_000760696,0.607211, 0.000172
pr_000593138,0.607211, 0.000185
pr_001008688,0.607211, 0.000403
pr_000881373,0.607211, 0.000657
pr_000342940,0.607211, 0.000968
pr_000832708,0.607211, 0.001015
us_000539566,0.607211, 0.064580
us_000460600,0.607211, 0.138544
us_000134522,0.607211, 1.490238
us_000507485,0.607211, 1.528897
us_000502162,0.607211, 1.550932
us_000482927,0.607211, 1.559324
us_000499239,0.607211, 1.572751
us_000524923,0.607211, 1.578474
us_000467090,0.607211, 1.601409
us_000478339,0.607211, 1.630360
us_000479299,0.607211, 1.641977
us_000577530,0.607211, 1.670956
us_000533858,0.607211, 1.672335
us_000502721,0.607211, 1.672340
us_000502739,0.607211, 1.688129
us_000567432,0.607211, 1.702528
us_000078055,0.607211, 1.705939
us_000550560,0.607211, 1.712140
us_000533890,0.607211, 1.714172
us_000502751,0.607211, 1.717929
us_000479241,0.607211, 1.725140
us_000470442,0.607211, 1.728571
us_000539572,0.607211, 1.730913
us_000513094,0.607211, 1.731189
us_000479310,0.607211, 1.733218
us_000557363,0.607211, 1.736023
us_000497464,0.607211, 1.737771
us_000470397,0.607211, 1.750297
us_000540714,0.607211, 1.752908
us_000540719,0.607211, 1.760050
us_000567251,0.607211, 1.760951
us_000465616,0.607211, 1.763820
us_000467810,0.607211, 1.767071
us_000500425,0.607211, 1.768265
us_000543344,0.607211, 1.768740
us_000543381,0.607211, 1.773966
us_000559087,0.607211, 1.774633
us_000559107,0.607211, 1.782304
us_000481785,0.607211, 1.785395
us_000533790,0.607211, 1.788451
us_000502748,0.607211, 1.792059
us_000567433,0.607211, 1.801706
us_000481816,0.607211, 1.806408
us_000479290,0.607211, 1.820306
us_000481768,0.607211, 1.821709
us_000524131,0.607211, 1.833839
us_000545232,0.607211, 1.835868
us_000544221,0.607211, 1.835868
us_000543148,0.607211, 1.835868
us_000543203,0.607211, 1.837075
us_000496256,0.607211, 1.841502
us_000462053,0.607211, 1.842888
us_000540656,0.607211, 1.843415
us_000484106,0.607211, 1.852209
us_000518090,0.607211, 1.853470
us_000534651,0.607211, 1.853470
us_000535665,0.607211, 1.864635
us_000540521,0.607211, 1.870611
us_000497653,0.607211, 1.884521
us_000579263,0.607211, 1.890392
us_000502766,0.607211, 1.893194
us_000478900,0.607211, 1.985958
us_000501659,0.607211, 2.129650
us_000467938,0.458011, 0.000000
us_000475743,0.458011, 0.000000
us_000417863,0.458011, 0.000000
us_000461462,0.458011, 0.000000
us_000463738,0.458011, 0.000000
us_000488532,0.458011, 0.000000
us_000468173,0.458011, 0.000000
us_000462043,0.458011, 0.000000
us_000468642,0.458011, 0.000000
us_000606389,0.458011, 0.000000
us_000459355,0.458011, 0.000000
us_000529660,0.458011, 0.000000
us_000186580,0.458011, 0.000000
us_000525990,0.458011, 0.000000
us_000468179,0.458011, 0.000000
pr_000631479,0.458011, 0.000000
us_000549512,0.458011, 0.000000
pr_001123769,0.458011, 0.000001
pr_001664914,0.458011, 0.000001
pr_001409502,0.458011, 0.000001
pr_001898411,0.458011, 0.000007
us_000551472,0.458011, 0.000012
pr_001663050,0.458011, 0.000014
pr_001664025,0.458011, 0.000016
pr_001663474,0.458011, 0.000016
us_000573822,0.458011, 0.000017
pr_001682949,0.458011, 0.000019
us_000501240,0.458011, 0.000091
us_000521407,0.458011, 0.000131
pr_001659268,0.458011, 0.000154
us_000536199,0.458011, 0.001340
us_000540791,0.458011, 0.001340
us_000573261,0.458011, 0.001381
us_000556428,0.458011, 0.001624
us_000616164,0.458011, 0.001811
us_000575839,0.458011, 0.002329
us_000595937,0.458011, 0.002668
us_000568584,0.458011, 0.005813
us_000521045,0.458011, 0.006556
us_000546933,0.458011, 0.006976
us_000487351,0.458011, 0.007513
us_000594110,0.458011, 0.007639
us_000614246,0.458011, 0.008157
us_000499666,0.458011, 0.008800
us_000583378,0.458011, 0.011030
us_000473123,0.458011, 0.012835
us_000546868,0.458011, 0.023895
us_000499403,0.458011, 0.024020
us_000559180,0.458011, 0.048137
us_000488867,0.458011, 0.050627
us_000571711,0.458011, 0.050742
us_000532489,0.458011, 0.056213
us_000580741,0.458011, 0.081961
us_000484508,0.458011, 0.084992
us_000597474,0.458011, 0.102502
us_000499540,0.458011, 0.151069
us_000180007,0.458011, 0.205287
us_000533098,0.458011, 0.689197
us_000201849,0.458011, 0.994582
pr_001035515,0.398706, 0.000003
pr_000958889,0.398706, 0.000003
pr_001686709,0.398706, 0.000003
pr_000024017,0.398706, 0.000008
pr_000291148,0.398706, 0.000008
pr_000995755,0.398706, 0.000008
pr_000023298,0.398706, 0.000016
pr_000171403,0.398706, 0.000016
pr_000196215,0.398706, 0.000018
pr_001079006,0.398706, 0.000018
pr_001103173,0.398706, 0.000018
pr_000726408,0.398706, 0.000032
us_000617563,0.398706, 0.000055
pr_001038365,0.398706, 0.000071
us_000491511,0.398706, 0.000072
pr_000298917,0.398706, 0.000076
pr_000668554,0.398706, 0.000103
pr_000738240,0.398706, 0.000118
pr_001123811,0.398706, 0.000155
pr_000970608,0.398706, 0.000251
pr_001822853,0.398706, 0.000266
pr_000297898,0.398706, 0.000277
pr_001097083,0.398706, 0.000324
pr_000995643,0.398706, 0.000351
pr_000668079,0.398706, 0.000660
us_000517244,0.398706, 0.006342
us_000549824,0.398706, 0.011786
us_000508099,0.398706, 0.013245
us_000295687,0.398706, 1.173502
us_000552756,0.398706, 1.732125
us_000589681,0.398706, 1.779945
us_000470901,0.398706, 1.794877
us_000471066,0.398706, 1.809032
us_000506104,0.398706, 1.811193
us_000475971,0.398706, 1.821364
us_000515309,0.398706, 1.874800
us_000531815,0.398706, 1.880227
us_000475968,0.398706, 1.893210
us_000589747,0.398706, 1.907985
us_000497644,0.398706, 1.909154
us_000497696,0.398706, 1.911186
us_000589611,0.398706, 1.915953
us_000501541,0.398706, 1.928533
us_000477598,0.398706, 1.934075
us_000507305,0.398706, 1.949976
us_000483419,0.398706, 1.966738
us_000473416,0.398706, 1.990748
us_000498089,0.398706, 1.997996
pr_001689737,0.398706, 2.005251
us_000552826,0.398706, 2.023503
us_000308549,0.398706, 2.036574
us_000505438,0.398706, 2.052345
us_000482792,0.398706, 2.087776
us_000483435,0.398706, 2.099639
us_000509154,0.398706, 2.101173
us_000583811,0.398706, 2.104044
us_000545137,0.398706, 2.122702
us_000563790,0.398706, 2.133176
us_000548180,0.398706, 2.136117
us_000483504,0.398706, 2.140753
us_000494121,0.398706, 2.159096
us_000471078,0.398706, 2.163791
us_000584061,0.398706, 2.168272
us_000563487,0.398706, 2.169974
us_000499864,0.398706, 2.173078
us_000535018,0.398706, 2.174973
us_000475977,0.398706, 2.177267
us_000547620,0.398706, 2.182340
us_000574769,0.398706, 2.196127
us_000527515,0.398706, 2.196704
us_000541240,0.398706, 2.203936
us_000146970,0.398706, 2.205087
us_000553861,0.398706, 2.216521
us_000583995,0.398706, 2.217119
us_000492086,0.398706, 2.217767
us_000483768,0.398706, 2.219643
us_000574881,0.398706, 2.222182
us_000573754,0.398706, 2.223708
us_000507599,0.398706, 2.227668
us_000589586,0.398706, 2.238493
us_000542087,0.398706, 2.239826
us_000528153,0.398706, 2.240604
us_000495544,0.398706, 2.243301
us_000509157,0.398706, 2.251136
us_000616303,0.398706, 2.253133
us_000558037,0.398706, 2.255408
us_000573500,0.398706, 2.255992
us_000501134,0.398706, 2.256446
us_000501949,0.398706, 2.259714
us_000485974,0.398706, 2.260090
us_000470639,0.398706, 2.260976
us_000477187,0.398706, 2.263571
us_000594438,0.398706, 2.274555
us_000564184,0.398706, 2.276534
us_000502914,0.398706, 2.277324
us_000140923,0.398706, 2.290706
us_000541322,0.398706, 2.291496
us_000529098,0.398706, 2.292861
us_000549443,0.398706, 2.295771
us_000477233,0.398706, 2.297896
us_000563957,0.398706, 2.298571
us_000563247,0.398706, 2.298881
us_000502922,0.398706, 2.300257
us_000501956,0.398706, 2.300699
us_000485079,0.398706, 2.304866
us_000488850,0.398706, 2.305714
us_000507523,0.398706, 2.310531
us_000543653,0.398706, 2.321668
us_000524699,0.398706, 2.322635
us_000483540,0.398706, 2.330161
us_000492736,0.398706, 2.331096
us_000507495,0.398706, 2.333881
us_000553371,0.398706, 2.335697
us_000541228,0.398706, 2.339416
us_000493754,0.398706, 2.340185
us_000497739,0.398706, 2.343525
us_000524722,0.398706, 2.344760
us_000559152,0.398706, 2.349926
us_000495128,0.398706, 2.351299
us_000311952,0.398706, 2.356294
us_000505698,0.398706, 2.359789
us_000505089,0.398706, 2.362245
us_000551015,0.398706, 2.363314
us_000569774,0.398706, 2.364483
us_000521474,0.398706, 2.366931
us_000500238,0.398706, 2.368434
us_000497930,0.398706, 2.376218
us_000526634,0.398706, 2.382807
us_000507678,0.398706, 2.394095
us_000556800,0.398706, 2.396365
us_000578865,0.398706, 2.399130
us_000541488,0.398706, 2.401396
us_000557548,0.398706, 2.405914
us_000470733,0.398706, 2.409280
us_000483411,0.398706, 2.410012
us_000502847,0.398706, 2.415285
us_000536145,0.398706, 2.435809
us_000483446,0.398706, 2.436407
us_000501586,0.398706, 2.445358
us_000554913,0.398706, 2.466933
us_000493086,0.398706, 2.493109
us_000500051,0.398706, 2.523524
us_000491105,0.398706, 5.105178
pr_001396995,0.382192, 0.000000
pr_001075655,0.382192, 0.000000
pr_001074235,0.382192, 0.000001
us_000578718,0.382192, 0.000001
us_000588796,0.382192, 0.000001
pr_002050329,0.382192, 0.000002
pr_001941778,0.382192, 0.000003
us_000614295,0.382192, 0.000009
pr_001995580,0.382192, 0.000013
us_000540413,0.382192, 0.000020
pr_001588650,0.382192, 0.000021
pr_002037213,0.382192, 0.000023
pr_000596975,0.382192, 0.000023
pr_000852338,0.382192, 0.000024
pr_001883748,0.382192, 0.000027
pr_001775807,0.382192, 0.000027
pr_001787761,0.382192, 0.000047
pr_001802094,0.382192, 0.000117
pr_002121984,0.382192, 0.000238
pr_001781591,0.382192, 0.000286
pr_000875226,0.382192, 0.000385
us_000578304,0.382192, 0.000403
pr_002234532,0.382192, 0.000473
pr_002144504,0.382192, 0.000508
us_000602337,0.382192, 0.000820
us_000329327,0.382192, 0.001315
us_000588311,0.382192, 0.003156
us_000525227,0.382192, 0.005128
us_000475785,0.382192, 0.005432
us_000614006,0.382192, 0.009097
us_000512851,0.382192, 0.023228
us_000479443,0.382192, 1.084473
us_000496453,0.382192, 1.117491
us_000485379,0.382192, 1.323360
