Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 294 | Insurance Associates (jp:294,idx:143)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3913043,9.0,(21|38)
0.3402062,33.0,(15|11)
0.03636364,2.0,(0|29)
0.02150538,2.0,(10|5)
0.02000000,1.0,(21|40)
0.01612903,1.0,(15|10)
0.01290323,2.0,(11|5)
0.007936508,1.0,(10|4)
0.007874016,1.0,(19|21)
0.006493506,1.0,(14|8)
0.005524862,1.0,(49|27)
0.004484305,1.0,(23|28)
0.003472222,1.0,(11|24)
0.002958580,1.0,(13|3)
0.002754821,1.0,(21|28)
0.001976285,1.0,(25|30)
0.001204819,1.0,(24|30)
0.001204819,1.0,(24|31)
0.001040583,1.0,(21|37)
0.0007127584,1.0,(20|39)
