Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 303 | Health Business M&A (jp:303,idx:152)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2283237,79.0,(8|33)
0.2150776,97.0,(9|33)
0.09677419,6.0,(3|40)
0.09523810,2.0,(1|41)
0.08823530,6.0,(1|38)
0.06521739,6.0,(8|32)
0.05263158,2.0,(0|41)
0.03703704,3.0,(3|38)
0.03649635,5.0,(3|39)
0.02941176,1.0,(9|34)
0.02941176,1.0,(10|33)
0.02919708,4.0,(1|37)
0.01818182,2.0,(0|7)
0.01785714,1.0,(2|38)
0.01675978,3.0,(2|39)
0.01587302,2.0,(2|45)
0.01369863,5.0,(17|12)
0.01265823,3.0,(1|39)
0.01204819,1.0,(3|5)
0.01183432,2.0,(2|2)
0.01030928,1.0,(2|46)
0.01010101,2.0,(19|11)
0.01010101,2.0,(20|11)
0.009174312,2.0,(0|38)
0.009174312,2.0,(0|39)
0.009090909,1.0,(2|37)
0.008620690,1.0,(8|47)
0.008130081,1.0,(1|36)
0.006329114,1.0,(1|40)
0.005076142,1.0,(6|38)
0.005000000,1.0,(2|36)
0.004784689,1.0,(6|10)
0.004739337,1.0,(31|19)
0.004524887,1.0,(3|41)
0.004273504,1.0,(21|13)
0.003802281,1.0,(5|10)
0.003802281,1.0,(5|11)
0.003636364,1.0,(13|41)
0.003194888,1.0,(48|6)
0.002518892,1.0,(0|37)
0.001642036,1.0,(26|0)
