Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 277 | ERISA-Employee Benefits (jp:277,idx:126)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(1|14)
0.4848485,128.0,(49|46)
0.3801653,46.0,(0|46)
0.3739130,129.0,(48|47)
0.3333333,8.0,(0|45)
0.3125000,10.0,(48|46)
0.2857143,2.0,(48|45)
0.2280702,13.0,(49|47)
0.2195122,18.0,(0|47)
0.1947368,37.0,(48|48)
0.1428571,3.0,(49|45)
0.09473684,9.0,(1|48)
0.09420290,13.0,(1|46)
0.08125000,26.0,(49|48)
0.07692308,9.0,(1|49)
0.07633588,10.0,(1|47)
0.06926407,16.0,(0|49)
0.06410257,5.0,(0|44)
0.05586592,10.0,(0|48)
0.05263158,2.0,(1|44)
0.03141361,6.0,(2|47)
0.03125000,2.0,(12|48)
0.03092784,3.0,(2|46)
0.02816901,2.0,(3|44)
0.02816901,2.0,(49|49)
0.02380952,1.0,(0|6)
0.02380952,1.0,(1|45)
0.02222222,2.0,(3|47)
0.01869159,2.0,(3|49)
0.01621622,3.0,(3|46)
0.01515152,2.0,(1|2)
0.01492537,1.0,(39|5)
0.01408451,1.0,(3|45)
0.01398601,2.0,(0|43)
0.01369863,1.0,(29|0)
0.01315789,2.0,(49|32)
0.01183432,2.0,(8|43)
0.01098901,1.0,(49|41)
0.01052632,1.0,(49|44)
0.009803922,1.0,(2|30)
0.009132420,2.0,(48|38)
0.009132420,2.0,(48|39)
0.009090909,1.0,(2|37)
0.009090909,1.0,(7|48)
0.008130081,1.0,(1|16)
0.008064516,1.0,(1|15)
0.007092198,1.0,(1|28)
0.006578947,1.0,(40|4)
0.006451613,1.0,(8|12)
0.006211180,1.0,(47|41)
0.006211180,1.0,(48|41)
0.005865103,2.0,(14|42)
0.005681818,1.0,(2|14)
0.005263158,2.0,(1|13)
0.004608295,1.0,(44|42)
0.004424779,1.0,(15|35)
0.004385965,1.0,(4|38)
0.004219409,1.0,(1|39)
0.004184100,1.0,(44|45)
0.004149378,2.0,(21|33)
0.003968254,1.0,(29|40)
0.003424658,1.0,(33|42)
0.003412969,1.0,(44|44)
0.003267974,1.0,(4|9)
0.002739726,1.0,(17|12)
0.002325581,1.0,(19|5)
0.002087683,1.0,(5|43)
0.002004008,1.0,(14|32)
0.001785714,1.0,(0|26)
0.001683502,1.0,(14|0)
0.001672241,1.0,(20|44)
