Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 226 | Healthcare Litigation (jp:226,idx:75)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5333334,16.0,(4|42)
0.5038961,194.0,(3|42)
0.3152401,151.0,(5|43)
0.1607143,9.0,(4|41)
0.1403509,8.0,(6|42)
0.1357466,30.0,(3|41)
0.1000000,12.0,(5|42)
0.09523810,6.0,(2|41)
0.07142857,4.0,(2|40)
0.06976745,12.0,(6|41)
0.06428572,9.0,(6|40)
0.06060606,12.0,(19|11)
0.06060606,12.0,(20|11)
0.04838710,3.0,(3|40)
0.04545455,1.0,(0|32)
0.03061225,3.0,(5|40)
0.02816901,2.0,(20|3)
0.02739726,2.0,(3|43)
0.02597403,2.0,(14|12)
0.02400000,3.0,(4|43)
0.02400000,3.0,(4|44)
0.02255639,6.0,(5|41)
0.01754386,1.0,(13|13)
0.01754386,1.0,(15|17)
0.01724138,1.0,(12|13)
0.01562500,2.0,(1|6)
0.01515152,1.0,(7|2)
0.01408451,1.0,(1|25)
0.01408451,1.0,(3|44)
0.01315789,1.0,(21|4)
0.01265823,2.0,(1|40)
0.01162791,1.0,(21|10)
0.01075269,1.0,(2|34)
0.01063830,1.0,(4|40)
0.01030928,1.0,(4|39)
0.01030928,1.0,(6|49)
0.01027397,3.0,(33|42)
0.01020408,1.0,(1|4)
0.01010101,1.0,(5|39)
0.009803922,1.0,(19|10)
0.009803922,1.0,(20|10)
0.008928572,2.0,(16|15)
0.008333334,1.0,(17|6)
0.007299270,1.0,(3|39)
0.006666667,1.0,(19|8)
0.005917160,1.0,(15|5)
0.005747126,1.0,(3|3)
0.005291005,1.0,(22|47)
0.005235602,1.0,(2|47)
0.005000000,1.0,(2|36)
0.004464286,1.0,(22|12)
0.004219409,1.0,(1|39)
0.003496503,1.0,(48|5)
0.003412969,1.0,(44|44)
0.002890173,1.0,(8|33)
0.002463054,1.0,(19|12)
0.002463054,1.0,(20|12)
0.002358491,1.0,(16|38)
