Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 470 | Health Business Telemedicine (jp:470,idx:298)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3022975,250.0,(24|35)
0.1150000,23.0,(2|36)
0.1071429,6.0,(2|38)
0.05109489,7.0,(1|37)
0.04938272,4.0,(3|38)
0.03797468,6.0,(1|40)
0.03703704,3.0,(4|37)
0.03619910,8.0,(3|41)
0.03375527,8.0,(1|39)
0.03333334,4.0,(5|42)
0.03333334,1.0,(8|34)
0.03225806,2.0,(2|35)
0.02919708,4.0,(3|39)
0.02739726,2.0,(3|43)
0.02727273,3.0,(2|37)
0.02469136,2.0,(3|36)
0.02409638,2.0,(3|5)
0.02267003,9.0,(0|37)
0.02234637,4.0,(2|39)
0.02094241,4.0,(2|47)
0.02083333,4.0,(3|37)
0.02023121,7.0,(8|33)
0.01785714,1.0,(2|40)
0.01754386,4.0,(4|38)
0.01612903,1.0,(4|45)
0.01587302,1.0,(2|41)
0.01567398,5.0,(1|35)
0.01492537,1.0,(5|2)
0.01470588,1.0,(1|38)
0.01470588,1.0,(18|4)
0.01408451,1.0,(20|3)
0.01123596,1.0,(26|49)
0.01063830,1.0,(4|40)
0.01030928,1.0,(4|39)
0.009900990,1.0,(18|11)
0.009661836,2.0,(18|3)
0.009174312,2.0,(0|38)
0.009174312,2.0,(0|39)
0.009009009,1.0,(9|32)
0.008849557,2.0,(7|17)
0.008830022,4.0,(0|35)
0.008620690,1.0,(8|47)
0.008547009,2.0,(21|13)
0.008000000,1.0,(4|43)
0.008000000,1.0,(4|44)
0.007462686,1.0,(29|19)
0.007407407,1.0,(7|47)
0.007042253,1.0,(25|34)
0.005813953,1.0,(6|41)
0.005747126,1.0,(1|27)
0.005617978,1.0,(4|32)
0.005405406,1.0,(6|33)
0.005291005,1.0,(22|47)
0.005235602,1.0,(4|13)
0.005181347,1.0,(5|35)
0.005076142,1.0,(6|38)
0.004975124,1.0,(24|2)
0.004728132,2.0,(9|38)
0.004566210,1.0,(2|4)
0.004366812,1.0,(14|4)
0.004201681,1.0,(16|36)
0.003906250,1.0,(6|36)
0.003759399,1.0,(5|41)
0.003436426,1.0,(14|34)
0.002915452,1.0,(45|39)
0.002824859,1.0,(32|19)
0.002652520,1.0,(22|3)
0.002597403,1.0,(3|42)
0.002325581,1.0,(19|5)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001642036,1.0,(26|0)
