Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 473 | Health Business Non-Hospital (jp:473,idx:301)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4791667,46.0,(24|36)
0.1885714,33.0,(7|34)
0.1428571,3.0,(1|41)
0.07317073,6.0,(0|36)
0.06650544,55.0,(24|35)
0.05882353,4.0,(1|38)
0.05714286,4.0,(7|33)
0.05263158,2.0,(0|41)
0.05263158,3.0,(6|42)
0.05063291,12.0,(1|39)
0.04761905,3.0,(2|41)
0.04687500,9.0,(3|37)
0.03333334,1.0,(8|34)
0.03260870,3.0,(8|32)
0.02500000,3.0,(5|42)
0.02500000,1.0,(7|6)
0.02469136,2.0,(3|36)
0.02267003,9.0,(0|37)
0.02189781,3.0,(1|37)
0.02040816,1.0,(47|28)
0.02023121,7.0,(8|33)
0.01898734,3.0,(1|40)
0.01694915,1.0,(10|38)
0.01626016,2.0,(1|36)
0.01538462,2.0,(1|18)
0.01500000,3.0,(2|36)
0.01369863,2.0,(16|5)
0.01234568,1.0,(3|38)
0.01234568,1.0,(4|37)
0.01204819,1.0,(3|5)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01075269,1.0,(2|34)
0.01063830,1.0,(4|40)
0.01010101,2.0,(44|21)
0.008620690,1.0,(8|47)
0.007936508,1.0,(2|45)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007299270,1.0,(3|39)
0.007142857,1.0,(6|40)
0.006269592,2.0,(1|35)
0.005882353,1.0,(25|35)
0.005586592,1.0,(2|39)
0.005291005,1.0,(2|33)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.004587156,1.0,(0|38)
0.004587156,1.0,(0|39)
0.004524887,1.0,(3|41)
0.004255319,1.0,(22|26)
0.003759399,1.0,(14|28)
0.002364066,1.0,(9|38)
0.002325581,1.0,(19|5)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002096436,1.0,(48|44)
0.001876173,1.0,(38|43)
0.001855288,1.0,(16|28)
0.001748252,1.0,(4|10)
0.001481481,1.0,(12|5)
0.0009842520,1.0,(17|19)
