Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 472 | Health Business Managed Care (jp:472,idx:300)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1941177,33.0,(25|35)
0.1322314,16.0,(7|32)
0.08771930,5.0,(6|42)
0.07142857,4.0,(2|38)
0.06578948,15.0,(4|38)
0.04878049,6.0,(1|36)
0.04285714,3.0,(7|33)
0.04081633,2.0,(16|14)
0.03658536,3.0,(0|36)
0.03389831,2.0,(10|38)
0.03333334,1.0,(4|42)
0.03164557,5.0,(1|40)
0.02941176,1.0,(9|34)
0.02941176,1.0,(10|33)
0.02793296,5.0,(2|39)
0.02469136,2.0,(3|38)
0.02189781,3.0,(1|37)
0.01880878,6.0,(1|35)
0.01818182,2.0,(0|34)
0.01785714,1.0,(2|40)
0.01612903,1.0,(2|35)
0.01612903,1.0,(3|40)
0.01481481,2.0,(2|43)
0.01481481,2.0,(2|44)
0.01445087,5.0,(8|33)
0.01408451,2.0,(25|34)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01234568,1.0,(4|37)
0.01234568,1.0,(22|5)
0.01142857,2.0,(7|34)
0.01047120,2.0,(2|47)
0.01041667,2.0,(3|37)
0.01030928,1.0,(4|39)
0.009803922,1.0,(19|10)
0.009803922,1.0,(20|10)
0.008264462,2.0,(13|30)
0.007556675,3.0,(0|37)
0.007518797,1.0,(9|39)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.004836760,4.0,(24|35)
0.004587156,1.0,(0|38)
0.004587156,1.0,(0|39)
0.004566210,2.0,(13|31)
0.004424779,1.0,(7|17)
0.004415011,2.0,(0|35)
0.004219409,1.0,(1|39)
0.003759399,1.0,(5|41)
0.002710027,1.0,(2|24)
0.002217295,1.0,(9|33)
0.001642036,1.0,(26|0)
0.001589825,1.0,(22|41)
